Código,Departamento,Cr. Teo. ,Cr. Prac. ,Coef. Exp. ,Cr. Pra. CEx. ,Cred. Tot. ,Matrículas ,Cred. Pon.
,DERECHO FINANCIERO Y TRIBUTARIO ,180,13,1,13,193,4223,29701
,,180,13,,13,193,4223,29701
305016,DERECHO INTERNACIONAL PRIVADO E HISTORIA DEL DERECHO,,,,,,,
,DERECHO INTERNACIONAL PRIVADO ,"47,5",7,1,7,"54,5",1667,"12354,5"
,HISTORIA DEL DERECHO Y DE LAS INSTITUCIONES ,34,2,1,2,36,1191,7146
,,"81,5",9,,9,"90,5",2858,"19500,5"
305017,DERECHO MERCANTIL Y DERECHO ROMANO,,,,,,,
,DERECHO MERCANTIL ,140,5,1,5,145,4308,27170
,DERECHO ROMANO ,23,1,1,1,24,951,5706
,,163,6,,6,169,5259,32876
305018,DIBUJO,,,,,,,
,DIBUJO ,147,0,"1,4",0,147,3214,19446
,,147,0,,0,147,3214,19446
305019,DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES,,,,,,,
,DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES ,261,0,"1,4",0,261,3960,48872
,,261,0,,0,261,3960,48872
305020,DIDÁCTICA DE LAS CIENCIAS SOCIALES,,,,,,,
,DIDÁCTICA DE LAS CIENCIAS SOCIALES ,281,0,"1,2",0,281,4104,49664
,,281,0,,0,281,4104,49664
305021,"DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL",,,,,,,
,DIDÁCTICA DE LA EXPRESIÓN CORPORAL ,321,"1,5","1,4","2,1","323,1",3784,"39375,9"
,DIDÁCTICA DE LA EXPRESIÓN MUSICAL ,371,"1,5","1,4","2,1","373,1",3096,"34627,8"
,DIDÁCTICA DE LA EXPRESIÓN PLÁSTICA ,227,"1,5","1,4","2,1","229,1",3189,"43680,8"
,,919,"4,5",,"6,3","925,3",10069,"117684,5"
305022,DIDÁCTICA DE LA LENGUA Y LA LITERATURA,,,,,,,
,DIDÁCTICA DE LA LENGUA Y LA LITERATURA ,736,4,1,4,740,7613,73228
,,736,4,,4,740,7613,73228
305023,DIDÁCTICA DE LA MATEMÁTICA,,,,,,,
,DIDÁCTICA DE LA MATEMÁTICA ,336,0,"1,2",0,336,4743,56087
,,336,0,,0,336,4743,56087
305024,DIDÁCTICA Y ORGANIZACIÓN ESCOLAR,,,,,,,
,DIDÁCTICA Y ORGANIZACIÓN ESCOLAR ,"821,5","19,5","1,2","23,4","844,9",12076,"104801,5"
,,"821,5","19,5",,"23,4","844,9",12076,"104801,5"
305025,ECONOMÍA APLICADA,,,,,,,
,ECONOMÍA APLICADA ,340,"3,5",1,"3,5","343,5",7669,"46669,5"
,,340,"3,5",,"3,5","343,5",7669,"46669,5"
305026,ECONOMÍA FINANCIERA Y CONTABILIDAD,,,,,,,
,ECONOMÍA FINANCIERA Y CONTABILIDAD ,643,"18,5",1,"18,5","661,5",11407,"68254,5"
,,643,"18,5",,"18,5","661,5",11407,"68254,5"
305027,EDAFOLOGÍA Y QUÍMICA AGRÍCOLA,,,,,,,
,EDAFOLOGÍA Y QUÍMICA AGRÍCOLA ,73,"3,5","1,8","6,3","79,3",1211,"7381,2"
,,73,"3,5",,"6,3","79,3",1211,"7381,2"
305030,ESTADÍSTICA E INVESTIGACIÓN OPERATIVA,,,,,,,
,ESTADÍSTICA E INVESTIGACIÓN OPERATIVA ,683,"38,5","1,2","46,2","729,2",8062,"48566,7"
,,683,"38,5",,"46,2","729,2",8062,"48566,7"
305031,ESTRATÍGRAFÍA Y PALEONTOLOGÍA,,,,,,,
,ESTRATIGRAFÍA ,"99,5","16,5","1,8","29,7","129,2",921,"6156,8"
,PALEONTOLOGÍA ,101,"22,5","1,4","31,5","132,5",1139,"7517,7"
,,"200,5",39,,"61,2","261,7",2060,"13674,5"
305032,ESTUDIOS SEMÍTICOS,,,,,,,
,ESTUDIOS ÁRABES E ISLÁMICOS ,598,72,1,72,670,1428,9142
,ESTUDIOS HEBREOS Y ARAMEOS ,212,4,1,4,216,126,756
,,810,76,,76,886,1554,9898
305033,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,,,,,,,
,EXPRESIÓN GRÁFICA ARQUITECTÓNICA ,"135,5",13,"1,6","20,8","156,3",5801,34371
,EXPRESIÓN GRÁFICA EN LA INGENIERÍA ,42,0,"1,6",0,42,1060,6360
,"INGENIERÍA CARTOGRÁFICA, GEODÉSICA Y FOTOGRAMETRÍA ",15,3,"1,6","4,8","19,8",418,"2610,6"
,PROYECTOS ARQUITECTÓNICOS ,58,28,"1,6","44,8","102,8",2028,16116
,,"250,5",44,,"70,4","320,9",9307,"59457,6"
305034,FARMACIA Y TECNOLOGÍA FARMACÉUTICA,,,,,,,
,FARMACIA Y TECNOLOGÍA FARMACÉUTICA ,"52,5",8,"1,8","14,4","66,9",1934,"12318,6"
,"HISTORIA DE LA FARMACIA, LEGISLACIÓN Y GESTIÓN FARMAC ",12,18,"1,2","21,6","33,6",1290,10368
,,"64,5",26,,36,"100,5",3224,"22686,6"
305035,FARMACOLOGÍA,,,,,,,
,FARMACOLOGÍA ,"115,5",26,"1,8","46,8","162,3",3572,"28924,7"
,,"115,5",26,,"46,8","162,3",3572,"28924,7"
305036,LENGUA ESPAÑOLA,,,,,,,
,LENGUA ESPAÑOLA ,246,12,1,12,258,3207,19242
,,246,12,,12,258,3207,19242
305037,FILOLOGÍA FRANCESA,,,,,,,
,FILOLOGÍA FRANCESA ,620,28,1,28,648,2784,17829
,,620,28,,28,648,2784,17829
305038,FILOLOGÍA GRIEGA,,,,,,,
,FILOLOGÍA ESLAVA ,642,24,1,24,666,722,4626
,FILOLOGÍA GRIEGA ,"383,5",14,1,14,"397,5",984,"6088,5"
,,"1025,5",38,,38,"1063,5",1706,"10714,5"
305039,FILOLOGÍA INGLESA,,,,,,,
,FILOLOGÍA ALEMANA,282,0,1,0,282,1188,7872
,FILOLOGÍA INGLESA ,774,43,1,43,817,8258,"53221,5"
,,1056,43,,43,1099,9446,"61093,5"
305040,FILOLOGÍA LATINA,,,,,,,
,FILOLOGÍA LATINA ,242,31,1,31,273,1074,6636
,,242,31,,31,273,1074,6636
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",,,,,,,
,FILOLOGÍA CATALANA ,150,0,1,0,150,64,384
,FILOLOGÍA ITALIANA ,390,0,1,0,390,864,5364
,FILOLOGÍA ROMÁNICA ,64,2,1,2,66,127,762
,FILOLOGÍAS GALLEGA Y PORTUGUESA ,246,0,1,0,246,266,1806
,,850,2,,2,852,1321,8316
305042,FILOSOFÍA I,,,,,,,
,ESTÉTICA Y TEORÍA DE LAS ARTES ,51,3,"1,2","3,6","54,6",734,"4413,6"
,FILOSOFÍA MORAL ,74,4,1,4,78,586,3516
,LÓGICA Y FILOSOFÍA DE LA CIENCIA ,114,12,1,12,126,1122,6732
,,239,19,,"19,6","258,6",2442,"14661,6"
305043,"FILOSOFÍA DEL DERECHO, MORAL Y POLÍTICA",,,,,,,
,FILOSOFÍA DEL DERECHO ,"71,5",5,1,5,"76,5",3287,"17920,5"
,,"71,5",5,,5,"76,5",3287,"17920,5"
305044,FÍSICA APLICADA,,,,,,,
,FÍSICA APLICADA ,253,14,"1,6","22,4","275,4",4213,"26799,6"
,,253,14,,"22,4","275,4",4213,"26799,6"
305045,"FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR",,,,,,,
,"FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR ",114,"13,5","1,6","21,6","135,6",1017,"6664,8"
,,114,"13,5",,"21,6","135,6",1017,"6664,8"
305046,FISIOLOGÍA,,,,,,,
,FISIOLOGÍA ,168,15,"1,8",27,195,4626,"29977,8"
,,168,15,,27,195,4626,"29977,8"
305047,GEODINÁMICA,,,,,,,
,GEODINÁMICA EXTERNA ,"103,5",10,"1,8",18,"121,5",1492,"10280,9"
,GEODINÁMICA INTERNA ,"106,5","5,5","1,8","9,9","116,4",1074,"8000,6"
,,210,"15,5",,"27,9","237,9",2566,"18281,5"
305048,ANÁLISIS GEOGRÁFICO REGIONAL Y GEOGRAFÍA FÍSICA,,,,,,,
,ANÁLISIS GEOGRÁFICO REGIONAL ,192,18,"1,2","21,6","213,6",1863,"11811,2"
,GEOGRAFÍA FÍSICA ,190,5,"1,2",6,196,2038,"12161,2"
,,382,23,,"27,6","409,6",3901,"23972,4"
305049,GEOGRAFÍA HUMANA,,,,,,,
,GEOGRAFÍA HUMANA ,231,15,"1,2",18,249,2063,"12491,4"
,,231,15,,18,249,2063,"12491,4"
305050,GEOMETRÍA Y TOPOLOGÍA,,,,,,,
,GEOMETRÍA Y TOPOLOGÍA ,"158,5","15,5","1,2","18,6","177,1",1960,"12659,3"
,,"158,5","15,5",,"18,6","177,1",1960,"12659,3"
305051,HISTORIA DEL ARTE,,,,,,,
,HISTORIA DEL ARTE ,447,33,"1,2","39,6","486,6",5395,"33356,2"
,,447,33,,"39,6","486,6",5395,"33356,2"
305052,HISTORIA CONTEMPORÁNEA,,,,,,,
,HISTORIA CONTEMPORÁNEA ,165,9,1,9,174,2259,13554
,,165,9,,9,174,2259,13554
305053,HISTORIA MEDIEVAL Y CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS,,,,,,,
,CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS ,68,18,"1,2","21,6","89,6",752,"4593,4"
,HISTORIA MEDIEVAL ,87,9,1,9,96,1189,7134
,,155,27,,"30,6","185,6",1941,"11727,4"
305054,HISTORIA MODERNA Y DE AMÉRICA,,,,,,,
,HISTORIA DE AMÉRICA ,36,0,1,0,36,521,3126
,HISTORIA MODERNA ,"155,5","8,5",1,"8,5",164,1371,9030
,,"191,5","8,5",,"8,5",200,1892,12156
305055,INGENIERÍA QUÍMICA,,,,,,,
,INGENIERÍA QUÍMICA ,245,39,"1,6","62,4","307,4",3001,"22765,9"
,,245,39,,"62,4","307,4",3001,"22765,9"
305056,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES,,,,,,,
,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES ,"243,5","35,5","1,6","56,8","300,3",2674,"18665,1"
,INGENIERÍA DE SISTEMAS Y AUTOMÁTICA ,"40,5","1,5","1,6","2,4","42,9",154,"946,5"
,,284,37,,"59,2","343,2",2828,"19611,6"
305057,LINGÜÍSTICA GENERAL Y TEORÍA DE LA LITERATURA,,,,,,,
,LINGÜÍSTICA GENERAL ,498,0,1,0,498,2268,13842
,TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA ,198,0,1,0,198,1482,8892
,,696,0,,0,696,3750,22734
305058,MATEMÁTICA APLICADA,,,,,,,
,MATEMÁTICA APLICADA ,"277,5",15,"1,2",18,"295,5",6262,"37661,8"
,,"277,5",15,,18,"295,5",6262,"37661,8"
305059,MEDICINA,,,,,,,
,DERMATOLOGÍA ,12,"8,5",2,17,29,613,"6796,5"
,MEDICINA ,165,"26,5",2,53,218,4001,41152
,,177,35,,70,247,4614,"47948,5"
305061,MICROBIOLOGÍA,,,,,,,
,MICROBIOLOGÍA ,"181,5","21,5","1,8","38,7","220,2",4732,"32459,5"
,,"181,5","21,5",,"38,7","220,2",4732,"32459,5"
305062,MINERALOGÍA Y PETROLOGÍA,,,,,,,
,CRISTALOGRAFÍA Y MINERALOGÍA ,"95,5",16,"1,8","28,8","124,3",654,"4167,9"
,PETROLOGÍA Y GEOQUÍMICA ,62,"6,5","1,8","11,7","73,7",276,"2284,4"
,,"157,5","22,5",,"40,5",198,930,"6452,3"
305063,NUTRICIÓN Y BROMATOLOGÍA,,,,,,,
,NUTRICIÓN Y BROMATOLOGÍA ,165,"1,5","1,8","2,7","167,7",2060,"12330,9"
,,165,"1,5",,"2,7","167,7",2060,"12330,9"
305064,OBSTETRICIA Y GINECOLOGÍA,,,,,,,
,OBSTETRICIA Y GINECOLOGÍA ,"38,5",9,2,18,"56,5",564,"4204,5"
,,"38,5",9,,18,"56,5",564,"4204,5"
305065,PARASITOLOGÍA,,,,,,,
,PARASITOLOGÍA ,88,"2,5","1,8","4,5","92,5",1632,"9690,7"
,,88,"2,5",,"4,5","92,5",1632,"9690,7"
305066,PEDAGOGÍA,,,,,,,
,TEORÍA E HISTORIA DE LA EDUCACIÓN ,487,"17,5",1,"17,5","504,5",6810,"57684,5"
,,487,"17,5",,"17,5","504,5",6810,"57684,5"
305067,"PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGICO",,,,,,,
,"PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGICOS ","339,5","29,5","1,2","35,4","374,9",6117,"39979,1"
,,"339,5","29,5",,"35,4","374,9",6117,"39979,1"
305068,PREHISTORIA Y ARQUEOLOGÍA,,,,,,,
,ARQUEOLOGÍA ,"98,5","24,5","1,2","29,4","127,9",942,"5980,1"
,PREHISTORIA ,"128,5","15,5","1,2","18,6","147,1",1334,"8187,5"
,,227,40,,48,275,2276,"14167,6"
305069,PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN,,,,,,,
,PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN ,"789,5",18,"1,2","21,6","811,1",12273,"107218,4"
,,"789,5",18,,"21,6","811,1",12273,"107218,4"
305070,PSICOLOGÍA EXPERIMENTAL,,,,,,,
,PSICOLOGÍA EXPERIMENTAL ,239,21,"1,2","25,2","264,2",4069,"27316,6"
,,239,21,,"25,2","264,2",4069,"27316,6"
305071,QUÍMICA ANALÍTICA,,,,,,,
,QUÍMICA ANALÍTICA ,176,20,"1,8",36,212,2482,"15588,8"
,,176,20,,36,212,2482,"15588,8"
305072,QUÍMICA FÍSICA,,,,,,,
,QUÍMICA FÍSICA ,"106,5","16,5","1,8","29,7","136,2",1092,"7112,8"
,,"106,5","16,5",,"29,7","136,2",1092,"7112,8"
305073,QUÍMICA INORGÁNICA,,,,,,,
,QUÍMICA INORGÁNICA ,"217,5","24,5","1,8","44,1","261,6",2869,"18641,8"
,,"217,5","24,5",,"44,1","261,6",2869,"18641,8"
305074,QUÍMICA ORGÁNICA,,,,,,,
,QUÍMICA ORGÁNICA ,120,21,"1,8","37,8","157,8",1526,"9993,4"
,,120,21,,"37,8","157,8",1526,"9993,4"
305075,RADIOLOGÍA Y MEDICINA FÍSICA,,,,,,,
,RADIOLOGÍA Y MEDICINA FÍSICA ,"62,5",9,"1,8","16,2","78,7",1030,"7863,7"
,,"62,5",9,,"16,2","78,7",1030,"7863,7"
305076,SOCIOLOGÍA,,,,,,,
,SOCIOLOGÍA ,566,46,1,46,612,10493,"74411,5"
,,566,46,,46,612,10493,"74411,5"
305077,CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL,,,,,,,
,CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL ,"554,5",41,"1,6","65,6","620,1",6208,"40111,2"
,,"554,5",41,,"65,6","620,1",6208,"40111,2"
305078,DERECHO PENAL,,,,,,,
,DERECHO PENAL ,134,"4,5",1,"4,5","138,5",3432,20646
,,134,"4,5",,"4,5","138,5",3432,20646
305079,LENGUAJES Y SISTEMAS INFORMÁTICOS,,,,,,,
,LENGUAJES Y SISTEMAS INFORMÁTICOS ,429,39,"1,6","62,4","491,4",4201,"28132,2"
,,429,39,,"62,4","491,4",4201,"28132,2"
305080,FÍSICA TEÓRICA Y DEL COSMOS,,,,,,,
,ASTRONOMÍA Y ASTROFÍSICA ,46,5,"1,6",8,54,799,"4804,2"
,FÍSICA DE LA TIERRA ,28,7,"1,6","11,2","39,2",585,"3611,2"
,FÍSICA TEÓRICA ,"87,5","8,5","1,4","11,9","99,4",1291,"7824,2"
,,"161,5","20,5",,"31,1","192,6",2675,"16239,6"
305081,INFORMACIÓN Y DOCUMENTACIÓN,,,,,,,
,BIBLIOTECONOMÍA Y DOCUMENTACIÓN ,317,41,"1,2","49,2","366,2",3076,"19263,6"
,COMUNICACIÓN AUDIOVISUAL Y PUBLICIDAD ,150,0,"1,2",0,150,1365,8190
,,467,41,,"49,2","516,2",4441,"27453,6"
305082,PINTURA,,,,,,,
,PINTURA ,240,0,"1,2",0,240,3546,21276
,,240,0,,0,240,3546,21276
305083,ESCULTURA,,,,,,,
,ESCULTURA ,156,0,"1,4",0,156,2820,16920
,,156,0,,0,156,2820,16920
305084,ELECTROMAGNETISMO Y FÍSICA DE LA MATERIA,,,,,,,
,CIENCIA DE LOS MATERIALES E INGENIERÍA METALÚRGICA ,5,"2,5","1,6",4,9,36,324
,ELECTROMAGNETISMO ,72,"1,5","1,6","2,4","74,4",783,5439
,FÍSICA DE LA MATERIA CONDENSADA ,47,"2,5","1,6",4,51,397,2877
,,124,"6,5",,"10,4","134,4",1216,8640
305085,EDUCACIÓN FÍSICA Y DEPORTIVA,,,,,,,
,EDUCACIÓN FÍSICA Y DEPORTIVA ,"656,5","217,5","1,4","304,5",961,6945,"54136,2"
,,"656,5","217,5",,"304,5",961,6945,"54136,2"
305086,CIENCIA POLÍTICA Y DE LA ADMINISTRACIÓN,,,,,,,
,CIENCIA POLÍTICA Y DE LA ADMINISTRACIÓN ,427,"27,5",1,"27,5","454,5",6023,36483
,,427,"27,5",,"27,5","454,5",6023,36483
305087,DERECHO INTERNACIONAL PÚBLICO Y RELACIONES INTERNACIONALES,,,,,,,
,DERECHO INTERNACIONAL PÚBLICO Y RELACIONES INTERNACI ,107,7,1,7,114,2434,"15383,5"
,,107,7,,7,114,2434,"15383,5"
305088,DERECHO DEL TRABAJO,,,,,,,
,DERECHO DEL TRABAJO Y DE LA SEGURIDAD SOCIAL ,"277,5",8,1,8,"285,5",6470,"39818,5"
,,"277,5",8,,8,"285,5",6470,"39818,5"
305089,GENÉTICA,,,,,,,
,GENÉTICA ,89,8,"1,8","14,4","103,4",1629,"9926,8"
,,89,8,,"14,4","103,4",1629,"9926,8"
305090,HISTORIA ANTIGUA,,,,,,,
,HISTORIA ANTIGUA ,"113,5",11,1,11,"124,5",1604,"9601,5"
,,"113,5",11,,11,"124,5",1604,"9601,5"
305091,PEDIATRÍA,,,,,,,
,PEDIATRÍA ,"45,5","12,5",2,25,"70,5",847,14349
,,"45,5","12,5",,25,"70,5",847,14349
305092,INGENÍERIA CIVIL,,,,,,,
,INGENIERÍA DEL TERRENO ,44,"14,5","1,6","23,2","67,2",1310,"6839,7"
,INGENIERÍA E INFRAESTRUCTURA DE LOS TRANSPORTES ,56,7,"1,6","11,2","67,2",807,"4970,7"
,INGENIERÍA ELÉCTRICA ,47,"2,5","1,6",4,51,726,4263
,TECNOLOGÍAS DEL MEDIO AMBIENTE ,"102,5",4,"1,6","6,4","108,9",1249,"6711,6"
,,"249,5",28,,"44,8","294,3",4092,22785
305093,ÓPTICA,,,,,,,
,ÓPTICA ,236,7,"1,6","11,2","247,2",3021,20487
,,236,7,,"11,2","247,2",3021,20487
305094,MEDICINA PREVENTIVA Y SALUD PÚBLICA,,,,,,,
,MEDICINA PREVENTIVA Y SALUD PÚBLICA ,88,"9,5","1,6","15,2","103,2",2257,18649
,,88,"9,5",,"15,2","103,2",2257,18649
305095,TRADUCCIÓN E INTERPRETACIÓN,,,,,,,
,TRADUCCIÓN E INTERPRETACIÓN ,646,2,"1,2","2,4","648,4",4588,"27528,4"
,,646,2,,"2,4","648,4",4588,"27528,4"
305096,ESTOMATOLOGÍA,,,,,,,
,ESTOMATOLOGÍA ,169,"39,5",2,79,248,2560,20516
,,169,"39,5",,79,248,2560,20516
305098,PSICOLOGÍA SOCIAL Y METODOLOGÍA DE LAS CIENCIAS DEL COMPORTAMIENTO,,,,,,,
,PSICOLOGÍA SOCIAL ,"250,5",30,"1,2",36,"286,5",6587,"41903,5"
,,"250,5",30,,36,"286,5",6587,"41903,5"
305099,ORGANIZACIÓN DE EMPRESAS,,,,,,,
,ORGANIZACIÓN DE EMPRESAS ,469,14,1,14,483,10818,"64156,5"
,,469,14,,14,483,10818,"64156,5"
305100,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURAS,,,,,,,
,INGENIERÍA HIDRÁULICA ,76,14,"1,6","22,4","98,4",1292,"8699,1"
,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURA ,"140,5","18,5","1,6","29,6","170,1",5257,"33087,9"
,,"216,5","32,5",,52,"268,5",6549,41787
305101,MÉTODOS DE INVESTIGACIÓN Y DIAGNÓSTICO EN EDUCACIÓN,,,,,,,
,MÉTODOS DE INVESTIGACIÓN Y DIAGNÓSTICO EN EDUCACIÓN ,"435,5","14,5","1,2","17,4","452,9",4766,"47364,7"
,,"435,5","14,5",,"17,4","452,9",4766,"47364,7"
305102,MÉTODOS CUANTITATIVOS PARA LA ECONOMÍA Y LA EMPRESA,,,,,,,
,MÉTODOS CUANTITATIVOS PARA LA ECONOMÍA Y LA EMPRESA ,156,3,1,3,159,4380,"25744,5"
,,156,3,,3,159,4380,"25744,5"
305103,LITERATURA ESPAÑOLA,,,,,,,
,LITERATURA ESPAÑOLA ,236,28,1,28,264,1862,11172
,,236,28,,28,264,1862,11172
305104,QUÍMICA FARMACÉUTICA Y ORGÁNICA,,,,,,,
,QUÍMICA FARMACEÚTICA Y ORGÁNICA ,42,3,"1,8","5,4","47,4",1777,"10611,9"
,,42,3,,"5,4","47,4",1777,"10611,9"
305105,COMERCIALIZACIÓN E INVESTIGACIÓN DE MERCADOS,,,,,,,
,COMERCIALIZACIÓN E INVESTIGACIÓN DE MERCADOS ,250,8,1,8,258,5125,31188
,,250,8,,8,258,5125,31188
305106,BOTÁNICA,,,,,,,
,BOTÁNICA ,92,"8,5","1,8","15,3","107,3",1925,"12460,5"
,,92,"8,5",,"15,3","107,3",1925,"12460,5"
305107,FISIOLOGÍA VEGETAL,,,,,,,
,FISIOLOGÍA VEGETAL ,93,"7,5","1,8","13,5","106,5",1704,"11209,5"
,,93,"7,5",,"13,5","106,5",1704,"11209,5"
305108,HISTOLOGÍA,,,,,,,
,HISTOLOGÍA ,"87,5",4,2,8,"95,5",2484,14841
,,"87,5",4,,8,"95,5",2484,14841
305109,TEORÍA E HISTORIA ECONÓMICA,,,,,,,
,FUNDAMENTOS DEL ANÁLISIS ECONÓMICO ,60,0,1,0,60,2172,13032
,HISTORIA E INSTITUCIONES ECONÓMICAS ,75,"1,5",1,"1,5","76,5",1771,"10594,5"
,,135,"1,5",,"1,5","136,5",3943,"23626,5"
305110,ANTROPOLOGÍA SOCIAL,,,,,,,
,ANTROPOLOGÍA SOCIAL ,229,2,1,2,231,2130,12927
,,229,2,,2,231,2130,12927
305111,TRABAJO SOCIAL Y SERVICIOS SOCIALES,,,,,,,
,TRABAJO SOCIAL Y SERVICIOS SOCIALES ,144,0,"1,2",0,144,2909,21486
,,144,0,,0,144,2909,21486
305112,FISIOTERAPIA,,,,,,,
,FISIOTERAPIA ,258,0,2,0,258,2147,13374
,,258,0,,0,258,2147,13374
305113,ENFERMERÍA,,,,,,,
,ENFERMERÍA ,909,"1,5",2,3,912,10572,80190
,,909,"1,5",,3,912,10572,80190
305114,"TEORÍA DE LA SEÑAL, TELEMÁTICA Y COMUNICACIONES",,,,,,,
,INGENIERÍA TELEMÁTICA ,"175,5",27,"1,6","43,2","218,7",1422,10992
,TEORÍA DE LA SEÑAL Y COMUNICACIONES ,"160,5","22,5","1,6",36,"196,5",1510,"9224,7"
,,336,"49,5",,"79,2","415,2",2932,"20216,7"
305115,ELECTRÓNICA Y TECNOLOGÍA DE COMPUTADORES,,,,,,,
,ELECTRÓNICA ,176,"31,5","1,6","50,4","226,4",1562,"9851,2"
,TECNOLOGÍA ELECTRÓNICA ,153,3,"1,6","4,8","157,8",1534,"9423,6"
,,329,"34,5",,"55,2","384,2",3096,"19274,8"
305116,ECOLOGÍA,,,,,,,
,ECOLOGÍA ,"74,5",2,"1,8","3,6","78,1",1860,"11194,6"
,,"74,5",2,,"3,6","78,1",1860,"11194,6"
305117,ZOOLOGÍA,,,,,,,
,ZOOLOGÍA ,"149,5","12,5","1,8","22,5",172,3208,"23771,2"
,,"149,5","12,5",,"22,5",172,3208,"23771,2"
305118,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 1,,,,,,,
,BIOQUÍMICA Y BIOLOGÍA MOLECULAR I ,"147,5",22,"1,8","39,6","187,1",2369,"17578,3"
,,"147,5",22,,"39,6","187,1",2369,"17578,3"
305119,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 2,,,,,,,
,BIOQUÍMICA Y BIOLOGÍA MOLECULAR II ,97,"4,5","1,8","8,1","105,1",2225,"13414,6"
,,97,"4,5",,"8,1","105,1",2225,"13414,6"
305120,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 3 E INMUNOLOGÍA,,,,,,,
,INMUNOLOGÍA ,"56,5",14,"1,8","25,2","81,7",1410,"11457,3"
