"Código","Departamento","Val. Puntos  Profesorado ","Val. Cred.  Matrícula ","Asignación Ej.  2014","Asignación Ej.  2013","%  14-13 ","%  Adap. ","Adaptac. ","Distribución  Baremo ","Dietas  Asist. ","Distribución 2014"
"305025","ECONOMÍA APLICADA ","13671,00","20534,58","38555,58","55341,32","-30,33","-5,00","-2767,07","52574,25","15768","68342,25"
"305026","ECONOMÍA FINANCIERA Y CONTABILIDAD ","19251,00","30031,98","53632,98","56416,67","-4,93","-4,93","0,00","53632,98","26280","79912,98"
"305027","EDAFOLOGÍA Y QUÍMICA AGRÍCOLA ","4092,00","3247,73","11689,73","15355,37","-23,87","-5,00","-767,77","14587,60","0","14587,60"
"305030","ESTADÍSTICA E INVESTIGACIÓN OPERATIVA ","22740,36","21369,35","48459,71","50567,18","-4,17","-4,17","0,00","48459,71","9198","57657,71"
"305031","ESTRATÍGRAFÍA Y PALEONTOLOGÍA ","5952,00","6016,78","16318,78","18462,57","-11,61","-5,00","-923,13","17539,44","0","17539,44"
"305032","ESTUDIOS SEMÍTICOS ","9672,00","4355,12","18377,12","18236,44","0,77","0,77","0,00","18377,12","0","18377,12"
"305033","EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA ","26043,72","26161,34","56555,06","78824,70","-28,25","-5,00","-3941,24","74883,47","0","74883,47"
"305034","FARMACIA Y TECNOLOGÍA FARMACÉUTICA ","7812,00","9982,10","22144,10","30955,91","-28,47","-5,00","-1547,80","29408,11","0","29408,11"
"305035","FARMACOLOGÍA ","8976,36","12726,87","26053,23","31589,69","-17,53","-5,00","-1579,48","30010,21","0","30010,21"
"305036","LENGUA ESPAÑOLA ","6696,00","8466,48","19512,48","20905,85","-6,66","-5,00","-1045,29","19860,56","0","19860,56"
"305037","FILOLOGÍA FRANCESA ","7440,00","7844,76","19634,76","20838,59","-5,78","-5,00","-1041,93","19796,66","1314","21110,66"
"305038","FILOLOGÍA GRIEGA ","10416,00","4714,38","19480,38","20037,42","-2,78","-2,78","0,00","19480,38","0","19480,38"
"305039","FILOLOGÍA INGLESA ","21114,72","26881,14","52345,86","69837,35","-25,05","-5,00","-3491,87","66345,48","0","66345,48"
"305040","FILOLOGÍA LATINA ","4743,00","2919,84","12012,84","11944,80","0,57","0,57","0,00","12012,84","0","12012,84"
"305041","FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CAT ","7161,00","3659,04","15170,04","14091,16","7,66","7,66","0,00","15170,04","0","15170,04"
"305042","FILOSOFÍA I ","5673,00","6451,10","16474,10","16628,94","-0,93","-0,93","0,00","16474,10","0","16474,10"
"305043","FILOSOFÍA DEL DERECHO, MORAL Y POLÍTICA ","3348,00","7885,02","15583,02","18573,43","-16,10","-5,00","-928,67","17644,76","0","17644,76"
"305044","FÍSICA APLICADA ","15531,00","11791,82","31672,82","37190,37","-14,84","-5,00","-1859,52","35330,85","0","35330,85"
"305045","FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR ","5952,00","2932,51","13234,51","13777,13","-3,94","-3,94","0,00","13234,51","0","13234,51"
"305046","FISIOLOGÍA ","12276,00","13190,23","29816,23","33586,55","-11,23","-5,00","-1679,33","31907,22","0","31907,22"
"305047","GEODINÁMICA ","7812,00","8043,86","20205,86","23145,25","-12,70","-5,00","-1157,26","21987,99","0","21987,99"
"305048","ANÁLISIS GEOGRÁFICO REGIONAL Y GEOGRAFÍA FÍSICA ","4092,00","10547,86","18989,86","19178,47","-0,98","-0,98","0,00","18989,86","0","18989,86"
"305049","GEOGRAFÍA HUMANA ","3906,00","5496,22","13752,22","14092,59","-2,42","-2,42","0,00","13752,22","0","13752,22"
"305050","GEOMETRÍA Y TOPOLOGÍA ","8928,00","5570,09","18848,09","20953,10","-10,05","-5,00","-1047,66","19905,45","0","19905,45"
"305051","HISTORIA DEL ARTE ","13764,00","14676,73","32790,73","35492,35","-7,61","-5,00","-1774,62","33717,73","0","33717,73"
"305052","HISTORIA CONTEMPORÁNEA ","4836,00","5963,76","15149,76","15512,76","-2,34","-2,34","0,00","15149,76","0","15149,76"
"305053","HISTORIA MEDIEVAL Y CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS ","6324,00","5160,06","15834,06","17002,26","-6,87","-5,00","-850,11","16152,15","0","16152,15"
"305054","HISTORIA MODERNA Y DE AMÉRICA ","4836,00","5348,64","14534,64","17060,23","-14,80","-5,00","-853,01","16207,22","1314","17521,22"
"305055","INGENIERÍA QUÍMICA ","10323,00","10017,00","24690,00","26867,79","-8,11","-5,00","-1343,39","25524,40","0","25524,40"
"305056","ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES ","11952,36","8629,10","24931,46","26130,51","-4,59","-4,59","0,00","24931,46","2628","27559,46"
"305057","LINGÜÍSTICA GENERAL Y TEORÍA DE LA LITERATURA ","8091,00","10002,96","22443,96","21913,92","2,42","2,42","0,00","22443,96","0","22443,96"
"305058","MATEMÁTICA APLICADA ","18228,00","16571,19","39149,19","51292,67","-23,67","-5,00","-2564,63","48728,04","0","48728,04"
"305059","MEDICINA ","18183,36","21097,34","43630,70","52157,74","-16,35","-5,00","-2607,89","49549,85","0","49549,85"
"305061","MICROBIOLOGÍA ","13905,36","14282,18","32537,54","40158,11","-18,98","-5,00","-2007,91","38150,20","0","38150,20"
"305062","MINERALOGÍA Y PETROLOGÍA ","8928,00","2839,01","16117,01","17202,94","-6,31","-5,00","-860,15","16342,79","0","16342,79"
"305063","NUTRICIÓN Y BROMATOLOGÍA ","7068,00","5425,60","16843,60","21759,22","-22,59","-5,00","-1087,96","20671,26","0","20671,26"
"305064","OBSTETRICIA Y GINECOLOGÍA ","4512,36","1849,98","10712,34","15423,32","-30,54","-5,00","-771,17","14652,15","0","14652,15"
"305065","PARASITOLOGÍA ","5580,00","4263,91","14193,91","18825,90","-24,60","-5,00","-941,30","17884,61","0","17884,61"
"305066","PEDAGOGÍA ","10974,00","25381,18","40705,18","38343,68","6,16","6,16","0,00","40705,18","13140","53845,18"
"305067","PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGICO ","14415,00","17590,80","36355,80","37868,24","-3,99","-3,99","0,00","36355,80","5256","41611,80"
"305068","PREHISTORIA Y ARQUEOLOGÍA ","8184,00","6233,74","18767,74","19025,85","-1,36","-1,36","0,00","18767,74","0","18767,74"
"305069","PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN ","19623,00","47176,10","71149,10","63483,91","12,07","10,00","6348,39","69832,30","17082","86914,30"
"305070","PSICOLOGÍA EXPERIMENTAL ","12276,00","12019,30","28645,30","30223,31","-5,22","-5,00","-1511,17","28712,14","3942","32654,14"
"305071","QUÍMICA ANALÍTICA ","10788,00","6859,07","21997,07","34095,48","-35,48","-5,00","-1704,77","32390,71","0","32390,71"
"305072","QUÍMICA FÍSICA ","7068,00","3129,63","14547,63","19548,59","-25,58","-5,00","-977,43","18571,16","0","18571,16"
"305073","QUÍMICA INORGÁNICA ","12276,00","8202,39","24828,39","32013,88","-22,44","-5,00","-1600,69","30413,19","1314","31727,19"
"305074","QUÍMICA ORGÁNICA ","7068,00","4397,10","15815,10","21518,86","-26,51","-5,00","-1075,94","20442,92","0","20442,92"
"305075","RADIOLOGÍA Y MEDICINA FÍSICA ","5442,36","3460,03","13252,39","15174,48","-12,67","-5,00","-758,72","14415,76","0","14415,76"
"305076","SOCIOLOGÍA ","16182,00","32741,06","53273,06","54436,01","-2,14","-2,14","0,00","53273,06","3942","57215,06"
"305077","CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL ","25389,00","17648,93","47387,93","51204,81","-7,45","-5,00","-2560,24","48644,57","2628","51272,57"
"305078","DERECHO PENAL ","7581,36","9084,24","21015,60","22225,47","-5,44","-5,00","-1111,27","21114,20","0","21114,20"
"305079","LENGUAJES Y SISTEMAS INFORMÁTICOS ","19251,00","12378,17","35979,17","41170,57","-12,61","-5,00","-2058,53","39112,04","2628","41740,04"
"305080","FÍSICA TEÓRICA Y DEL COSMOS ","11904,00","7145,42","23399,42","23993,37","-2,48","-2,48","0,00","23399,42","0","23399,42"
"305081","INFORMACIÓN Y DOCUMENTACIÓN ","12927,00","12079,58","29356,58","30094,87","-2,45","-2,45","0,00","29356,58","0","29356,58"
"305082","PINTURA ","12276,00","9361,44","25987,44","28656,66","-9,31","-5,00","-1432,83","27223,83","0","27223,83"
"305083","ESCULTURA ","9069,36","7444,80","20864,16","25037,97","-16,67","-5,00","-1251,90","23786,07","0","23786,07"
"305084","ELECTROMAGNETISMO Y FÍSICA DE LA MATERIA ","5580,00","3801,60","13731,60","15524,03","-11,55","-5,00","-776,20","14747,83","0","14747,83"
"305085","EDUCACIÓN FÍSICA Y DEPORTIVA ","21297,00","23819,93","49466,93","54716,01","-9,59","-5,00","-2735,80","51980,21","3942","55922,21"
"305086","CIENCIA POLÍTICA Y DE LA ADMINISTRACIÓN ","11580,36","16052,52","31982,88","31359,30","1,99","1,99","0,00","31982,88","1314","33296,88"
"305087","DERECHO INTERNACIONAL PÚBLICO Y RELACIONES INTERNACIO ","5580,00","6768,74","16698,74","22399,21","-25,45","-5,00","-1119,96","21279,25","0","21279,25"
"305088","DERECHO DEL TRABAJO ","11346,00","17520,14","33216,14","37509,36","-11,45","-5,00","-1875,47","35633,89","6570","42203,89"
"305089","GENÉTICA ","6975,00","4367,79","15692,79","17523,81","-10,45","-5,00","-876,19","16647,62","0","16647,62"
"305090","HISTORIA ANTIGUA ","4092,00","4224,66","12666,66","14271,78","-11,25","-5,00","-713,59","13558,19","1314","14872,19"
"305091","PEDIATRÍA ","4140,36","6313,56","14803,92","16032,86","-7,67","-5,00","-801,64","15231,22","0","15231,22"
"305092","INGENÍERIA CIVIL ","12138,36","10025,40","26513,76","50057,12","-47,03","-5,00","-2502,86","47554,26","0","47554,26"
"305093","ÓPTICA ","12834,00","9014,28","26198,28","29786,91","-12,05","-5,00","-1489,35","28297,56","0","28297,56"
"305094","MEDICINA PREVENTIVA Y SALUD PÚBLICA ","5907,36","8205,56","18462,92","18903,46","-2,33","-2,33","0,00","18462,92","0","18462,92"
"305095","TRADUCCIÓN E INTERPRETACIÓN ","21111,00","12112,50","37573,50","45668,67","-17,73","-5,00","-2283,43","43385,24","0","43385,24"
"305096","ESTOMATOLOGÍA ","24507,36","9027,04","37884,40","42191,59","-10,21","-5,00","-2109,58","40082,01","0","40082,01"
"305098","PSICOLOGÍA SOCIAL Y METODOLOGÍA DE LAS CIENCIAS DEL COM ","10278,36","18437,54","33065,90","33084,54","-0,06","-0,06","0,00","33065,90","1314","34379,90"
"305099","ORGANIZACIÓN DE EMPRESAS ","18090,36","28228,86","50669,22","50833,15","-0,32","-0,32","0,00","50669,22","7884","58553,22"
"305100","MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURAS ","12276,00","18386,28","35012,28","50511,22","-30,68","-5,00","-2525,56","47985,66","0","47985,66"
"305101","MÉTODOS DE INVESTIGACIÓN Y DIAGNÓSTICO EN EDUCACIÓN ","9207,00","20840,47","34397,47","30879,87","11,39","10,00","3087,99","33967,86","6570","40537,86"
"305102","MÉTODOS CUANTITATIVOS PARA LA ECONOMÍA Y LA EMPRESA ","7719,00","11327,58","23396,58","28911,71","-19,08","-5,00","-1445,59","27466,12","3942","31408,12"
"305103","LITERATURA ESPAÑOLA ","5859,00","4915,68","15124,68","17744,06","-14,76","-5,00","-887,20","16856,86","0","16856,86"
"305104","QUÍMICA FARMACÉUTICA Y ORGÁNICA ","6465,36","4669,24","15484,60","20497,77","-24,46","-5,00","-1024,89","19472,88","0","19472,88"
"305105","COMERCIALIZACIÓN E INVESTIGACIÓN DE MERCADOS ","9951,00","13722,72","28023,72","31231,10","-10,27","-5,00","-1561,56","29669,55","1314","30983,55"
"305106","BOTÁNICA ","6696,00","5482,62","16528,62","21568,69","-23,37","-5,00","-1078,43","20490,26","0","20490,26"
"305107","FISIOLOGÍA VEGETAL ","5952,00","4932,18","15234,18","16888,49","-9,80","-5,00","-844,42","16044,07","0","16044,07"
"305108","HISTOLOGÍA ","3675,36","6530,04","14555,40","18380,58","-20,81","-5,00","-919,03","17461,55","0","17461,55"
"305109","TEORÍA E HISTORIA ECONÓMICA ","9114,00","10395,66","23859,66","27927,42","-14,57","-5,00","-1396,37","26531,05","0","26531,05"
"305110","ANTROPOLOGÍA SOCIAL ","6417,00","5687,88","16454,88","20219,04","-18,62","-5,00","-1010,95","19208,09","0","19208,09"
"305111","TRABAJO SOCIAL Y SERVICIOS SOCIALES ","6045,00","9453,84","19848,84","19813,29","0,18","0,18","0,00","19848,84","0","19848,84"
"305112","FISIOTERAPIA ","9162,36","5884,56","19396,92","20536,63","-5,55","-5,00","-1026,83","19509,80","0","19509,80"
"305113","ENFERMERÍA ","28506,36","35283,60","68139,96","68585,33","-0,65","-0,65","0,00","68139,96","21024","89163,96"
"305114","TEORÍA DE LA SEÑAL, TELEMÁTICA Y COMUNICACIONES ","9162,36","8895,35","22407,71","25966,07","-13,70","-5,00","-1298,30","24667,77","0","24667,77"
"305115","ELECTRÓNICA Y TECNOLOGÍA DE COMPUTADORES ","10230,00","8480,91","23060,91","24372,40","-5,38","-5,00","-1218,62","23153,78","1314","24467,78"
"305116","ECOLOGÍA ","5208,00","4925,62","14483,62","17607,12","-17,74","-5,00","-880,36","16726,76","0","16726,76"
"305117","ZOOLOGÍA ","9534,36","10459,33","24343,69","25437,73","-4,30","-4,30","0,00","24343,69","2628","26971,69"
"305118","BIOQUÍMICA Y BIOLOGÍA MOLECULAR 1 ","6696,00","7734,45","18780,45","18008,23","4,29","4,29","0,00","18780,45","0","18780,45"
"305119","BIOQUÍMICA Y BIOLOGÍA MOLECULAR 2 ","7254,00","5902,42","17506,42","21838,57","-19,84","-5,00","-1091,93","20746,64","0","20746,64"
"305120","BIOQUÍMICA Y BIOLOGÍA MOLECULAR 3 E INMUNOLOGÍA ","6045,00","10102,31","20497,31","22062,31","-7,09","-5,00","-1103,12","20959,19","0","20959,19"
"305121","ECONOMÍA INTERNACIONAL Y DE ESPAÑA ","8370,00","11293,26","24013,26","25859,60","-7,14","-5,00","-1292,98","24566,62","2628","27194,62"
"305122","FILOSOFÍA II ","5208,00","4873,44","14431,44","16837,42","-14,29","-5,00","-841,87","15995,55","0","15995,55"
"305123","FISICOQUIMICA ","5580,00","9518,52","19448,52","20392,61","-4,63","-4,63","0,00","19448,52","0","19448,52"
"305124","INGENIERIA DE LA CONSTRUCCION Y PROYECTOS DE INGENIERIA ","6465,36","8294,09","19109,45","26211,40","-27,09","-5,00","-1310,57","24900,83","0","24900,83"
"305125","URBANISTICA Y ORDENACION DEL TERRITORIO ","5859,00","5312,87","15521,87","17016,10","-8,78","-5,00","-850,81","16165,30","0","16165,30"
"305126","METODOLOGIA DE LAS CIENCIAS DEL COMPORTAMIENTO ","4650,00","5580,96","14580,96","16124,11","-9,57","-5,00","-806,21","15317,90","1314","16631,90"
"305127","HISTORIA Y CIENCIAS DE LA MÚSICA ","4743,00","5715,95","14808,95","14892,96","-0,56","-0,56","0,00","14808,95","0","14808,95"
"305128","PSICOBIOLOGIA ","4464,00","6561,98","15375,98","16881,07","-8,92","-5,00","-844,05","16037,02","0","16037,02"
"305129","PSIQUIATRIA ","4185,00","3297,36","11832,36","12184,54","-2,89","-2,89","0,00","11832,36","0","11832,36"
"305130","MEDICINA LEGAL, TOXICOLOGIA Y ANTROPOLOGIA FISICA ","5952,00","9957,77","20259,77","18602,95","8,91","8,91","0,00","20259,77","0","20259,77"
"Total Departamentos ","","1229110,32","1473161,76","3237322,08","3582927,07","","","-85285,90","3489337,48","265428","3754765,48"
"305998","INCENTIVOS AL CUMPLIMIENTO LEY DE MOROSIDAD ","","","","","","","","","","69787,00"
"305999","CONTRATO PROGRAMA DEPARTAMENTOS ","","","","","","","","","","537438,50"
"Total Incentivos + Contrato Programa ","","","","","","","","","","","607225,50"
"Total: ","","1229110,32","1473161,76","3237322,08","3582927,07","","","-85285,90","3489337,48","265428","4361990,98"
