CAPÍTULO,PROGRAMA,422 D,541 A,321 B,TOTALES 
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,483 Becas Programas Europeos,10900000,0,,10900000
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,484 Convenio con otras instituciones ,0,0,35000,35000
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,"485 A Fundaciones y otras instituciones(Excepto 485,03)",0,0,842239,842239
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,485 A Fundaciones y otras instituciones  Consejo Social,0,0,3000,3000
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,485.03 Al Centro Mediterráneo,0,0,38495,38495
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,485.05 Otros Planes de Apoyo Junta de Andalucía,1511856,0,0,1511856
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,485.11 A Universiada 2015,0,0,2725000,2725000
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,490.11 Cuotas y contrib.organismos internacionales,30000,0,0,30000
CAPITULO 6º. INVERSIONES REALES,602.00 Construcciones propias,0,0,3450000,3450000
CAPITULO 6º. INVERSIONES REALES,"603.00 Maquinaria Centros, Departamentos y Servicios",0,0,500000,500000
CAPITULO 6º. INVERSIONES REALES,603.03 Maquinaria (Equipamiento Gral.Docente),0,0,300000,300000
CAPITULO 6º. INVERSIONES REALES,603.04 Maquinaria (Equipamiento de gestión),0,0,100000,100000
CAPITULO 6º. INVERSIONES REALES,"605.00 Mobiliario y enseres Centros, Depart. y Servicios",0,0,1476840,1476840
CAPITULO 6º. INVERSIONES REALES,605.03 Mobiliario y enseres (Equip.Gral.docente),0,0,300000,300000
CAPITULO 6º. INVERSIONES REALES,605.04 Mobiliario y enseres (Equipamiento de gestión),0,0,75000,75000
CAPITULO 6º. INVERSIONES REALES,"606,00 Sistemas procesos información. Centros, Departamentos y Servic.",0,0,1000000,1000000
CAPITULO 6º. INVERSIONES REALES,"606,01 Sistemas procesos información. CSIRC",0,0,240000,240000
CAPITULO 6º. INVERSIONES REALES,"606,02 Sistemas procesos información.Enseñanzas Virtuales",0,0,330000,330000
CAPITULO 6º. INVERSIONES REALES,"606,05 Sistemas procesos  informaciòn de Gestión",0,0,150000,150000
CAPITULO 6º. INVERSIONES REALES,608 Inversiones bibliográficas,400000,3600000,25000,4025000
CAPITULO 6º. INVERSIONES REALES,622 Inversiones Infraestructura y Equipamiento Junta Andalucía,0,0,7200000,7200000
CAPITULO 6º. INVERSIONES REALES,631 Programa FEDER 2007/13,0,0,,0
CAPITULO 6º. INVERSIONES REALES,635.01 Actuaciones CEI Programa Fortalecimiento ,0,0,10249341,10249341
CAPITULO 6º. INVERSIONES REALES,"635,03  Actuaciones INNPLANTA 2012",0,0,0,0
CAPITULO 6º. INVERSIONES REALES,640 Investigación Científica,0,35171596,0,35171596
CAPITULO 6º. INVERSIONES REALES,"641,00 Plan Propio de Investigación Científica",0,3360000,0,3360000
CAPITULO 6º. INVERSIONES REALES,"641,01 Plan Propio Inv.Cient.Mantenimiento CIC",0,0,0,0
CAPITULO 6º. INVERSIONES REALES,"641,02 Plan Propio de Fomento de la Productividad Investigadora",0,1000000,0,1000000
CAPITULO 6º. INVERSIONES REALES,642 Programas de Proyección Internacional y Promoción Lingüística,70000,0,0,70000
CAPITULO 6º. INVERSIONES REALES,644 Plan de Innovación y Calidad Docente ,580000,0,0,580000
CAPITULO 6º. INVERSIONES REALES,645 Actuaciones Fomento de Empleo,400000,0,0,400000
CAPITULO 6º. INVERSIONES REALES,648 Plan Propio de Internacionalización,715000,0,0,715000
CAPITULO 6º. INVERSIONES REALES,662 Inversiones propias de reposición,0,0,8574000,8574000
CAPITULO 7º. TRANSFERENCIAS DE CAPITAL,785.00 A  Fundación Universidad Empresa,0,0,0,0
CAPITULO 7º. TRANSFERENCIAS DE CAPITAL,"780,05  Plan Propio para Promoción del Autoempleo",250000,0,0,250000
CAPITULO 7º. TRANSFERENCIAS DE CAPITAL,784 Ayudas diversas Consejo Social,0,0,12000,12000
CAPITULO 7º. TRANSFERENCIAS DE CAPITAL,"785,09 A otras Instituciones. Parque de las Ciencias",0,0,106213,106213
CAPITULO 8º. ACTIVOS FINANCIEROS,831.00 Anticipos y préstamos a Personal Universidad   G.A.S.,650000,0,0,650000
CAPITULO 8º. ACTIVOS FINANCIEROS,"831,01 Linea especial de anticipos",0,0,0,0
CAPITULO 9º. PASIVOS FINANCIEROS,911 Amortización de préstamos a largo plazo. Sector Público,0,0,2255000,2255000
