"Titulación","Rama","Centro","Campus"
"Máster Universitario en Avances en Biología Agraria y Acuicultura (M48.56.2)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Biología Molecular apllicada a Empresas Biotecnológicas (BIOENTERPRISE) (M78.56.1)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Biotecnología (M38.56.1)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Ciencia y Tecnología en Patrimonio Arquitectónico (M80.56.1)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Ciencias y Tecnologías Químicas, KHEMIA (M43.56.2)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Conservación, Gestión y Restauración de la Biodiversidad (M64.56.1)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Estadística Aplicada (M42.56.1)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Física y Matemáticas (M53.56.1)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Física: Radiaciones, Nanotecnología, Partículas y Astrofísica (M44.56.2)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Genética y Evolución (M58.56.1)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Geofísica y Meteorología (M40.56.1)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Geología Aplicada a los Recursos Minerales y Energéticos - GEOREC (M45.56.2)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Investigación y Avances en Microbiología (M46.56.1)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Matemáticas (M37.56.1)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Óptica y Optometría Avanzadas (M47.56.1)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Técnicas y Ciencias de la Calidad del Agua (IDEA) (M96.56.1)","Ciencias","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Erasmus Mundus en Excelencia en Salud Pública / Europubhealth (M18.56.2)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Análisis Biológico y Diagnóstico de Laboratorio (M41.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Antropología Física y Forense (M34.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Atención Farmacéutica EUROPHARMNES (M22.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Avances en Calidad y Tecnología Alimentaria (M79.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Avances en Radiología Diagnóstica y Terapéutica y Medicina Física (M29.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Biomedicina Regenerativa (M31.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Condicionantes Genéticos, Nutricionales y Ambientales del Crecimiento y Desarrollo (M36.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Cuidados de Salud para la Promoción de la Autonomía de las Personas y la Atención a los Procesos del Fin de la Vida (M61.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus de Ciencias de la Salud"
"Máster Universitario en Ingeniería Tisular (M35.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Investigación, Desarrollo, Control e Innovación de Medicamentos (M91.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Investigación Logopédica en Trastornos Degenerativos y Daño Cerebral (M89.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Investigación Odontológica (M39.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Investigación Traslacional y Medicina Personalizada (MB3.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Investigación y Avances en Inmunología Molecular y Celular (M26.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Investigación y Avances en Medicina Preventiva y Salud Pública (M24.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Neurociencia Cognitiva y del Comportamiento (M30.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Neurociencia y Dolor (M27.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Nutrición Humana (M28.56.1)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Psicología General Sanitaria (M33.56.2)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Psicología Jurídica y Forense (M23.56.2)","Ciencias de la Salud","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Erasmus Mundus en Estudios de las Mujeres y de Género (M15.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Abogacía (M99.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Análisis y Gestión del Territorio: Liderazgo y Planificación para la Gobernanza Territorial (MB1.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Asesoría Laboral, Fiscal y Jurídica de la Empresa (M99.56.3)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Auditoría (M99.56.2)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Artes Visuales y Educación. Un enfoque Construccionista (M06.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Aynadamar"
"Máster Universitario en Cooperación al Desarrollo, Gestión Pública y de las ONGDs (M25.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Criminalidad e Intervención Social en Menores (M04.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Cultura de Paz, Conflictos, Educación y Derechos Humanos (M75.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Derecho Constitucional Europeo (M03.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Derecho de los Negocios (M83.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Derecho Internacional y Relaciones Internacionales (M84.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Derecho Sanitario, Bioética y Derecho a la Salud en la Unión Europea (M85.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Didáctica de la Matemática (M05.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Dirección y Gestión Pública (M87.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Diversidad Cultural. Un Enfoque Multidisciplinar y Transfronterizo (MA1.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Melilla"
"Máster Universitario en Economía y Organización de Empresas (M02.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Economía/Economics (M56.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Educación Musical: Una Perspectiva Multidisciplinar (M72.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Melilla"
"Máster Universitario en Educación Social: Investigación y Desarrollo Profesional (M88.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Educador / Educadora Ambiental (M54.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en El Análisis Geográfico en la Ordenación del Territorio. Tecnologías de la Información Geográfica (M07.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Estudios e Intervención Social en Inmigración, Desarrollo y Grupos Vulnerables (M09.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Gerontología, Dependencia y Protección de los Mayores (M65.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Gestión y Tecnologías de Procesos de Negocio (M93.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Aynadamar"
"Máster Universitario en Información y Comunicación Científica (M12.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Intervención Psicopedagógica (M11.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Investigación e Innovación en Currículum y Formación (M98.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Investigación en Actividad Física y Deporte (M57.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Marketing y Comportamiento del Consumidor (M01.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Nuevos Medios Interactivos y Periodismo Multimedia (MB2.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Problemas Sociales. Dirección y Gestión de Programas Sociales (M08.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus Centro"
"Máster Universitario en Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanza de Idiomas (S01 a S45.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Múltiples"
"Máster Universitario en Psicología de la Intervención Social (M10.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Técnicas Cuantitativas en Gestión Empresarial (MA4.56.1)","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Arquitectura (M97.56.3)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Ciencia de Datos e Ingeniería de Computadores (M51.56.2)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Aynadamar"
"Máster Universitario en Desarrollo del Software (M52.56.1)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Aynadamar"
"Máster Universitario en Estructuras (M63.56.1)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Gestión y Seguridad Integral en la Edificación (M74.56.1)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Aynadamar – Campus de Fuentenueva"
"Máster Universitario en Gestión y Tecnologías de Procesos de Negocio (M93.56.1)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Aynadamar"
"Máster Universitario en Hidráulica Ambiental (M62.56.1)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Ingeniería Acústica (MA8.56.1)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Ingeniería de Caminos, Canales y Puertos (MA9.56.1)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Ingeniería de Telecomunicación (M92.56.1)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Aynadamar"
"Máster Universitario en Ingeniería Informática (M50.56.2)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Aynadamar"
"Máster Universitario en Ingeniería Química (M43.56.3)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Máster Universitario en Prevención de Riesgos Laborales (M67.56.1)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Cartuja"
"Máster Universitario en Rehabilitación Arquitectónica (M97.56.2)","Ingeniería y Arquitectura","Escuela Internacional de Posgrado","Campus de Fuentenueva"
"Double Master (Double Degree) in Economics (M56.56.1) and International Management ","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","UGR - SRH Hochschule Berlin (Germany)"
"Máster Universitario en Economía y Organización de Empresas (M02.56.1) y Master in International Management ","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","UGR - ESC Dijon-Bourgogne (Francia)"
"Máster Universitario en Marketing y Comportamiento del Consumidor (M01.56.1) y Máster en Marketing Stratégic et Opérationnel ","Ciencias Sociales y Jurídicas","Escuela Internacional de Posgrado","UGR - IGR-IAE Université de Rennes (Francia)"
