Capítulo,Concepto / Programa,Programa 442D,Programa 541A,Programa 321B,Totales
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,204 Arrendamiento de material de transporte,1707,2281,4981,8969
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,205 Arrendamiento de mobiliario y enseres,17068,2281,59769,79118
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,206 Arrendamiento de equipos informáticos,1707,2281,1992,5980
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,208 Arrendamiento de otro inmovilizado material,1707,2281,1992,5980
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"212 Reparación, Mantenimiento y conservación de edificios y otros",341361,114040,1321360,1776761
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"213 Reparación, Mantenimiento y conserv. (Maquinaria, instalaciones y utillaje)",341361,85530,772018,1198909
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"214 Reparación, Mantenimiento y conserv. (Material de transporte)",1707,2281,19923,23911
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"215 Reparación, Mantenimiento y conserv. (Mobiliario y enseres)",128011,17106,199230,344347
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"216 Reparación, Mantenimiento y conserv. (Equipos de información)",128011,85530,597183,810724
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,217 Mantenimiento general y optimización energética,0,0,1200000,1200000
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,220 Material de oficina,1365446,125444,2215540,3706430
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,221 Suministros,2188980,142550,6370756,8702286
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,222 Comunicaciones,85340,17104,1095767,1198211
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,223 Transportes,213351,2281,298846,514478
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,224 Primas de seguros,51204,5702,234096,291002
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,225 Tributos,170681,5702,99615,275998
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,226 Gastos diversos (excepto subconcepto 226.01),2456315,85462,4609026,7150803
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,226.01 Atenciones protocolarias y de representación,256021,11404,249038,516463
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,226.99 Otros gastos,0,0,0,0
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,227 Trabajos realizados por otras empresas,768063,91232,5279606,6138901
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,230 Dietas ,768063,57020,606408,1431491
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,231 Locomoción,682724,57020,597691,1337435
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,234 Asistencias a órganos colegiados ,0,0,0,0
Capitulo 3º. Gastos Financieros,310 Intereses operaciones a corto y largo plazo,0,0,175000,175000
Capitulo 3º. Gastos Financieros,"311 Gastos de emisión, modificación y cancelación",0,0,0,0
Capitulo 4º. Transferencias Corrientes,480.00 Becas y ayudas propias a estudiantes,1540000,0,0,1540000
Capitulo 4º. Transferencias Corrientes,480.03 A Asociaciones estudiantiles,120000,0,0,120000
Capitulo 4º. Transferencias Corrientes,480.04 Plan Propio de Prácticas en Empresas y entidades sin fines lucro,883772,0,0,883772
Capitulo 4º. Transferencias Corrientes,480.08 Plan Propio de Ayudas Sociales a Estudiantes,190000,0,0,190000
Capitulo 4º. Transferencias Corrientes,483 Becas Programas Europeos,12958140,0,0,12958140
Capitulo 4º. Transferencias Corrientes,484 Convenio con otras instituciones ,3000,0,0,3000
Capitulo 4º. Transferencias Corrientes,485 A Fundaciones y otras instituciones (Excepto 485.03),0,0,917755,917755
Capitulo 4º. Transferencias Corrientes,485 A Fundaciones y otras instituciones (Consejo Social),0,0,3000,3000
Capitulo 4º. Transferencias Corrientes,485.03 Al Centro Mediterráneo,0,0,0,0
Capitulo 4º. Transferencias Corrientes,485.05 Otros Planes de Apoyo Junta de Andalucía,775971,0,0,775971
Capitulo 4º. Transferencias Corrientes,485.11 A Universiada 2015,0,0,0,0
Capitulo 4º. Transferencias Corrientes,490.11 Cuotas y contrib.organismos internacionales,25000,0,0,25000
Capitulo 6º. Inversiones Reales,602.00 Construcciones propias,0,0,749274,749274
Capitulo 6º. Inversiones Reales,"603.00 Maquinaria (Centros, departamentos y Servicios)",0,0,213424,213424
Capitulo 6º. Inversiones Reales,603.03 Maquinaria (Equipamiento Gral. Docente),0,0,16000,16000
Capitulo 6º. Inversiones Reales,603.04 Maquinaria (Equipamiento de gestión),0,0,0,0
Capitulo 6º. Inversiones Reales,"605.00 Mobiliario y enseres (Centros, depart. y Servicios)",0,0,428688,428688
Capitulo 6º. Inversiones Reales,605.03 Mobiliario y enseres (Equip. Gral. docente),0,0,51000,51000
Capitulo 6º. Inversiones Reales,605.04 Mobiliario y enseres (Equipamiento de gestión),0,0,0,0
Capitulo 6º. Inversiones Reales,"606.00 Sistemas procesos información (Centros, departamentos y servic.)",0,0,640272,640272
Capitulo 6º. Inversiones Reales,606.01 Sistemas procesos información (CSIRC),0,0,216000,216000
Capitulo 6º. Inversiones Reales,606.02 Sistemas procesos información (CEVUG),0,0,482070,482070
Capitulo 6º. Inversiones Reales,606.05 Sistemas procesos informaciòn de Gestión,0,0,0,0
Capitulo 6º. Inversiones Reales,608 Inversiones bibliográficas,125000,2470000,25000,2620000
Capitulo 6º. Inversiones Reales,622 Inversiones Infraestructura y Equipamiento Junta Andalucía,0,0,4416000,4416000
Capitulo 6º. Inversiones Reales,631 Programa FEDER 2007/13,0,0,0,0
Capitulo 6º. Inversiones Reales,635.01 Actuaciones CEI Programa Fortalecimiento ,0,0,0,0
Capitulo 6º. Inversiones Reales,635.03 Actuaciones INNPLANTA 2012,0,0,0,0
Capitulo 6º. Inversiones Reales,640 Investigación Científica,0,44212706,0,44212706
Capitulo 6º. Inversiones Reales,641.00 Plan Propio de Investigación Científica,0,1836000,0,1836000
Capitulo 6º. Inversiones Reales,641.01 Plan Propio Inv. Cient. Mantenimiento CIC,0,0,0,0
Capitulo 6º. Inversiones Reales,641.02 Plan Propio de Fomento de la Productividad Investigadora,0,600000,0,600000
Capitulo 6º. Inversiones Reales,642 Programas de Proyección Internacional y Promoción Lingüística,90000,0,0,90000
Capitulo 6º. Inversiones Reales,644 Plan de Innovación y Calidad Docente ,250000,0,0,250000
Capitulo 6º. Inversiones Reales,645 Actuaciones Fomento de Empleo,94572,0,0,94572
Capitulo 6º. Inversiones Reales,648 Plan Propio de Internacionalización,620000,0,0,620000
Capitulo 6º. Inversiones Reales,649 Imprevistos en Investigación Científica,0,0,0,0
Capitulo 6º. Inversiones Reales,662 Inversiones propias de reposición,0,0,6382433,6382433
Capitulo 7º. Transferencias de Capital,785.00 A Fundación Universidad Empresa,0,0,0,0
Capitulo 7º. Transferencias de Capital,780.05 Plan Propio para Promoción del Autoempleo,200000,0,0,200000
Capitulo 7º. Transferencias de Capital,784 Ayudas diversas Consejo Social,0,0,12000,12000
Capitulo 7º. Transferencias de Capital,785.09 A otras Instituciones. Parque de las Ciencias,0,0,106213,106213
Capitulo 8º. Activos Financieros,831.00 Anticipos y préstamos a Personal Universidad (G.A.S.),650000,0,0,650000
Capitulo 8º. Activos Financieros,831.01 Linea especial de anticipos,0,0,0,0
Capitulo 9º. Pasivos Financieros,911 Amortización de préstamos a largo plazo (Sector Público),0,0,2514122,2514122
