Identificación,Colectivo asociado,Ámbito
"PÉREZ JIMÉNEZ, JUAN DE DIOS",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"REYES REQUENA, ANTONIA",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"RÍOS GUADIX, ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"ROMERA GUTIÉRREZ, ELVIRA",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"ROMERO MORA, FRANCISCO JAVIER",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"RUEDA GARCÍA, MARÍA DEL MAR",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"RUIZ PADILLO, DIEGO PABLO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"VELASCO CABRERA, JOSEFA",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"VELILLA SÁNCHEZ, NICOLÁS",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"VISERAS ALARCÓN, ESTHER",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"ARELLANO COLOMINA, RAÚL",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DEL DEPORTE
"FRADUA URIONDO, JUAN LUIS",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DEL DEPORTE
"UREÑA ESPA, AURELIO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DEL DEPORTE
"ÁLVAREZ RODRÍGUEZ, JOSÉ",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"BENÍTEZ MUÑOZ, JUAN LUIS",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"GONZÁLEZ GONZÁLEZ, DANIEL",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"JUSTICIA JUSTICIA, FERNANDO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"LEÓN GUERRERO, MARÍA JOSÉ",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"MARTÍNEZ RODRÍGUEZ, JUAN BAUTISTA",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"NARANJO RODRÍGUEZ, JOSÉ ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"ORTEGA MARTÍN, JOSÉ LUIS",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"ROA GUZMÁN, RAFAEL",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"SALMERÓN PÉREZ, HONORIO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"SORIANO DÍAZ, ANDRÉS",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"DELGADO PADIAL, ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DEL TRABAJO
"DÍAZ BRETONES, FRANCISCO JOSÉ",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DEL TRABAJO
"AGUAYO MORAL, JOSÉ MANUEL",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"BUENDÍA CARRILLO, DIONISIO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"CANO GUERVOS, RAFAEL A.",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"FERNÁNDEZ SÁNCHEZ, MARÍA DEL PILAR",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"HERNÁNDEZ BASTIDA, AGUSTÍN",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"HOLGADO MOLINA, MARÍA DEL MAR",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"HURTADO TORRES, NURIA ESTHER",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"IBÁÑEZ ZAPATA, JOSÉ ÁNGEL",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"ROMERO FRÍAS, ESTEBAN",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"SÁNCHEZ CAMPILLO, JOSÉ",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"CORZO FERNÁNDEZ, SUSANA",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA
"MONTABES PEREIRA, JUAN",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA
"TRINIDAD REQUENA, ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA
"HERRERA VIEDMA, ENRIQUE",Profesorado doctor con vinculación permanente,FACULTAD DE COMUNICACIÓN Y DOCUMENTACIÓN
VACANTE,Profesorado doctor con vinculación permanente,FACULTAD DE COMUNICACIÓN Y DOCUMENTACIÓN
"CALATRAVA ESCOBAR, MARÍA JESÚS",Profesorado doctor con vinculación permanente,FACULTAD DE DERECHO
"GARCÍA PÉREZ, ROSA MARÍA",Profesorado doctor con vinculación permanente,FACULTAD DE DERECHO
"LÓPEZ BUSTOS, FRANCISCO",Profesorado doctor con vinculación permanente,FACULTAD DE DERECHO
"LÓPEZ NEVOT, JOSÉ ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE DERECHO
"MARTÍNEZ DHIER, ALEJANDRO",Profesorado doctor con vinculación permanente,FACULTAD DE DERECHO
"MERCADO PACHECO, PEDRO",Profesorado doctor con vinculación permanente,FACULTAD DE DERECHO
"OLMEDO CARDENETE, MIGUEL DOMINGO",Profesorado doctor con vinculación permanente,FACULTAD DE DERECHO
"ORZA LINARES, RAMÓN",Profesorado doctor con vinculación permanente,FACULTAD DE DERECHO
"PÉREZ-SERRABONA GONZÁLEZ, JOSÉ LUIS",Profesorado doctor con vinculación permanente,FACULTAD DE DERECHO
"TORRES ROSELL, NURIA",Profesorado doctor con vinculación permanente,FACULTAD DE DERECHO
"GALINDO MORALES, RAMÓN",Profesorado doctor con vinculación permanente,FACULTAD DE EDUCACIÓN DE HUMANIDADES (CEUTA)
"TRUJILLO SÁEZ, FERNANDO JESÚS",Profesorado doctor con vinculación permanente,FACULTAD DE EDUCACIÓN DE HUMANIDADES (CEUTA)
"ENRIQUE MIRÓN, CARMEN",Profesorado doctor con vinculación permanente,FACULTAD DE EDUCACIÓN Y HUMANIDADES (MELILLA)
"SÁNCHEZ FERNÁNDEZ, SEBASTIÁN",Profesorado doctor con vinculación permanente,FACULTAD DE EDUCACIÓN Y HUMANIDADES (MELILLA)
"ARANDA RAMÍREZ, PILAR",Profesorado doctor con vinculación permanente,FACULTAD DE FARMACIA
"GONZÁLEZ PÉREZ, JOSEFA Mª",Profesorado doctor con vinculación permanente,FACULTAD DE FARMACIA
"LÓPEZ JURADO ROMERO CRUZ, MARÍA",Profesorado doctor con vinculación permanente,FACULTAD DE FARMACIA
"DEL MORAL GARCÍA, ANA ISABEL",Profesorado doctor con vinculación permanente,FACULTAD DE FARMACIA
"MORENO PRIETO, MIGUEL",Profesorado doctor con vinculación permanente,FACULTAD DE FARMACIA
"NICLÓS GUTIÉRREZ, JUAN",Profesorado doctor con vinculación permanente,FACULTAD DE FARMACIA
"OCAÑA LARA, FRANCISCO ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE FARMACIA
"QUESADA ARROQUIA, EMILIA",Profesorado doctor con vinculación permanente,FACULTAD DE FARMACIA
"RECALDE MANRIQUE, LUIS",Profesorado doctor con vinculación permanente,FACULTAD DE FARMACIA
"RUIZ-BRAVO LÓPEZ, ALFONSO",Profesorado doctor con vinculación permanente,FACULTAD DE FARMACIA
"SÁNCHEZ POZO, ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE FARMACIA
"SUÁREZ ORTEGA, Mª DOLORES",Profesorado doctor con vinculación permanente,FACULTAD DE FARMACIA
"ÁGUILA ESCOBAR, GONZALO",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"ALONSO RAYA, ROSARIO",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"CALVO CASTELLÓN, ANTONIO JUAN",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"CANO PÉREZ, MARÍA JOSÉ",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
VACANTE,Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"GARCÍA MORA, FÉLIX",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"GÓMEZ OLIVER, MIGUEL CARLOS",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"GÓMEZ ZOTANO, JOSÉ",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"LARA NIETO, MARÍA DEL CARMEN",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"MANJÓN POZAS, FRANCISCO JOSÉ",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"MAROTO MARTOS, JUAN CARLOS",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"MARTÍN-VIVALDI CABALLERO, MARÍA ELENA",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"MARTÍN MORENO, ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"ORTEGA SANTOS, ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"SALVADOR VENTURA, FRANCISCO",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"SÁNCHEZ-MONTES GONZÁLEZ, FRANCISCO",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"SÁNCHEZ MONTES, MARÍA JOSÉ",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"SANZ SAINZ, INMACULADA",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"TRILLO SAN JOSÉ, MARÍA DEL CARMEN",Profesorado doctor con vinculación permanente,FACULTAD DE FILOSOFÍA Y LETRAS
"BUENO CAVANILLAS, AURORA",Profesorado doctor con vinculación permanente,FACULTAD DE MEDICINA
"CRESPO FERRER, PASCUAL VICENTE",Profesorado doctor con vinculación permanente,FACULTAD DE MEDICINA
VACANTE,Profesorado doctor con vinculación permanente,FACULTAD DE MEDICINA
"DE LA HIGUERA TORRES-PUCHOL, JOSÉ MANUEL",Profesorado doctor con vinculación permanente,FACULTAD DE MEDICINA
"PEÑA ANGULO, JUAN FRANCISCO",Profesorado doctor con vinculación permanente,FACULTAD DE MEDICINA
"RUIZ EXTREMERA, ÁNGELES",Profesorado doctor con vinculación permanente,FACULTAD DE MEDICINA
"SÁNCHEZ-MONTESINOS GARCÍA, INDALECIO",Profesorado doctor con vinculación permanente,FACULTAD DE MEDICINA
VACANTE,Profesorado doctor con vinculación permanente,FACULTAD DE MEDICINA
"VIVES MONTERO, FRANCISCO",Profesorado doctor con vinculación permanente,FACULTAD DE MEDICINA
"BRAVO PÉREZ, MANUEL",Profesorado doctor con vinculación permanente,FACULTAD DE ODONTOLOGÍA
"FERRER LUQUE, CARMEN MARÍA",Profesorado doctor con vinculación permanente,FACULTAD DE ODONTOLOGÍA
"LUCENA MARTÍN, CRISTINA",Profesorado doctor con vinculación permanente,FACULTAD DE ODONTOLOGÍA
"RODRÍGUEZ ARCHILLA, ALBERTO",Profesorado doctor con vinculación permanente,FACULTAD DE ODONTOLOGÍA
"AJO MOLINA, MARÍA TERESA",Profesorado doctor con vinculación permanente,FACULTAD DE PSICOLOGÍA
"CÁNDIDO ORTIZ, ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE PSICOLOGÍA
"CATENA MARTÍNEZ, ANDRÉS",Profesorado doctor con vinculación permanente,FACULTAD DE PSICOLOGÍA
"EXPÓSITO JIMÉNEZ, FRANCISCA",Profesorado doctor con vinculación permanente,FACULTAD DE PSICOLOGÍA
"MALDONADO LÓPEZ, ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE PSICOLOGÍA
"MARTÍN TAMAYO, IGNACIO",Profesorado doctor con vinculación permanente,FACULTAD DE PSICOLOGÍA
"MEDIAVILLA GARCÍA, PALMIRA CRISTINA",Profesorado doctor con vinculación permanente,FACULTAD DE PSICOLOGÍA
"BALLESTER CASADO, ANA ROSA",Profesorado doctor con vinculación permanente,FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN
"COLLADOS AIS, ÁNGELA MARÍA",Profesorado doctor con vinculación permanente,FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN
"JIMÉNEZ HURTADO, CATALINA",Profesorado doctor con vinculación permanente,FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN
"MONTERO MARTÍNEZ, SILVIA",Profesorado doctor con vinculación permanente,FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN
"MUÑOZ RAYA, EVA",Profesorado doctor con vinculación permanente,FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN
"DEL CANTO BOSSINI, ALEJANDRO JESÚS",Profesorado funcionario no doctor,CIRCUNSCRIPCIÓN ÚNICA
"CUETO ESPINAR, JOSÉ MARÍA",Profesorado funcionario no doctor,CIRCUNSCRIPCIÓN ÚNICA
"HERRERA CARDENETE, EMILIO",Profesorado funcionario no doctor,CIRCUNSCRIPCIÓN ÚNICA
"LÓPEZ LINARES, ANTONIO",Profesorado funcionario no doctor,CIRCUNSCRIPCIÓN ÚNICA
"JOAQUÍN MUÑOZ VINUESA, ANTONIO",Profesorado funcionario no doctor,CIRCUNSCRIPCIÓN ÚNICA
"PASSOLAS COLMENERO, JOAQUÍN",Profesorado funcionario no doctor,CIRCUNSCRIPCIÓN ÚNICA
"RODRÍGUEZ MONGE, ÁNGEL",Profesorado funcionario no doctor,CIRCUNSCRIPCIÓN ÚNICA
VACANTE,Profesorado emérito,CIRCUNSCRIPCIÓN ÚNICA
"CEREZO BALSERA, RAFAEL",Personal investigador en formación y perfeccionamiento,CIRCUNSCRIPCIÓN ÚNICA
VACANTE,Personal investigador en formación y perfeccionamiento,CIRCUNSCRIPCIÓN ÚNICA
"BIEL RUIZ, BLANCA",Resto Personal Docente e Investigador,FACULTAD DE CIENCIAS
"EL HOMRANI, MOHAMED",Resto Personal Docente e Investigador,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"LARA RUBIO, JUAN",Resto Personal Docente e Investigador,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"MARTÍNEZ RAMOS, MARÍA ROSER",Resto Personal Docente e Investigador,CIRCUNSCRIPCIÓN 1: E.T.S DE ARQUITECTURA / E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN / FACULTAD DE BELLAS ARTES
VACANTE,Resto Personal Docente e Investigador,"CIRCUNSCRIPCIÓN 2: E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS / E.T.S. INGENIERÍA DE EDIFICACIÓN"
"MONTOYA JUÁREZ, RAFAEL",Resto Personal Docente e Investigador,CIRCUNSCRIPCIÓN 3: FACULTAD DE CIENCIAS DE LA SALUD / FACULTAD DE MEDICINA / VICERRECTORADO DE ENSEÑANZAS DE GRADO Y POSGRADO / ESCUELA INTERNACIONAL DE POSGRADO
"CUESTA RICO, FRANCISCO",Resto Personal Docente e Investigador,CIRCUNSCRIPCIÓN 4: FACULTAD DE TRABAJO SOCIAL / FACULTAD DE CIENCIAS DEL TRABAJO / FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA / FACULTAD DE DERECHO / FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN
"VEGA EXPÓSITO, MIGUEL",Resto Personal Docente e Investigador,CIRCUNSCRIPCIÓN 4: FACULTAD DE TRABAJO SOCIAL / FACULTAD DE CIENCIAS DEL TRABAJO / FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA / FACULTAD DE DERECHO / FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN
"LÓPEZ SAKO, NOBUO IGNACIO",Resto Personal Docente e Investigador,CIRCUNSCRIPCIÓN 5: FACULTAD DE FILOSOFÍA Y LETRAS / FACULTAD DE CIENCIAS DEL DEPORTE / FACULTAD DE COMUNICACIÓN Y DOCUMENTACIÓN / FACULTAD DE FARMACIA / FACULTAD DE ODONTOLOGÍA / FACULTAD DE PSICOLOGÍA
VACANTE,Resto Personal Docente e Investigador,CIRCUNSCRIPCIÓN 5: FACULTAD DE FILOSOFÍA Y LETRAS / FACULTAD DE CIENCIAS DEL DEPORTE / FACULTAD DE COMUNICACIÓN Y DOCUMENTACIÓN / FACULTAD DE FARMACIA / FACULTAD DE ODONTOLOGÍA / FACULTAD DE PSICOLOGÍA
"GONZÁLEZ VÁZQUEZ, ANTONIO",Resto Personal Docente e Investigador,CIRCUNSCRIPCIÓN 6: FACULTAD DE EDUCACIÓN Y HUMANIDADES DE CEUTA / FACULTAD DE CIENCIAS DE LA SALUD DE CEUTA / ESCUELA DE POSGRADO DE CEUTA
VACANTE,Resto Personal Docente e Investigador,CIRCUNSCRIPCIÓN 7: FACULTAD DE CIENCIAS SOCIALES DE MELILLA / FACULTAD DE ENFERMERÍA DE MELILLA / FACULTAD DE EDUCACIÓN Y HUMANIDADES DE MELILLA / ESCUELA DE POSGRADO DE MELILLA
VACANTE,Profesorado asociado de Ciencias de la Salud,CIRCUNSCRIPCIÓN ÚNICA
"ROJAS MONTES, CRISTINA",Profesorado asociado de Ciencias de la Salud,CIRCUNSCRIPCIÓN ÚNICA
VACANTE,Profesorado asociado de Ciencias de la Salud,CIRCUNSCRIPCIÓN ÚNICA
"CONTRERAS UBRIC, JORGE",Estudiantes,E.T.S. DE ARQUITECTURA
"MAS LLUCH, ANTONI",Estudiantes,E.T.S. DE ARQUITECTURA
VACANTE,Estudiantes,"E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS"
"QUIRÓS NEBRERA, CRISTIAN",Estudiantes,"E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS"
"ROBLES PÉREZ, SALVADOR",Estudiantes,E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN
VACANTE,Estudiantes,E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN
VACANTE,Estudiantes,E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN
"LÓPEZ RENTERO, RUBÉN",Estudiantes,E.T.S. DE INGENIERÍA DE EDIFICACIÓN
VACANTE,Estudiantes,E.T.S. DE INGENIERÍA DE EDIFICACIÓN
VACANTE,Estudiantes,E.T.S. DE INGENIERÍA DE EDIFICACIÓN
VACANTE,Estudiantes,FACULTAD DE CIENCIAS DE LA SALUD (GRANADA)
"HAMMOU MOHAMEDI, HAMZA",Estudiantes,FACULTAD DE CIENCIAS SOCIALES DE MELILLA
VACANTE,Estudiantes,FACULTAD DE ENFERMERÍA DE MELILLA
VACANTE,Estudiantes,FACULTAD DE TRABAJO SOCIAL
"GÓMEZ CASTRO, ARACELI",Estudiantes,FACULTAD DE BELLAS ARTES
VACANTE,Estudiantes,FACULTAD DE BELLAS ARTES
"FERNÁNDEZ ORTIZ, JULIÁN",Estudiantes,FACULTAD DE CIENCIAS
"GARCÍA HERNÁNDEZ, JOAQUÍN",Estudiantes,FACULTAD DE CIENCIAS
VACANTE,Estudiantes,FACULTAD DE CIENCIAS
"PEREGRÍN MARCOS, FRANCISCO JAVIER",Estudiantes,FACULTAD DE CIENCIAS
"TORRUS GARCÍA, ANA MARÍA",Estudiantes,FACULTAD DE CIENCIAS
VACANTE,Estudiantes,FACULTAD DE CIENCIAS
VACANTE,Estudiantes,FACULTAD DE CIENCIAS
VACANTE,Estudiantes,FACULTAD DE CIENCIAS DEL DEPORTE
VACANTE,Estudiantes,FACULTAD DE CIENCIAS DEL DEPORTE
"FERNÁNDEZ FORNIELLES, FRANCISCO",Estudiantes,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"FERNÁNDEZ JIMÉNEZ, CARMEN",Estudiantes,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"GARRIDO GARCÍA, ÁNGELA MARÍA",Estudiantes,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"JURADO VIGIL, ARACELI",Estudiantes,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"MOLINA CASCO, CRISTINA",Estudiantes,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
VACANTE,Estudiantes,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
"ZAMORA ALGUACIL, JOSÉ",Estudiantes,FACULTAD DE CIENCIAS DE LA EDUCACIÓN
VACANTE,Estudiantes,FACULTAD DE CIENCIAS DEL TRABAJO
