Tipo,Denominación,Cargo,Identificación,Perfil
Colegiados,Consejo Social,Vocal por los intereses sociales por la Federación Andaluza de Municipios y Provincias,Dª María Francés Barrientos,Ayuntamiento de Granada – Concejala de Protección Ciudadana y Movilidad
Colegiados,Consejo Social,Vocal por los intereses sociales por la Federación Andaluza de Municipios y Provincias,D. Rafael Gil Bracero,Profesor Titular de Universidad
Colegiados,Consejo de Gobierno,Rectora,PILAR ARANDA RAMÍREZ,Rectora
Colegiados,Consejo de Gobierno,Secretario General,PEDRO MERCADO PACHECO,Secretario General
Colegiados,Consejo de Gobierno,Gerente,MARÍA DEL MAR HOLGADO MOLINA,Gerente
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Vicerrectores,PILAR CARRASCO CARRASCO,Vicerrectora de Personal Docente e Investigador
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Vicerrectores,VÍCTOR MEDINA FLÓREZ,Vicerrector de Extensión Universitaria
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Vicerrectores,ENRIQUE HERRERA VIEDMA,Vicerrector de Investigación y Transferencia
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Vicerrectores,JOSÉ ANTONIO NARANJO RODRÍGUEZ,Vicerrector de Estudiantes y Empleabilidad
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Vicerrectores,DOROTHY KELLY,Vicerrectora de Internacionalización
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Vicerrectores,MARÍA LÓPEZ-JURADO ROMERO DE LA CRUZ,Vicerrectora de Docencia
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Vicerrectores,TERESA ORTEGA LÓPEZ,"Vicerrectora de Responsabilidad Social, Igualdad e Inclusión"
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – profesorado doctor con vinculación permanente,"BAJO MOLINA, MARÍA TERESA",Profesorado doctor con vinculación permanente a la Universidad
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – profesorado doctor con vinculación permanente,"BUENO CAVANILLAS, AURORA",Profesorado doctor con vinculación permanente a la Universidad
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – profesorado doctor con vinculación permanente,"CORZO FERNÁNDEZ, SUSANA",Profesorado doctor con vinculación permanente a la Universidad
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – profesorado doctor con vinculación permanente,"CRUZ PIZARRO, LUIS",Profesorado doctor con vinculación permanente a la Universidad
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – profesorado doctor con vinculación permanente,"DELGADO PADIAL, ANTONIO",Profesorado doctor con vinculación permanente a la Universidad
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – profesorado doctor con vinculación permanente,"EXPÓSITO JIMÉNEZ, FRANCISCA",Profesorado doctor con vinculación permanente a la Universidad
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – profesorado doctor con vinculación permanente,"GARCÍA RÍOS, MARÍA DEL CARMEN",Profesorado doctor con vinculación permanente a la Universidad
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – profesorado doctor con vinculación permanente,"MARTÍNEZ RODRÍGUEZ, JUAN BAUTISTA",Profesorado doctor con vinculación permanente a la Universidad
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – profesorado doctor con vinculación permanente,"MOLINA SORIANO, RAFAEL",Profesorado doctor con vinculación permanente a la Universidad
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – profesorado doctor con vinculación permanente,"UREÑA ESPÁ, AURELIO",Profesorado doctor con vinculación permanente a la Universidad
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – profesorado doctor con vinculación permanente,"VELILLA SÁNCHEZ, NICOLÁS",Profesorado doctor con vinculación permanente a la Universidad
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Resto de PDI,"CUESTA RICO, FRANCISCO",Resto de Personal Docente e Investigador
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Resto de PDI,"EL HOMRANI, MOHAMMED",Resto de Personal Docente e Investigador
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Estudiantes,"FERNÁNDEZ JIMÉNEZ, CARMEN",Estudiantes
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Estudiantes,"JURADO VIGIL, ARACELI",Estudiantes
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Estudiantes,"MORA PALOMARES, AGUSTÍN",Estudiantes
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Estudiantes,"ROBLES PÉREZ, SALVADOR",Estudiantes
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Estudiantes,"TENEDOR TENEDOR, JAVIER",Estudiantes
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – PAS,"LÓPEZ FERNÁNDEZ, JOSÉ ANTONIO",Personal de Administración y Servicios
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – PAS,"PÉREZ PÉREZ, ANTONIA",Personal de Administración y Servicios
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Decanos de Facultades mayor número de titulaciones,JOSE ANTONIO PÉREZ TAPIAS,Decano de la Facultad de Filosofía y Letras
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Decanos de Facultades mayor número de titulaciones,ANTONIO RÍOS GUADIX,Decano de la Facultad de Ciencias
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Decanos de Facultades mayor número de titulaciones,JAVIER VILLORIA PRIETO,Decano de la Facultad de Ciencias de la Educación
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Decanos de Facultades mayor número de estudiantes,RAFAEL CANO GUERVÓS,Decano de la Facultad de Ciencias Económicas y Empresariales
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Decanos de Facultades mayor número de estudiantes,MIGUEL OLMEDO CARDENETE,Decano de la Facultad de Derecho
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Decanos de Facultades mayor número de estudiantes,ANA ISABEL DEL MORAL GARCÍA,Decana de la Facultad de Farmacia
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Decanos de Facultad o Directores de Escuela elegidos por colectivos,JOAQUÍN FERNÁNDEZ VALDIVIA,Decanos de Facultad o Directores de Escuela
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Decanos de Facultad o Directores de Escuela elegidos por colectivos,JUAN ANTONIO MARMOLEJO MARTÍN,Decanos de Facultad o Directores de Escuela
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Decanos de Facultad o Directores de Escuela elegidos por colectivos,ÁNGEL RODRÍGUEZ MONGE,Decanos de Facultad o Directores de Escuela
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Decanos de Facultad o Directores de Escuela elegidos por colectivos,INDALECIO SÁNCHEZ-MONTESINOS GARCÍA,Decanos de Facultad o Directores de Escuela
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Decanos de Facultad o Directores de Escuela elegidos por colectivos,VACANTE,Decanos de Facultad o Directores de Escuela
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Directores y directoras de Departamento elegidos por colectivos,RAMÓN CARMONA MARTOS,Directores y directoras de Departamento
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Directores y directoras de Departamento elegidos por colectivos,FRANCISCO CONTRERAS CORTÉS,Directores y directoras de Departamento
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Directores y directoras de Departamento elegidos por colectivos,ANDRÉS GONZÁLEZ CARMONA,Directores y directoras de Departamento
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Directores y directoras de Departamento elegidos por colectivos,VACANTE,Directores y directoras de Departamento
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Directores y directoras de Departamento elegidos por colectivos,VACANTE,Directores y directoras de Departamento
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria – Director de Instituto Universitario de Investigación,ANTONIO OSUNA CARRILLO DE ALBORNOZ,Director de Instituto Universitario de Investigación
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria propuestos por la Rectora,JESÚS BANQUERI OZÁEZ,Miembros de la Comunidad Universitaria propuestos por la Rectora
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria propuestos por la Rectora,ÓSCAR CORDÓN GARCÍA,Miembros de la Comunidad Universitaria propuestos por la Rectora
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria propuestos por la Rectora,ROBERTO GÓMEZ AMATE,Miembros de la Comunidad Universitaria propuestos por la Rectora
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria propuestos por la Rectora,CARMEN MARCO DE LA CALLE,Miembros de la Comunidad Universitaria propuestos por la Rectora
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria propuestos por la Rectora,GORKA MARTÍN TERRÓN,Miembros de la Comunidad Universitaria propuestos por la Rectora
Colegiados,Consejo de Gobierno,Miembros de la Comunidad Universitaria propuestos por la Rectora,MARÍA TERESA POZO LLORENTE,Miembros de la Comunidad Universitaria propuestos por la Rectora
Colegiados,Consejo de Gobierno,Miembros del Consejo Social no pertenecientes a la Comunidad Universitaria,JAVIER DE TERESA GALVÁN,Miembros del Consejo Social no pertenecientes a la Comunidad Universitaria
Colegiados,Consejo de Gobierno,Miembros del Consejo Social no pertenecientes a la Comunidad Universitaria,VIRTUDES MOLINA ESPINAR,Miembros del Consejo Social no pertenecientes a la Comunidad Universitaria
Colegiados,Consejo de Gobierno,Miembros del Consejo Social no pertenecientes a la Comunidad Universitaria,VACANTE,Miembros del Consejo Social no pertenecientes a la Comunidad Universitaria
Colegiados,Consejo de Gobierno,Personas que asisten con voz y sin voto,"CONDE ANTEQUERA, JESÚS",Presidente del Comité de Empresa del PDI Laboral
Colegiados,Consejo de Gobierno,Personas que asisten con voz y sin voto,"RAMOS TAPIA, INMACULADA",Vicesecretaria General
Colegiados,Consejo de Gobierno,Personas que asisten con voz y sin voto,"MARTÍN SEGURA, JOSE AURELIANO",Presidente Comité de Empresa PDI-Ceuta
Colegiados,Consejo de Gobierno,Personas que asisten con voz y sin voto,"MARTOS GARCÍA, JOSÉ LUIS",Presidente de la Junta de Personal del PAS Funcionario
Colegiados,Consejo de Gobierno,Personas que asisten con voz y sin voto,"MUELAS GONZÁLEZ, FRANCISCO",Presidenta del Comité de Empresa del PAS Laboral
Colegiados,Consejo de Gobierno,Personas que asisten con voz y sin voto,"PEÑA ANGULO, JUAN FCO.",Presidente de la Junta de PDI Funcionario
Colegiados,Consejo de Gobierno,Personas que asisten con voz y sin voto,"SOLANO GALVIS, CÉSAR",Presidente Comité de Empresa PDI- Melilla
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Rectora,Pilar Aranda Ramírez,Rectora
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora del Gabinete de la Rectora,María Elena Morales Torres,RPT - PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora de Protocolo y Relaciones Institucionales,Manuela Suárez Pinilla,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Asesor Especial para la Rectora,José Antonio Lorente Acosta,Sin remuneración
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Secretario General,Pedro Mercado Pacheco,Vicerrector
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Vicesecretaria General,Inmaculada Ramos Tapia,Decana
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora del Área de Transparencia y Simplificación Administrativa,Celia García Fernández,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de los Servicios Jurídicos,Juan Luis Ruiz-Rico Díez,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de la Oficina de Gestión de la Comunicación,José Ángel Ibáñez Zapata,Decano
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Subdirector de la Oficina de Gestión de la Comunicación,José Gutiérrez Rodríguez,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,"Directora de la Unidad de Calidad, Innovación y Prospectiva",María Teresa Pozo Llorente,Decana
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,"Directora de la Oficina de Datos, Información y Prospectiva",Aurora Inés del Río Cabeza,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,"Directora del Secretariado de Evaluación, Mejora y Acreditación de Títulos y de Servicios",Mª Angustias Navarro Ruiz,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Responsable Técnico del Área de Evaluación y Mejora de Servicios,J. Claudio Gil Reyes,Secretario Departamento
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Responsable Técnico del Área de Seguimiento y Acreditación de Títulos y Centros,Pedro Rubio Mercado,Secretario Departamento
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Vicerrector,Víctor Medina Flórez,Vicerrector
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Centro de Cultura Contemporánea,Ricardo Anguita Cantero,Decano
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora del Área de Artes Visuales,Amalia Belén Mazuecos Sánchez,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora de la Unidad de Cultura Científica,Ana Isabel García López,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Coordinador del Área de Recursos Expositivos,Ángel García Roldán,Secretario Departamento
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Coordinador del Área de Recursos Didácticos,Pilar Núñez Delgado,Secretario Departamento
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Coordinador del Área de Recursos Gráficos y Edición,Antonio Collados Alcaide,Secretario Departamento
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Secretariado de Conservación y Restauración,Jorge Alberto Durán Suárez,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora del Secretariado de Bienes Culturales,María Luisa Bellido Gant,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Centro Mediterráneo,Óscar Barroso Fernández,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Subdirectora del Centro Mediterráneo,Mª Vanesa Martos Núñez,Vicedecana
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Herbario,Pedro Miguel Sánchez Castillo,Sin remuneración
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Vicerrector,José Antonio Naranjo Rodríguez,Vicerrector
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora de la Unidad de Becas y Asistencia al Estudiante,Josefa María González Pérez,Decana
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de la Unidad de Orientación Profesional y Empleabilidad,Antonio Delgado Padial,Decano
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de Orientación Académica,Juan Luis Benítez Muñoz,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora del Secretariado de Coordinación con Órganos de Representación y Gestión Estudiantil,Raquel Fuentes García,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora del Secretariado de Información y Participación Estudiantil,Claudia Sandubete Bautista,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,"Directora del Secretariado de Asociacionismo, Cultura y Sociedad",Araceli Jurado Vigil,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Coordinador General de Acceso,Ceferino Ruiz Garrido,Decano
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Coordinadora General de Emprendimiento,Mª del Mar Fuentes Fuentes,Decana
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Vicerrectora,María del Pilar Carrasco Carrasco,Vicerrectora
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Secretariado de PDI,Miguel Ángel García Rubio,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Secretariado de Plantilla y Planificación,Manuel Lozano Márquez,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Vicerrector,Enrique Herrera Viedma,Vicerrector
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de Centros e Institutos de Investigación y Plan Propio,Fernando Cornet Sánchez del Águila,Decano
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Secretariado de Política Científica,Pedro Ángel Castillo Valdivieso,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Subdirectora de Plan Propio,María del Carmen Aguilar Luzón,Vicedecana
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Laboratorio de Investigación en Cultura y Sociedad Digital,Esteban Romero Frías,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de la Oficina de Proyectos,Miguel Ángel Guardia,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora de Proyectos Internacionales – Área de Promoción,María José Martín Bautista,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de Proyectos Internacionales – Área de Gestión,José Antonio Carrillo,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de la Oficina de Transferencia de Resultados de Investigación,Jesús Banqueri Ozáez,Decano
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Subdirector de la Oficina de Transferencia de Resultados de Investigación,Rafael García Gómez,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Centro de Instrumentación Científica,Fco. Javier Romero Mora,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora de la Biblioteca Universitaria,María José Ariza Rubio,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Subdirector de la Biblioteca Universitaria,José Luis Sánchez-Lafuente Valencia,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora de la Editorial Universidad de Granada,María Isabel Cabrera García,Decana
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Codirector del Centro Mixto MADOC-UGR,Jesús Banqueri Ozáez,Profesor Titular de Universidad
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Codirector del Centro Mixto MADOC-UGR,Antonio M. Peña García,Secretario Departamento
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Vicerrectora,María López-Jurado Romero de la Cruz,Vicerrectora
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de los Estudios de Grado,Juan Manuel Martín García,Decano
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de Ordenación Académica,Salvador Morales Ruano,Decano
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de la Escuela Internacional de Posgrado,Manuel Ángel Garrido Ramos,Decano
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora del Secretariado de Másteres y Títulos Propios,Concepción Rodríguez Marín,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,"Director de la Escuela de Doctorado de Ciencias, Tecnologías e Ingenierías",Antonio García Casco,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de la Escuela de Doctorado de Ciencias de la Salud,María Teresa Bajo Molina,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,"Director de la Escuela de Doctorado de Humanidades, Ciencias Sociales y Jurídicas",Francisco Contreras Cortés,Sin remuneración
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de Proyectos Internacionales – Área de Gestión,José Antonio Carrillo,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora del Aula Permanente de Formación Abierta,María del Carmen García Garnica,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Gerente,María del Mar Holgado,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director,Manuel Pedro Rodríguez Bolívar,Vicerrector
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Área Económico – Presupuestaria,Manuel Alonso Prados Prados,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Vicegerente de Personal Funcionario,Francisco Mesa Manzano,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Vicegerente de Personal Laboral,Evaristo Molero Mesa,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Vicegerente de Planificación Estratégica de Recursos Humanos y Organización,Francisco Javier Buendía Fernández,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora del Área de Formación,Mª Eloísa Collantes Martín,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de la Unidad Técnica de Construcción,Juan Francisco Moriana Ávila,RPT – PAS
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de la Oficina de Energía e Instalaciones,Antonio Espín Estrella,Decano
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director de la Oficina de Infraestructuras y Patrimonio,Joaquín Passolas Colmenero,Decano
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Vicerrectora,Dorothy Kelly,Vicerrectora
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Secretariado de Estrategia Internacional,Leonor Moral Soriano,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Secretariado de Proyectos y Redes Internacionales,Artur Schmitt,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Secretariado de Coordinación Académica de la Internacionalización,Wenceslao Martín Rosales,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora de la Oficina Internacional,Mercedes López Roldán,Director de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora del Secretariado de Polótica Lingóóstica,Carmen Caballero Navas,Directora de Secretariado
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director-Gerente del Centro de Lenguas Modernas,David Ortiz Rodríguez,Decano
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Directora del Instituto Confucio,Alicia Relinque Eleta,Vicedecana
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del Centro Ruso,Enrique F. Quero Gervilla,Sin remuneración
Equipo Amplio de Gobierno,Equipo Amplio de Gobierno,Director del CICODE,Domingo Barrera Rosillo,Decano
