CAPITULO,CONCEPTO/PROGRAMA,422 D,541 A,321 B,TOTALES 
Capitulo 4. Transferencias corrientes,490.11 Cuotas y contrib.organismos internacionales,30000,0,0,30000
Capitulo 6. Inversiones reales,602 Construcciones propias,0,0,14046908,14046908
Capitulo 6. Inversiones reales,"603 Maquinaria Centros, Departamentos y Servicios",0,0,500000,500000
Capitulo 6. Inversiones reales,603.03 Maquinaria (Equipamiento Gral.Docente),0,0,400000,400000
Capitulo 6. Inversiones reales,603.04 Maquinaria (Equipamiento de gestión),0,0,100000,100000
Capitulo 6. Inversiones reales,"605 Mobiliario y enseres Centros, Depart. y Servicios",0,0,1476840,1476840
Capitulo 6. Inversiones reales,605.03 Mobiliario y enseres (Equip.Gral.docente),0,0,400000,400000
Capitulo 6. Inversiones reales,605.04 Mobiliario y enseres (Equipamiento de gestión),0,0,75000,75000
Capitulo 6. Inversiones reales,"606 Sistemas procesos información. Centros, Departamentos y Servic.",0,0,1000000,1000000
Capitulo 6. Inversiones reales,606.01 Sistemas procesos información. CSIRC,0,0,240000,240000
Capitulo 6. Inversiones reales,606.02 Sistemas procesos información.Enseñanzas Virtuales,0,0,211000,211000
Capitulo 6. Inversiones reales,606.05 Sistemas procesos  información de Gestión,0,0,150000,150000
Capitulo 6. Inversiones reales,608 Inversiones bibliográficas,400000,3600000,25000,4025000
Capitulo 6. Inversiones reales,622 Inversiones Infraestructura y Equipamiento Junta Andalucía,0,0,36746055,36746055
Capitulo 6. Inversiones reales,631 Programa FEDER 2007/13,0,7000000,0,7000000
Capitulo 6. Inversiones reales,635.01 Actuaciones CEI 2009,0,0,0,0
Capitulo 6. Inversiones reales,635.03  Actuaciones INNPLANTA 2012,0,0,0,0
Capitulo 6. Inversiones reales,640 Investigación Científica,0,30061159,0,30061159
Capitulo 6. Inversiones reales,641 Plan Propio de Investigación Científica,0,3360000,0,3360000
Capitulo 6. Inversiones reales,641.01 Plan Propio Inv.Cient.Mantenimiento CIC,0,0,0,0
Capitulo 6. Inversiones reales,641.02 Plan Propio de Fomento de la Productividad Investigadora,0,1000000,0,1000000
Capitulo 6. Inversiones reales,642 Programas de Proyección Internacional y Promoción Lingüística,70000,0,0,70000
Capitulo 6. Inversiones reales,"644 Plan de Innovación, Calidad Docente y EEES.",570000,0,0,570000
Capitulo 6. Inversiones reales,645 Actuaciones Fomento de Empleo,400000,0,0,400000
Capitulo 6. Inversiones reales,648 Plan Propio de Internacionalización,715000,0,0,715000
Capitulo 6. Inversiones reales,662 Inversiones propias de reposición,0,0,1700000,1700000
Capitulo 7. Transferencias de capital,780.05  Plan Propio para Promoción del Autoempleo,250000,0,0,250000
Capitulo 7. Transferencias de capital,784 Ayudas diversas Consejo Social,0,0,12000,12000
Capitulo 7. Transferencias de capital,785 A Fundación Universidad Empresa,0,0,0,0
Capitulo 7. Transferencias de capital,785.09 A otras Instituciones. Parque de las Ciencias,0,0,106213,106213
Capitulo 8. Activos financieros,831 Anticipos y préstamos a Personal Universidad   G.A.S.,650000,0,0,650000
Capitulo 8. Activos financieros,831.01 Linea especial de anticipos,0,0,0,0
Capitulo 9. Pasivos financieros,911 Amortización de préstamos a largo plazo. Sector Público,0,0,1127217,1127217
