CAPÍTULO,ARTÍCULO,CONCEPTO,DENOMINACIÓN,IMPORTES,X
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",222,Comunicaciones,1100000,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",223,Transportes,300000,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",224,Primas de seguros,200000,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",225,Tributos,100000,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",226,Gastos diversos,4468457,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros","226,01",Atenciones protocolarias y de representación,250000,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",227,Trabajos realizados por otras empresas,5300000,
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,230,Dietas,608750,
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,231,Locomoción,600000,
Capítulo 3º. Gastos financieros,Artículo 31. De préstamos en moneda nacional,310,Intereses operaciones a corto plazo,15000,
Capítulo 3º. Gastos financieros,Artículo 31. De préstamos en moneda nacional,311,"Gastos de emisión, modificación y cancelación",0,
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,484,Convenios con otras instituciones,35000,
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,485,"A Fundac, y otras instituciones sin fines de lucro",730029,
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,"485,03",Al Centro mediterráneo ,38495,
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,602,Construcciones propias,14046908,
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,603,Maquinaria en general,500000,
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"603,03",Maquinaria (equipamiento gral.docente),400000,
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"603,04",Maquinaria (equipamiento de gestión),100000,
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,605,Mobiliario y enseres en general,1476840,
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"605,03",Mobiliario y enseres (equip. gral.docente),400000,
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"605,04",Mobiliario y enseres (equip.gestión),75000,
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,606,Sistemas procesos información. en general,1000000,
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"606,01",Sistemas procesos información. CSIRC,240000,
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"606,02",Sistemas procesos información. Enseñ. Virtuales,211000,
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"606,05",Sistemas procesos información de Gestión,150000,
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,608,Inversiones bibliográficas,25000,
Capítulo 6º. Inversiones reales,Artículo 62. Plan plurianual inversiones 2006/2010,622,Inversiones Infraestructura y Equip. J Andalucía,36746055,
Capítulo 6º. Inversiones reales,Artículo 66. Inversiones de Reposición,662,Inversiones propias de reposición,1700000,
Capítulo 7º. Transferencias de capital,Artículo 78. A Familias e Instituciones sin fines de lucro,"784,40",Ayudas diversas del Consejo Social,12000,
Capítulo 7º. Transferencias de capital,Artículo 78. A Familias e Instituciones sin fines de lucro,"785,09",A otras Instituciones. Parque de las Ciencias,106213,
Capítulo 9º. Pasivos financieros,Artículo 91. Amortización de deuda pública,911,Amortiz. Préstamos a largo plazo. Sector público,1127217,
