CÓDIGO,TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL
299,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"74,58","86,36","26,67"
407,GRADUADO/A EN ENFERMERÍA (CEUTA),"81,92","87,73","19,26"
414,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"84,4","90,55",
433,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"77,98","86,07","30,56"
457,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"78,2","86,24","25,74"
458,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"84,31","90,99","26,42"
496,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"45,91","65,16","44,44"
507,GRADUADO/A EN ENFERMERÍA (MELILLA),"86,87","88,9","6,67"
514,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"80,52","85,48",
533,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"61,02","76,05","41,18"
535,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"35,4","70,89",
537,DIPLOMADO EN RELACIONES LABORALES (MELILLA),"31,47",100,
538,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"7,13","26,56",
539,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"78,39","88,14","86,67"
557,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"69,89","76,9","27,27"
558,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"83,58","87,71","29,27"
559,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"68,38","87,46","33,33"
