,Web of Science Documents,Times Cited,Cites per Document (Impact),% Documents Cited,Impact Relative to Subject Area,Impact Relative to Institution,% Documents in Subject Area,% Documents in Institution,% Documents Cited Relative to Subject Area,% Documents Cited Relative to Institution
LITERARY REVIEWS,1,0,0,0,0,0,0.04,0.01,0,0
LITERARY THEORY & CRITICISM,30,0,0,0,0,0,1.4,0.31,0,0
LITERATURE,5,3,0.6,40,2.61,0.1,0.04,0.05,3.06,0.59
"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN",0,0,,,0,0,0,0,,
"LITERATURE, AMERICAN",0,0,,,0,0,0,0,,
"LITERATURE, BRITISH ISLES",0,0,,,0,0,0,0,,
"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",0,0,,,0,0,0,0,,
"LITERATURE, ROMANCE",28,1,0.04,3.57,0.57,0.01,0.46,0.29,0.64,0.05
"LITERATURE, SLAVIC",0,0,,,0,0,0,0,,
LOGIC,3,74,24.67,100,23.95,4.04,0.07,0.03,2.56,1.48
MANAGEMENT,90,215,2.39,57.78,0.64,0.39,0.22,0.94,0.93,0.86
MARINE & FRESHWATER BIOLOGY,90,465,5.17,73.33,1.21,0.85,0.18,0.94,1.03,1.09
"MATERIALS SCIENCE, BIOMATERIALS",35,248,7.09,80,0.92,1.16,0.14,0.36,1.05,1.19
"MATERIALS SCIENCE, CERAMICS",2,0,0,0,0,0,0.01,0.02,0,0
"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",4,6,1.5,50,0.82,0.25,0.04,0.04,1.03,0.74
"MATERIALS SCIENCE, COATINGS & FILMS",2,4,2,100,0.48,0.33,0.01,0.02,1.41,1.48
"MATERIALS SCIENCE, COMPOSITES",4,7,1.75,50,0.48,0.29,0.03,0.04,0.8,0.74
"MATERIALS SCIENCE, MULTIDISCIPLINARY",226,"1,282",5.67,76.99,0.87,0.93,0.07,2.35,1.09,1.14
"MATERIALS SCIENCE, PAPER & WOOD",1,4,4,100,1.71,0.65,0.01,0.01,1.84,1.48
"MATERIALS SCIENCE, TEXTILES",0,0,,,0,0,0,0,,
MATHEMATICAL & COMPUTATIONAL BIOLOGY,41,121,2.95,65.85,0.52,0.48,0.15,0.43,0.96,0.98
MATHEMATICS,413,744,1.8,57.63,1.16,0.29,0.36,4.3,1.25,0.85
"MATHEMATICS, APPLIED",379,940,2.48,60.16,1.06,0.41,0.33,3.95,1.13,0.89
"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",75,130,1.73,56,0.57,0.28,0.19,0.78,0.94,0.83
MECHANICS,63,314,4.98,73.02,1.46,0.82,0.08,0.66,1.15,1.08
MEDICAL ETHICS,0,0,,,0,0,0,0,,
MEDICAL INFORMATICS,25,70,2.8,44,0.8,0.46,0.21,0.26,0.71,0.65
MEDICAL LABORATORY TECHNOLOGY,7,18,2.57,85.71,0.59,0.42,0.05,0.07,1.3,1.27
"MEDICINE, GENERAL & INTERNAL",8,19,2.38,62.5,0.27,0.39,0.04,0.08,1.1,0.93
"MEDICINE, LEGAL",28,70,2.5,60.71,0.81,0.41,0.32,0.29,0.99,0.9
"MEDICINE, RESEARCH & EXPERIMENTAL",59,353,5.98,69.49,0.97,0.98,0.07,0.61,1.03,1.03
MEDIEVAL & RENAISSANCE STUDIES,8,2,0.25,25,1.04,0.04,0.33,0.08,1.55,0.37
METALLURGY & METALLURGICAL ENGINEERING,0,0,,,0,0,0,0,,
METEOROLOGY & ATMOSPHERIC SCIENCES,106,653,6.16,83.96,1.06,1.01,0.2,1.1,1.16,1.25
MICROBIOLOGY,82,416,5.07,80.49,0.68,0.83,0.08,0.85,1.06,1.19
MICROSCOPY,8,9,1.13,50,0.31,0.18,0.14,0.08,0.74,0.74
MINERALOGY,99,491,4.96,73.74,1.18,0.81,0.91,1.03,1.07,1.09
MINING & MINERAL PROCESSING,3,1,0.33,33.33,0.13,0.05,0.03,0.03,0.6,0.49
MULTIDISCIPLINARY SCIENCES,18,90,5,72.22,0.33,0.82,0.09,0.19,1.1,1.07
MUSIC,10,4,0.4,30,0.62,0.07,0.2,0.1,1.19,0.44
MYCOLOGY,5,12,2.4,80,0.59,0.39,0.06,0.05,1.14,1.19
NANOSCIENCE & NANOTECHNOLOGY,48,238,4.96,72.92,0.54,0.81,0.04,0.5,0.97,1.08
NEUROIMAGING,5,31,6.2,80,0.68,1.01,0.04,0.05,0.99,1.19
NEUROSCIENCES,238,"1,801",7.57,74.79,0.9,1.24,0.13,2.48,0.96,1.11
NUCLEAR SCIENCE & TECHNOLOGY,18,168,9.33,55.56,3.97,1.53,0.04,0.19,0.98,0.82
NURSING,36,41,1.14,25,0.54,0.19,0.11,0.37,0.45,0.37
NUTRITION & DIETETICS,311,"1,587",5.1,63.34,0.84,0.83,0.65,3.24,0.86,0.94
OBSTETRICS & GYNECOLOGY,52,191,3.67,67.31,0.89,0.6,0.09,0.54,1.02,1
OCEANOGRAPHY,49,235,4.8,75.51,1.03,0.79,0.17,0.51,1.07,1.12
ONCOLOGY,88,570,6.48,77.27,0.75,1.06,0.05,0.92,1.03,1.15
OPERATIONS RESEARCH & MANAGEMENT SCIENCE,150,701,4.67,71.33,1.35,0.76,0.39,1.56,1.11,1.06
OPHTHALMOLOGY,27,104,3.85,88.89,0.86,0.63,0.06,0.28,1.31,1.32
OPTICS,95,376,3.96,67.37,0.87,0.65,0.08,0.99,1,1
ORNITHOLOGY,20,130,6.5,80,2.56,1.06,0.35,0.21,1.3,1.19
ORTHOPEDICS,16,36,2.25,62.5,0.56,0.37,0.03,0.17,0.96,0.93
OTORHINOLARYNGOLOGY,11,25,2.27,63.64,0.8,0.37,0.04,0.11,1.05,0.94
PALEONTOLOGY,89,415,4.66,71.91,1.31,0.76,0.71,0.93,1.03,1.07
PARASITOLOGY,22,97,4.41,72.73,0.68,0.72,0.09,0.23,0.98,1.08
PATHOLOGY,33,109,3.3,66.67,0.62,0.54,0.08,0.34,0.95,0.99
PEDIATRICS,53,359,6.77,67.92,1.75,1.11,0.07,0.55,1.05,1.01
PERIPHERAL VASCULAR DISEASE,24,199,8.29,79.17,1.03,1.36,0.05,0.25,1.04,1.17
PHARMACOLOGY & PHARMACY,195,"1,276",6.54,73.85,1.12,1.07,0.11,2.03,1.01,1.1
PHILOSOPHY,40,8,0.2,10,0.33,0.03,0.19,0.42,0.38,0.15
"PHYSICS, APPLIED",116,387,3.34,63.79,0.6,0.55,0.05,1.21,0.94,0.95
"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",117,663,5.67,80.34,0.98,0.93,0.15,1.22,1.04,1.19
"PHYSICS, CONDENSED MATTER",52,190,3.65,75,0.51,0.6,0.04,0.54,1.04,1.11
"PHYSICS, FLUIDS & PLASMAS",33,165,5,87.88,1.17,0.82,0.08,0.34,1.27,1.3
"PHYSICS, MATHEMATICAL",126,531,4.21,73.02,1.13,0.69,0.24,1.31,1.11,1.08
"PHYSICS, MULTIDISCIPLINARY",327,"5,670",17.34,86.85,2.78,2.84,0.27,3.4,1.31,1.29
"PHYSICS, NUCLEAR",54,"3,931",72.8,79.63,16.58,11.91,0.19,0.56,1.25,1.18
"PHYSICS, PARTICLES & FIELDS",334,"9,191",27.52,84.13,4.04,4.5,0.63,3.48,1.17,1.25
PHYSIOLOGY,89,636,7.15,77.53,1.11,1.17,0.17,0.93,1.01,1.15
PLANNING & DEVELOPMENT,8,7,0.88,37.5,0.33,0.14,0.07,0.08,0.65,0.56
PLANT SCIENCES,124,859,6.93,76.61,1.26,1.13,0.13,1.29,1.09,1.14
POETRY,0,0,,,0,0,0,0,,
POLITICAL SCIENCE,25,19,0.76,28,0.41,0.12,0.1,0.26,0.59,0.42
POLYMER SCIENCE,60,517,8.62,85,1.58,1.41,0.07,0.62,1.18,1.26
PRIMARY HEALTH CARE,7,9,1.29,28.57,0.49,0.21,0.12,0.07,0.44,0.42
PSYCHIATRY,129,696,5.4,69.77,0.89,0.88,0.16,1.34,0.99,1.03
PSYCHOLOGY,121,510,4.21,60.33,0.74,0.69,0.41,1.26,0.84,0.89
"PSYCHOLOGY, APPLIED",54,113,2.09,42.59,0.55,0.34,0.35,0.56,0.65,0.63
"PSYCHOLOGY, BIOLOGICAL",45,125,2.78,82.22,0.51,0.45,0.59,0.47,1.08,1.22
"PSYCHOLOGY, CLINICAL",99,476,4.81,61.62,0.96,0.79,0.32,1.03,0.87,0.91
"PSYCHOLOGY, DEVELOPMENTAL",24,64,2.67,54.17,0.49,0.44,0.12,0.25,0.74,0.8
"PSYCHOLOGY, EDUCATIONAL",24,116,4.83,62.5,1.34,0.79,0.26,0.25,0.99,0.93
"PSYCHOLOGY, EXPERIMENTAL",164,630,3.84,69.51,0.67,0.63,0.52,1.71,0.94,1.03
"PSYCHOLOGY, MATHEMATICAL",9,40,4.44,77.78,1.05,0.73,0.31,0.09,1.15,1.15
"PSYCHOLOGY, MULTIDISCIPLINARY",219,778,3.55,59.36,0.87,0.58,0.65,2.28,0.98,0.88
"PSYCHOLOGY, PSYCHOANALYSIS",0,0,,,0,0,0,0,,
"PSYCHOLOGY, SOCIAL",40,198,4.95,67.5,1.25,0.81,0.24,0.42,1.03,1
PUBLIC ADMINISTRATION,24,36,1.5,50,0.79,0.25,0.3,0.25,0.98,0.74
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",175,845,4.83,66.86,1.14,0.79,0.15,1.82,1.01,0.99
"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",46,145,3.15,65.22,0.57,0.52,0.05,0.48,0.92,0.97
REHABILITATION,53,130,2.45,67.92,0.72,0.4,0.16,0.55,1.07,1.01
RELIGION,14,0,0,0,0,0,0.11,0.15,0,0
REMOTE SENSING,19,99,5.21,94.74,1.24,0.85,0.14,0.2,1.42,1.4
REPRODUCTIVE BIOLOGY,24,77,3.21,70.83,0.55,0.53,0.11,0.25,0.93,1.05
RESPIRATORY SYSTEM,5,24,4.8,40,0.75,0.79,0.01,0.05,0.53,0.59
RHEUMATOLOGY,42,176,4.19,61.9,0.59,0.69,0.17,0.44,0.84,0.92
ROBOTICS,2,0,0,0,0,0,0.03,0.02,0,0
SOCIAL ISSUES,4,4,1,25,0.43,0.16,0.06,0.04,0.45,0.37
"SOCIAL SCIENCES, BIOMEDICAL",9,82,9.11,55.56,2.27,1.49,0.07,0.09,0.81,0.82
"SOCIAL SCIENCES, INTERDISCIPLINARY",48,85,1.77,43.75,0.8,0.29,0.24,0.5,0.86,0.65
"SOCIAL SCIENCES, MATHEMATICAL METHODS",14,11,0.79,57.14,0.28,0.13,0.14,0.15,0.98,0.85
SOCIAL WORK,7,15,2.14,42.86,1.04,0.35,0.08,0.07,0.78,0.64
SOCIOLOGY,41,18,0.44,24.39,0.2,0.07,0.18,0.43,0.49,0.36
SOIL SCIENCE,43,190,4.42,69.77,1.14,0.72,0.22,0.45,1.04,1.03
SPECTROSCOPY,42,261,6.21,71.43,1.67,1.02,0.1,0.44,1.1,1.06
SPORT SCIENCES,181,889,4.91,62.98,1.13,0.8,0.46,1.88,0.95,0.93
STATISTICS & PROBABILITY,132,386,2.92,57.58,0.87,0.48,0.31,1.37,1.01,0.85
SUBSTANCE ABUSE,32,106,3.31,59.38,0.69,0.54,0.22,0.33,0.83,0.88
SURGERY,25,82,3.28,48,0.8,0.54,0.02,0.26,0.74,0.71
TELECOMMUNICATIONS,41,93,2.27,51.22,0.73,0.37,0.08,0.43,0.92,0.76
THEATER,0,0,,,0,0,0,0,,
THERMODYNAMICS,3,6,2,66.67,0.51,0.33,0.01,0.03,1.04,0.99
TOXICOLOGY,54,319,5.91,79.63,1.08,0.97,0.11,0.56,1.07,1.18
TRANSPLANTATION,8,23,2.88,62.5,0.52,0.47,0.03,0.08,0.82,0.93
TRANSPORTATION,28,83,2.96,57.14,1.16,0.48,0.23,0.29,1.01,0.85
TRANSPORTATION SCIENCE & TECHNOLOGY,15,23,1.53,66.67,0.57,0.25,0.1,0.16,1.19,0.99
TROPICAL MEDICINE,11,26,2.36,72.73,0.52,0.39,0.07,0.11,1.08,1.08
URBAN STUDIES,15,55,3.67,53.33,1.5,0.6,0.18,0.16,0.93,0.79
UROLOGY & NEPHROLOGY,22,33,1.5,40.91,0.26,0.25,0.04,0.23,0.58,0.61
VETERINARY SCIENCES,15,29,1.93,73.33,0.75,0.32,0.02,0.16,1.27,1.09
VIROLOGY,3,12,4,66.67,0.48,0.65,0.01,0.03,0.84,0.99
WATER RESOURCES,133,542,4.08,75.19,1.06,0.67,0.25,1.38,1.13,1.11
WOMENS STUDIES,14,42,3,71.43,1.42,0.49,0.21,0.15,1.33,1.06
ZOOLOGY,93,335,3.6,70.97,1.13,0.59,0.17,0.97,1.1,1.05
