AREA,TITULO,2011,2012,2013,2014,2015
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,26,26,27,24,23
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN SOCIOLOGÍA,25,19,19,22,21
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN ECONOMÍA,24,25,26,27,28
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,23,28,25,26,29
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),22,15,15,12,14
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),21,27,30,14,1
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),20,17,21,15,19
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,19,16,17,28,24
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,18,14,12,11,15
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),17,10,9,9,8
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,16,22,20,20,26
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),15,11,10,8,10
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN DERECHO,14,24,24,21,27
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),13,18,14,16,13
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,12,20,18,18,18
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN TURISMO,11,9,8,13,12
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,10,8,11,10,11
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN FINANZAS Y CONTABILIDAD,9,13,23,23,30
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,8,12,16,19,20
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN PEDAGOGÍA,7,7,4,4,5
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,6,5,7,7,9
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN PRIMARIA,5,6,6,5,6
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,4,1,3,3,4
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN TRABAJO SOCIAL,3,4,5,6,7
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN INFANTIL,2,2,1,1,2
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN SOCIAL,1,3,2,2,3
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),7,6,7,7,7
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA INFORMÁTICA,6,7,6,6,5
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA QUÍMICA,5,5,4,5,4
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN EDIFICACIÓN,4,3,5,3,3
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN ARQUITECTURA,3,2,2,2,2
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,2,1,1,1,1
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA CIVIL,1,4,3,4,6
