AREA,TITULO,2013,2014,2015
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),10,10,4
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,11,11,10
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),12,23,15
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),13,13,13
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,14,7,6
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN PEDAGOGÍA,15,16,25
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN ECONOMÍA,16,15,16
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,17,24,14
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN TURISMO,18,19,27
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,19,28,24
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN DERECHO,20,14,12
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,21,12,19
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN TRABAJO SOCIAL,22,21,20
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN INFANTIL,23,27,26
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,24,25,28
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN FINANZAS Y CONTABILIDAD,25,17,17
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN PRIMARIA,26,20,21
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,27,22,22
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN SOCIAL,28,26,23
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),1,6,7
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA QUÍMICA,2,2,1
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA INFORMÁTICA,3,1,3
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN ARQUITECTURA,4,4,5
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,5,7,6
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN EDIFICACIÓN,6,3,2
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA CIVIL,7,5,4
