"Identificación","Cargo","Asimilación","Perteneciente a"
"Claudia Sandubete Bautista","Directora del Secretariado de Información y Participación Estudiantil","Directora de Secretariado","Vicerrectorado de Estudiantes y Empleabilidad"
"Araceli Jurado Vigil","Directora del Secretariado de Asociacionismo, Cultura y Sociedad","Directora de Secretariado","Vicerrectorado de Estudiantes y Empleabilidad"
"Ceferino Ruiz Garrido","Coordinador General de Acceso","Decano","Vicerrectorado de Estudiantes y Empleabilidad"
"Mª del Mar Fuentes Fuentes","Coordinadora General de Emprendimiento","Decana","Vicerrectorado de Estudiantes y Empleabilidad"
"Marí­a del Pilar Carrasco Carrasco","Vicerrectora","Vicerrectora","Vicerrectorado de Personal Docente e Investigador"
"Miguel Ángel Garcí­a Rubio","Director del Secretariado de PDI","Director de Secretariado","Vicerrectorado de Personal Docente e Investigador"
"Manuel Lozano Márquez","Director del Secretariado de Plantilla y Planificación","Director de Secretariado","Vicerrectorado de Personal Docente e Investigador"
"Enrique Herrera Viedma","Vicerrector","Vicerrector","Vicerrectorado de Investigación y Transferencia"
"Fernando Cornet Sánchez del Águila","Director de Centros e Institutos de Investigación y Plan Propio","Decano","Vicerrectorado de Investigación y Transferencia - Área de Investigación"
"Pedro Ángel Castillo Valdivieso","Director del Secretariado de Polí­tica Cientí­fica","Director de Secretariado","Vicerrectorado de Investigación y Transferencia - Área de Investigación"
"Marí­a del Carmen Aguilar Luzón","Subdirectora de Plan Propio","Vicedecana","Vicerrectorado de Investigación y Transferencia - Área de Investigación"
"Esteban Romero Frí­as","Director del Laboratorio de Investigación en Cultura y Sociedad Digital","Director de Secretariado","Vicerrectorado de Investigación y Transferencia - Área de Investigación"
"Miguel Ángel Guardia","Director de la Oficina de Proyectos","RPT - PAS","Vicerrectorado de Investigación y Transferencia - Oficina de Proyectos"
"Marí­a José Martí­n Bautista","Directora de Proyectos Internacionales - Área de Promoción","Directora de Secretariado","Vicerrectorado de Investigación y Transferencia - Oficina de Proyectos"
"José Antonio Carrillo","Director de Proyectos Internacionales - Área de Gestión","RPT - PAS","Vicerrectorado de Investigación y Transferencia - Oficina de Proyectos"
"Jesús Banqueri Ozáez","Director de la Oficina de Transferencia de Resultados de Investigación","Decano","Vicerrectorado de Investigación y Transferencia - Área de Transferencia del Conocimiento"
"Rafael Garcí­a Gómez","Subdirector de la Oficina de Transferencia de Resultados de Investigación","Director de Secretariado","Vicerrectorado de Investigación y Transferencia - Área de Transferencia del Conocimiento"
"Fco. Javier Romero Mora","Centro de Instrumentación Cientí­fica","RPT - PAS","Vicerrectorado de Investigación y Transferencia - Centros y Servicios"
"Marí­a José Ariza Rubio","Directora de la Biblioteca Universitaria","Directora de Secretariado","Vicerrectorado de Investigación y Transferencia - Centros y Servicios"
"José Luis Sánchez-Lafuente Valencia","Subdirector de la Biblioteca Universitaria","RPT - PAS","Vicerrectorado de Investigación y Transferencia - Centros y Servicios"
"Marí­a Isabel Cabrera Garcí­a","Directora de la Editorial Universidad de Granada","Decana","Vicerrectorado de Investigación y Transferencia - Centros y Servicios"
"Jesús Banqueri Ozáez","Codirector del Centro Mixto MADOC-UGR",,"Vicerrectorado de Investigación y Transferencia - Centros y Servicios"
"Antonio M. Peña Garcí­a","Codirector del Centro Mixto MADOC-UGR","Secretario Departamento","Vicerrectorado de Investigación y Transferencia - Centros y Servicios"
"Marí­a López-Jurado Romero de la Cruz","Vicerrectora","Vicerrectora","Vicerrectorado de Docencia"
"Juan Manuel Martí­n Garcí­a","Director de los Estudios de Grado","Decano","Vicerrectorado de Docencia"
"Salvador Morales Ruano","Director de Ordenación Académica","Decano","Vicerrectorado de Docencia"
"Manuel Ángel Garrido Ramos","Director de la Escuela Internacional de Posgrado","Decano","Vicerrectorado de Docencia - Escuela Internacional de Posgrado"
"Concepción Rodrí­guez Marí­n","Directora del Secretariado de Másteres y Tí­tulos Propios","Directora de Secretariado","Vicerrectorado de Docencia - Escuela Internacional de Posgrado"
"Antonio Garcí­a Casco","Director de la Escuela de Doctorado de Ciencias, Tecnologí­as e Ingenierí­as","Director de Secretariado","Vicerrectorado de Docencia - Escuela Internacional de Posgrado"
"Marí­a Teresa Bajo Molina","Director de la Escuela de Doctorado de Ciencias de la Salud","Directora de Secretariado","Vicerrectorado de Docencia - Escuela Internacional de Posgrado"
"Francisco Contreras Cortés","Director de la Escuela de Doctorado de Humanidades, Ciencias Sociales y Jurí­dicas","Sin remuneración","Vicerrectorado de Docencia - Escuela Internacional de Posgrado"
"José Antonio Carrillo","Director de Proyectos Internacionales - Área de Gestión","RPT - PAS","Vicerrectorado de Docencia - Escuela Internacional de Posgrado"
"Marí­a del Carmen Garcí­a Garnica","Directora del Aula Permanente de Formación Abierta","Directora de Secretariado","Vicerrectorado de Docencia - Aula Permanente de Formación Abierta"
"Marí­a del Mar Holgado","Gerente","RPT - PAS","Gerencia"
"Manuel Pedro Rodrí­guez Bolí­var","Director","Vicerrector","Gerencia - Dirección de Asuntos Económicos"
"Manuel Alonso Prados Prados","Director del Área Económico - Presupuestaria","RPT - PAS","Gerencia - Dirección de Asuntos Económicos"
"Francisco Mesa Manzano","Vicegerente de Personal Funcionario","RPT - PAS","Gerencia - Dirección de Recursos Humanos"
"Evaristo Molero Mesa","Vicegerente de Personal Laboral","RPT - PAS","Gerencia - Dirección de Recursos Humanos"
"Francisco Javier Buendí­a Fernández","Vicegerente de Planificación Estratégica de Recursos Humanos y Organización","RPT - PAS","Gerencia - Dirección de Recursos Humanos"
"Mª Eloí­sa Collantes Martí­n","Directora del Área de Formación","RPT - PAS","Gerencia - Dirección de Recursos Humanos"
"Juan Francisco Moriana Ávila","Director de la Unidad Técnica de Construcción","RPT - PAS","Gerencia - Área de Infraestructuras"
"Antonio Espí­n Estrella","Director de la Oficina de Energí­a e Instalaciones","Decano","Gerencia - Área de Infraestructuras"
"Joaquí­n Passolas Colmenero","Director de la Oficina de Infraestructuras y Patrimonio","Decano","Gerencia - Área de Infraestructuras"
"Dorothy Kelly","Vicerrectora","Vicerrectora","Vicerrectorado de Internacionalización"
"Leonor Moral Soriano","Director del Secretariado de Estrategia Internacional","Directora de Secretariado","Vicerrectorado de Internacionalización - Área de Internacionalización"
"Artur Schmitt","Director del Secretariado de Proyectos y Redes Internacionales","Director de Secretariado","Vicerrectorado de Internacionalización - Área de Internacionalización"
"Wenceslao Martí­n Rosales","Director del Secretariado de Coordinación Académica de la Internacionalización","Director de Secretariado","Vicerrectorado de Internacionalización - Área de Internacionalización"
"Mercedes López Roldán","Directora de la Oficina Internacional","Director de Secretariado","Vicerrectorado de Internacionalización - Área de Internacionalización"
"Carmen Caballero Navas","Directora del Secretariado de Polótica Lingóóstica","Directora de Secretariado","Vicerrectorado de Internacionalización - Área de Polí­tica Lingí¼í­stica"
"David Ortiz Rodrí­guez","Director-Gerente del Centro de Lenguas Modernas","Decano","Vicerrectorado de Internacionalización - Área de Polí­tica Lingí¼í­stica"
"Alicia Relinque Eleta","Directora del Instituto Confucio","Vicedecana","Vicerrectorado de Internacionalización - Área de Polí­tica Lingí¼í­stica"
"Enrique F. Quero Gervilla","Director del Centro Ruso","Sin remuneración","Vicerrectorado de Internacionalización - Área de Polí­tica Lingí¼í­stica"
"Domingo Barrera Rosillo","Director del CICODE","Decano","Vicerrectorado de Internacionalización - Área de Cooperación al Desarrollo"
"Teresa Ortega López","Vicerrectora","Vicerrectora","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión"
"Marí­a Elena Marañón Lizana","Directora del Área de Inclusión, Igualdad y Campus Saludable","PAS","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión"
"Esperanza Alcaí­n Martí­nez","Directora del Secretariado para la Inclusión y la Diversidad","Directora de Secretariado","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Inclusión"
"Miguel Lorente Acosta","Director del Secretariado de Igualdad y Conciliación","Director de Secretariado","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Igualdad y Conciliación"
"Encarnación Molina Calles","Asistente Técnica","PAS","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Igualdad y Conciliación"
"M. Belén Feriche Fernández-Castanys","Directora del Secretariado de Campus Saludable","Directora de Secretariado","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Campus Saludable"
"Jordi Joan Mercadé Torras","Director del Centro de Actividades Deportivas (CAD)","Decano","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Campus Saludable"
"Manuel Fernández Conde","Subdirector del Centro de Actividades Deportivas (CAD)","Secretario Departamento","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Campus Saludable"
"Marta Lozano Garcí­a","Coordinadora del Campus Saludable","Secretario Departamento","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Campus Saludable"
"Juan Antonio Lao Pérez","Coordinador de Infraestructura, Gestión de Espacios e Información a Centros","Secretario Departamento","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Campus Saludable"
"Javier Machado Santiago","Coordinador del Servicio de Salud","Secretario Departamento","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Campus Saludable"
"Francisco Sicilia Gutiérrez","Coordinador del Servicio Técnico de Prevención","Secretario Departamento","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Campus Saludable"
"Juan Villalba Moreno","Director del Servicio de Protección Radiológica","Director de Secretariado","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Campus Saludable"
"Ramona Rubio Herrera","Directora del Gabinete de Calidad de Vida y Envejecimiento","Sin remuneración","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Campus Saludable"
"Eugenio Manuel Roca Aroca","Director del Gabinete de Acción Social","RPT - PAS","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Acción Social, Solidaridad y Vida Universitaria"
"Juan Carlos Maroto Martos","Director de UGR-Solidaria","Secretario Departamento","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Acción Social, Solidaridad y Vida Universitaria"
"Antonio Almendros Gallego","Coordinador de Colegios Mayores y Residencias Universitarias","Sin remuneración / compensación 6 créditos","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Acción Social, Solidaridad y Vida Universitaria"
"Antonia Reyes Requena","Directora de la Residencia Universitaria Carmen de la Victoria","Sin remuneración / compensación 6 créditos","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Acción Social, Solidaridad y Vida Universitaria"
"José Antonio Garcí­a Sánchez","Director de la Residencia Universitaria Corrala de Santiago","Sin remuneración","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Acción Social, Solidaridad y Vida Universitaria"
"Aurora Valenzuela Garach","Directora del Colegio Mayor Isabel La Católica","Directora de Secretariado","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión - Área de Acción Social, Solidaridad y Vida Universitaria"
"Óscar Cordón Garcí­a","Delegado","Vicerrector","Delegación de la Rectora para la Universidad Digital"
"José Ruiz González","Director del CSIRC","RPT - PAS","Delegación de la Rectora para la Universidad Digital - Centro de Servicios de Informática y Redes de Comunicación (CSIRC)"
"Jaime Molina Garcí­a","Subdirector del CSIRC","RPT - PAS","Delegación de la Rectora para la Universidad Digital - Centro de Servicios de Informática y Redes de Comunicación (CSIRC)"
"Ignacio José Blanco Medina","Director del Centro de Enseñanzas Virtuales de la UGR","Decano","Delegación de la Rectora para la Universidad Digital - Centro de Enseñanzas Virtuales"
"Pedro Cano Olivares","Subdirector de Planificación Docente","Vicedecano","Delegación de la Rectora para la Universidad Digital - Centro de Enseñanzas Virtuales"
"Marí­a Isabel Garcí­a Arias","Subdirectora de Producción Digital","RPT - PAS","Delegación de la Rectora para la Universidad Digital - Centro de Enseñanzas Virtuales"
"Benjamí­n Vargas Quesada","Secretario del Centro de Enseñanzas Virtuales de la UGR","Secretario Departamento","Delegación de la Rectora para la Universidad Digital - Centro de Enseñanzas Virtuales"
"Miguel Garcí­a Silvente","Director de la Oficina Web","Director de Secretariado","Delegación de la Rectora para la Universidad Digital - Oficina Web"
"Pablo Orantes Pozo","Subdirector de la Oficina Web","RPT - PAS","Delegación de la Rectora para la Universidad Digital - Oficina Web"
"Juan Julián Merelo Guervós","Director de la Oficina de Software Libre","Director de Secretariado","Delegación de la Rectora para la Universidad Digital - Oficina de Software Libre"
"Nuria Rico Castro","Subdirectora de la Oficina de Software Libre","Secretario Departamento","Delegación de la Rectora para la Universidad Digital - Oficina de Software Libre"
"Luis Megí­as Megí­as","Inspector Jefe","Vicerrector","Inspección de Servicios"
"Marí­a del Mar Núñez González","Directora de la Oficina de Control Interno","RPT - PAS","Oficina de Control Interno"
"Francisco J. López Bustos","Asesor Técnico-Jurí­dico del Equipo de Gobierno","Decano","Asesorí­a Ténico - Jurí­dica del Equipo de Gobierno"
