"TÍTULO","TASA RENDIMIENTO","TASA ÉXITO","TASA ABANDONO INICIAL","TASA EFICIENCIA"
"GRADUADO/A EN ÓPTICA Y OPTOMETRÍA","69.14","73.39","97.52","17.89"
"GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE","86.97","92.46","96.65","6.99"
"GRADUADO/A EN LITERATURAS COMPARADAS","72.36","90.19","99.79","29.41"
"GRADUADO/A EN QUÍMICA","63.62","76.22","96.89","30.12"
"GRADUADO/A EN HISTORIA","73.68","86.15","96.74","20.67"
"GRADUADO/A EN HISTORIA DEL ARTE","75.11","86.21","97.22","35.51"
"GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL","70.78","85.9",,"21.15"
"GRADUADO/A EN INGENIERÍA INFORMÁTICA","57.76","72.03","95.35","53.47"
"GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS","67.51","77.65",,"34.78"
"GRADUADO/A EN PEDAGOGÍA","94.03","97.15","98.54","14.56"
"GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA","79.68","91.97","97.74","24.24"
"GRADUADO/A EN ENFERMERÍA (CEUTA)","90.13","93.94","93.77","14.48"
"GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA)","85.48","91.45",,"16.9"
"GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA)","81.31","90.14","98.77","13.33"
"GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA)",78,"87.3","94.05","18.46"
"GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA)","86.21","92.79","96.17","8.33"
"GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA)","47.59","68.52",,"11.11"
"GRADUADO/A EN ENFERMERÍA (MELILLA)","89.71","92.47","96.52","12.7"
"GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA)","79.83","85.78",,20
"GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA)","61.18","75.96","90.62","47.92"
"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""","56.67","91.07",,
"DIPLOMATURA DE RELACIONES LABORALES ""MELILLA""",100,100,,
"DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PUBLICA ""MELILLA""","80.33","80.33",,
"GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PUBLICA (MELILLA)","68.17","85.55","97.56",30
"GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA)","78.5","85.13","95.15","22.73"
"GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA)","86.93","92.75","97.13","24.24"
"GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.)","75.65","87.28","80.81",40
