TÍTULO,TASA RENDIMIENTO,TASA ÉXITO
GRADUADO/A EN ESTUDIOS FRANCESES,"65,04","75,72"
GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"57,94","81,47"
GRADUADO/A EN FILOLOGÍA HISPÁNICA,"82,82","90,8"
GRADUADO/A EN ESTUDIOS INGLESES,"72,42","81,95"
GRADUADO/A EN LOGOPEDIA,"86,83","91,6"
GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"63,69","70,75"
GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"88,21","92,48"
GRADUADO/A EN LITERATURAS COMPARADAS,"71,43","88,04"
GRADUADO/A EN QUÍMICA,"53,72","70,4"
GRADUADO/A EN HISTORIA,"63,6","80,37"
GRADUADO/A EN HISTORIA DEL ARTE,"63,27","77,31"
GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"75,09","84,83"
GRADUADO/A EN INGENIERÍA INFORMÁTICA,"38,01","54,58"
GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"49,11","61,54"
GRADUADO/A EN PEDAGOGÍA,"85,91","91,24"
GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"62,92","79,29"
GRADUADO/A EN ENFERMERÍA (CEUTA),"72,61","78,77"
GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"76,2","88,46"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"72,15","84,07"
GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"66,96","77,05"
GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"78,69","85,88"
GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"46,1","65,14"
GRADUADO/A EN ENFERMERÍA (MELILLA),"85,37","87,65"
GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"76,32","85,35"
GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"50,32","75,34"
DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"52,27","81,4"
DIPLOMADO EN RELACIONES LABORALES (MELILLA),"47,63","83,57"
DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"56,49","87,27"
GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"64,17",77
GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"68,87","78,56"
GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"77,32","84,41"
GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"64,97","82,73"
