"TÍTULO","TASA RENDIMIENTO","TASA ÉXITO","TASA ABANDONO INICIAL","TASA EFICIENCIA","TASA GRADUACIÓN","TASA ABANDONO"
"GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA)","54.28","65.71",0,,"83.33",10
"GRADUADO/A EN ENFERMERÍA (MELILLA)","88.66","90.84","68.33","94.12","11.67","12.9"
"GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA)","85.86","92.74",,"92.62",,"17.24"
"GRADUADO ADMINISTRACIÓN Y DIRECCIÓN EMPRESAS Y DCHO MELILLA","54.55","72.6",,,,
"GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA)","69.39","82.27","23.53","96.1","52.94","32.84"
"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""","75.34",100,,,,
"DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PUBLICA ""MELILLA""",100,100,,,,
"GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PUBLICA (MELILLA)","72.71","85.27","6.67",,"86.67","18.75"
"GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA)","74.67","81.6","25.97","94.61","55.84","31.51"
"GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA)","83.06","90.27","31.71","97.26","53.66","32.26"
"GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.)","74.86","87.25","22.22","96.39","55.56","20.45"
"GRADUADO/A CC ACT FÍSICA Y ED.PRIMA (MELILLA)","79.94","83.99",,,,
