"CONCEPTO/PROGRAMA","422 D","541 A","321 B","TOTALES "
"227 Trabajos realizados por otras empresas","900000","80000","5300000","6280000"
"230 Dietas ","900000","50000","608750","1558750"
"231 Locomoción","800000","50000","600000","1450000"
"234 Asistencias a órganos colegiados ","","","0","0"
"TOTAL CAPITULO 2º","11643334","805940","26042069","38491343"
"CAPITULO 3º. GASTOS FINANCIEROS","","","",""
"310 Intereses operaciones a corto plazo","","","15000","15000"
"311 Gastos de emisión, modificación y cancelación","","","","0"
"TOTAL CAPITULO 3º","0","0","15000","15000"
"CAPITULO 4º. TRANSFERENCIAS CORRIENTES","","","",""
"480 Becas  y ayudas propias a estudiantes","1340000","","","1340000"
"480.03 A Asociaciones estudiantiles","150000","","","150000"
"480.04 Plan Propio de Prácticas en Empresas y Entidades sin fines lucro","1150000","","","1150000"
"480.08 Plan Propio de Ayudas Sociales a Estudiantes","180000","","","180000"
"483 Becas Programas Europeos","10900000","","","10900000"
"484 Convenio con otras instituciones ","","","35000","35000"
"485 A Fundaciones y otras instituciones(Excepto 485,03)","","","517239","517239"
"485 A Fundaciones y otras instituciones  Consejo Social","","","212790","212790"
"485.03 Al Centro Mediterráneo","","","38495","38495"
"485.05 Otros Planes de Apoyo Junta de Andalucía","1325000","","","1325000"
"490.11 Cuotas y contrib.organismos internacionales","30000","","","30000"
"TOTAL CAPITULO 4º","15075000","0","803524","15878524"
"TOTAL OPERACIONES CORRIENTES","273458588","805940","26915788","301180316"
"CAPITULO 6º. INVERSIONES REALES","","","",""
"602 Construcciones propias","","","14046908","14046908"
"603 Maquinaria Centros, Departamentos y Servicios","","","500000","500000"
"603.03 Maquinaria (Equipamiento Gral.Docente)","","","400000","400000"
"603.04 Maquinaria (Equipamiento de gestión)","","","100000","100000"
"605 Mobiliario y enseres Centros, Depart. y Servicios","","","1476840","1476840"
"605.03 Mobiliario y enseres (Equip.Gral.docente)","","","400000","400000"
"605.04 Mobiliario y enseres (Equipamiento de gestión)","","","75000","75000"
"606 Sistemas procesos información. Centros, Departamentos y Servic.","","","1000000","1000000"
"606.01 Sistemas procesos información. CSIRC","","","240000","240000"
"606.02 Sistemas procesos información.Enseñanzas Virtuales","","","211000","211000"
"606.05 Sistemas procesos  informaciòn de Gestión","","","150000","150000"
"608 Inversiones bibliográficas","400000","3600000","25000","4025000"
"622 Inversiones Infraestructura y Equipamiento Junta Andalucía","","","36746055","36746055"
"631 Programa FEDER 2007/13","","7000000","","7000000"
"635.01 Actuaciones CEI 2009","","","0","0"
"635.03  Actuaciones INNPLANTA 2012","","","0","0"
"640 Investigación Científica","","30061159","","30061159"
"641 Plan Propio de Investigación Científica","","3360000","","3360000"
"641.01 Plan Propio Inv.Cient.Mantenimiento CIC","","","","0"
"641.02 Plan Propio de Fomento de la Productividad Investigadora","","1000000","","1000000"
"642 Programas de Proyección Internacional y Promoción Lingüística","70000","","","70000"
"644 Plan de Innovación, Calidad Docente y EEES.","570000","","","570000"
"645 Actuaciones Fomento de Empleo","400000","","","400000"
"648 Plan Propio de Internacionalización","715000","","","715000"
"662 Inversiones propias de reposición","","","1700000","1700000"
"TOTAL CAPITULO 6º","2155000","45021159","57070803","104246962"
"CAPITULO 7º. TRANSFERENCIAS DE CAPITAL","","","",""
"785 A Fundación Universidad Empresa","","","","0"
"TOTAL CAPITULO 7º","0","0","0","0"
"CAPITULO 7º. TRANSFERENCIAS DE CAPITAL","","","",""
"780.05  Plan Propio para Promoción del Autoempleo","250000","","","250000"
"784 Ayudas diversas Consejo Social","","","12000","12000"
"785.09 A otras Instituciones. Parque de las Ciencias","","","106213","106213"
"TOTAL CAPITULO 7º","250000","0","118213","368213"
"CAPITULO 8º. ACTIVOS FINANCIEROS","","","",""
"831 Anticipos y préstamos a Personal Universidad   G.A.S.","650000","","","650000"
"831.01 Linea especial de anticipos","0","","","0"
"TOTAL CAPITULO 8º","650000","0","0","650000"
"CAPITULO 9º. PASIVOS FINANCIEROS","","","",""
"911 Amortización de préstamos a largo plazo. Sector Público","","","1127217","1127217"
"TOTAL CAPITULO 9º","0","0","1127217","1127217"
"TOTAL OPERACIONES CAPITAL","3055000","45021159","58316233","106392392"
"TOTAL ESTADO DE GASTOS","276513588","45827099","85232021","407572708"
