Capítulo,Artículo,Concepto,Subconcepto,Denominación,Subconc
4,45. De Comunidades Autónomas,459. De otras Comunidades Autónomas,45902,De la Ciudad Autónoma de Ceuta,20000
4,46. De Corporaciones Locales,460. De Diputaciones y Cabildos Insulares,46000,De la Diputación de Granada,30000
4,46. De Corporaciones Locales,461. De Ayuntamientos,46100,Del Ayuntamiento de Granada,30000
4,46. De Corporaciones Locales,461. De Ayuntamientos,46199,De otros Ayuntamientos,30000
4,47. De empresas privadas,470. De entidades financieras,47001,De Banco Mare Nostrum según Convenio,300000
4,47. De empresas privadas,470. De entidades financieras,47002,Del BSCH según Convenio,500000
4,47. De empresas privadas,479. De otras empresas,47900,Para prácticas educativas,250000
4,47. De empresas privadas,479. De otras empresas,47901,Para actividades académicas,75000
4,49. Del exterior,495. Otras transferencias de la Unión Europea,49500,Para programas europeos,4000000
5,52. Intereses de depósitos,520. Intereses de cuentas bancarias,52000,De Banco Mare Nostrum,200000
5,52. Intereses de depósitos,520. Intereses de cuentas bancarias,52001,De otras cuentas y depósitos,300000
5,54. Rentas de bienes inmuebles,541. Alquiler y productos de inmuebles,54101,Instalaciones deportivas,500000
5,54. Rentas de bienes inmuebles,541. Alquiler y productos de inmuebles,54102,Aulas y otros recintos universitarios,100000
5,55. Producto de concesiones y aprov.especiales,551. De concesiones administrativas,No contemplado subconcepto,No contemplada denominación,400000
5,59. Otros ingresos patrimoniales,591. Explotación de patentes,59100,Licencias y explotación de patentes,6000
7,70. De la Administración General del Estado,"700. Del Ministerio Educación, Cultura y Deporte",70000,Para investigación científica,18000000
7,70. De la Administración General del Estado,"700. Del Ministerio Educación, Cultura y Deporte",70001,"Para equipam, Campus Ceuta y Melilla",270000
7,70. De la Administración General del Estado,"700. Del Ministerio Educación, Cultura y Deporte",70007,Cofinanciación Progr.Operativ.FEDER ,4900000
7,70. De la Administración General del Estado,701. De otros Ministerios,70100,Para investigación científica,95000
7,70. De la Administración General del Estado,702. Del Ministerio de Ciencia e Innovación,70200, INNPLANTA Conv. 2012,0
7,71. De Organismos Autónomos Administrativos,710. De Organismos autónomos estatales,71000,Del Instituto de Salud Carlos III,150000
7,71. De Organismos Autónomos Administrativos,710. De Organismos autónomos estatales,71001,Del Instituto de la Mujer,35000
7,71. De Organismos Autónomos Administrativos,710. De Organismos autónomos estatales,71002,Del Instituto Nacional Invest.Agrarias,40000
7,71. De Organismos Autónomos Administrativos,710. De Organismos autónomos estatales,71003,Del Consejo Superior de Deportes,18000
7,71. De Organismos Autónomos Administrativos,710. De Organismos autónomos estatales,71004,De la A.E.C.I.,200000
7,71. De Organismos Autónomos Administrativos,710. De Organismos autónomos estatales,71005,Del C.S.I.C.,150000
7,71. De Organismos Autónomos Administrativos,711. De Organismos autónomos Junta Andalucía,71101,Instituto Andaluz de la Mujer,50000
7,71. De Organismos Autónomos Administrativos,711. De Organismos autónomos Junta Andalucía,71102,Instituto Estadística de Andalucía,50000
7,74. De empresas públicas y otros entes públicos,740. De Otros Organismos,74001,De otros organismos,50000
7,74. De empresas públicas y otros entes públicos,740. De Otros Organismos,74099,De Otros Entes Públicos,150000
7,74. De empresas públicas y otros entes públicos,741. De Universidades,74100,De Universidades Andaluzas,50000
7,74. De empresas públicas y otros entes públicos,741. De Universidades,74199,De Otras Universidades,150000
7,75. De Comunidades Autónomas,750. Consej.Economía Innovación Ciencia y Empleo,75000,Para investigación científica,10000000
7,75. De Comunidades Autónomas,750. Consej.Economía Innovación Ciencia y Empleo,75001,Invers. Infraestr. y Equipam J And,44000000
7,75. De Comunidades Autónomas,750. Consej.Economía Innovación Ciencia y Empleo,75002,Cofinanciación Progr.Operativ.FEDER,2100000
7,75. De Comunidades Autónomas,750. Consej.Economía Innovación Ciencia y Empleo,75003,Proyecto Universidad Digital,211000
7,75. De Comunidades Autónomas,750. Consej.Economía Innovación Ciencia y Empleo,75007,Financ Operat Investig,85548965
7,75. De Comunidades Autónomas,750. Consej.Economía Innovación Ciencia y Empleo,75008,CEI Fortalecimiento,0
7,75. De Comunidades Autónomas,751. De otras Consejerías,75100,De Presidencia,25000
7,75. De Comunidades Autónomas,751. De otras Consejerías,75101,De Gobernación,25000
7,75. De Comunidades Autónomas,751. De otras Consejerías,75102,De Educación,25000
7,75. De Comunidades Autónomas,751. De otras Consejerías,75103,De Justicia y Administraciones Públic,25000
7,75. De Comunidades Autónomas,751. De otras Consejerías,75105,De Empleo,200000
7,75. De Comunidades Autónomas,751. De otras Consejerías,75106,"De Turismo, Comercio y Deporte",0
7,75. De Comunidades Autónomas,751. De otras Consejerías,75110,De Igualdad y Bienestar Social,20000
7,75. De Comunidades Autónomas,751. De otras Consejerías,75111,De Cultura,20000
7,75. De Comunidades Autónomas,759. De otras Comunidades Autónomas,75909,De resto de Comunidades Autónomas,25000
7,76. De Corporaciones Locales,760. De Diputaciones y Cabildos Insulares,76000,De la Diputación de Granada,10000
7,76. De Corporaciones Locales,760. De Diputaciones y Cabildos Insulares,76099,De otras Diputaciones Provinciales,10000
7,76. De Corporaciones Locales,761. De Ayuntamientos,76100,Del Ayuntamiento de Granada,10000
7,77. De empresas privadas,770. De entidades financieras,77001,De Caja Granada,0
7,77. De empresas privadas,770. De entidades financieras,77002,Del BSCH,500000
7,77. De empresas privadas,770. De entidades financieras,77003,De Caja Rural,250000
7,77. De empresas privadas,779. De otras empresas,No especificado,No especificado,200000
7,78. De familias e instituciones sin fines de lucro,781. De instituciones y fundaciones,78100,Para investigación científica,200000
7,79. Del exterior,795. Otras transferencias de la Unión Europea,79500,Para investigación científica,4000000
8,82. Reintegro de préstamos concedidos,821. A largo plazo,82100,Del personal de la Universidad,650000
