Orgánica,Vicerrectorado,Centro,Importe
3020200000,Vicerrectorado de Estudiantes y Empleabilidad. Gestión y actuaciones,Vicerrectorado de Estudiantes y Empleabilidad. Gestión y actuaciones,220000
3020970000,Vicerrectorado de Estudiantes y Empleabilidad. Gestión y actuaciones,Centro de Empleo y Prácticas,6000
3022610000,Vicerrectorado de Estudiantes y Empleabilidad. Gestión y actuaciones,Coordinación Acceso,6000
nuevo,Vicerrectorado de Estudiantes y Empleabilidad. Gestión y actuaciones,Coordinación general de Emprendimiento,9000
3021450000,Vicerrectorado de Estudiantes y Empleabilidad. Gestión y actuaciones,Casa de Porras (mantenimiento del edificio),9000
3020350000,Vicerrectorado de Personal Docente e Investigador,Vicerrectorado de Personal Docente e Investigador,16000
3020070000,Vicerrectorado de Extensión Universitaria,Vicerrectorado de Extensión Universitaria,39138
3020070000,Vicerrectorado de Extensión Universitaria,Recursos Extensión Universitaria,49000
3022870000,Vicerrectorado de Extensión Universitaria,Patrimonio Mueble,39200
,Vicerrectorado de Extensión Universitaria,Cultura Contemporánea,251000
3020890000,Vicerrectorado de Extensión Universitaria,Centro Mediterráneo,24000
,Vicerrectorado de Extensión Universitaria,Unidad de Cultura Científica,14500
3021220000,Vicerrectorado de Extensión Universitaria,Jardines Botánicos,11800
3021040000,Vicerrectorado de Extensión Universitaria,Herbario Universitario,9000
3022520000,Vicerrectorado de Extensión Universitaria,Orquesta de Cámara de la UGR,45000
,"Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión","Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión",15000
3020010000,"Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión",Centro de Actividades Deportivas,226125
3020310000,"Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión",Colegio Mayor Isabel La Católica,75000
3020320000,"Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión",Residencia Carmen de La Victoria,15000
3020470000,"Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión",Residencia Corrala de Santiago,15000
3020530000,"Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión",Gabinete de Acción Social,7200
3023470000,"Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión","Servicios de Salud, Prevención de Riesgos Laborales y Protección Radiológica",205489
,"Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión",Campus saludable,15000
,"Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión",Inclusión y Diversidad,20000
3022890000,"Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión",Igualdad y Conciliación,20000
3023480000,"Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión",Actuaciones de Cooperación al Desarrollo Local,6000
3022900000,"Vicerrectorado de Responsabilidad Social, Igualdad e Inclusión",Gabinete de Calidad de Vida y Envejecimiento,4500
3023510000,Delegación para la Universidad Digital,Delegación para la Universidad Digital,12000
3020040000,Delegación para la Universidad Digital,Centro de Servicios de Informática y Redes de Comunicación,259000
3022730000,Delegación para la Universidad Digital,Edificio Cevug (mantenimiento del edificio),7200
3022860000,Secretaría General y coordinación,Secretaría General y coordinación,12000
3022860000,Secretaría General y coordinación,"Secretaria General. Documentación, difusión y comunicaciones",14000
3022500000,Secretaría General y coordinación,"Unidad de Calidad, Innovación y Prospectiva",12000
3023340000,Secretaría General y coordinación,Archivo Universitario,7200
3020000000,Servicios Centrales,Servicios Centrales,1800000
3023200000,Servicios Centrales,Coordinación Melilla,12000
3023210000,Servicios Centrales,Coordinación Ceuta ,9000
3021310000,Servicios Centrales,Edificio Fray Luis de Granada (mantenimiento del edificio),4020
3022880000,Oficina de la Inspección de Servicios,Oficina de la Inspección de Servicios,4000
3021150000,Oficina del Defensor Universitario,Oficina del Defensor Universitario,4000
3023940000,Oficina de Control Interno,Oficina de Control Interno,4000
,Coordinación general,Coordinación general,8000
