Posgrado,Rama de conocimiento,Centro,Campus
Máster Universitario en Nutrición Humana (M28.56.1),Ciencias de la Salud,Facultad de Farmacia,Cartuja
Máster Erasmus Mundus en Estudios de las Mujeres y de Género (M15.56.1),Ciencias Sociales y Jurídicas,Facultad de Filosofía y Letras,Cartuja
Máster Universitario en Abogacía (M99.56.1),Ciencias Sociales y Jurídicas,Facultad de Derecho,Centro
Máster Universitario en Artes Visuales y Educación. Un enfoque Construccionista (M06.56.1),Ciencias Sociales y Jurídicas,Facultad de Bellas Artes,Aynadamar
"Máster Universitario en Cooperación al Desarrollo, Gestión Pública y de las ONGDs (M25.56.1)",Ciencias Sociales y Jurídicas,Facultad de Ciencias Políticas y Sociología,Centro
Máster Universitario en Criminalidad e Intervención Social en Menores (M04.56.1),Ciencias Sociales y Jurídicas,Facultad de Ciencias Políticas y Sociología,Centro
"Máster Universitario en Cultura de Paz, Conflictos, Educación y Derechos Humanos (M75.56.1)",Ciencias Sociales y Jurídicas,Facultad de Filosofía y Letras,Cartuja
Máster Universitario en Derecho Constitucional Europeo (M03.56.1),Ciencias Sociales y Jurídicas,Facultad de Derecho,Centro
Máster Universitario en Derecho de los Negocios (M83.56.1),Ciencias Sociales y Jurídicas,Facultad de Derecho,Centro
Máster Universitario en Derecho Internacional y Relaciones Internacionales (M84.56.1),Ciencias Sociales y Jurídicas,Facultad de Derecho,Centro
"Máster Universitario en Derecho Sanitario, Bioética y Derecho a la Salud en la Unión Europea (M85.56.1)",Ciencias Sociales y Jurídicas,Facultad de Derecho,Centro
 Máster Universitario en Didáctica de la Matemática (M05.56.1),Ciencias Sociales y Jurídicas,Facultad Ciencias de la Educación,Cartuja
Máster Universitario en Dirección y Gestión Pública (M87.56.1),Ciencias Sociales y Jurídicas,Facultad de Ciencias Políticas y Sociología,Centro
Máster Universitario en Diversidad Cultural. Un Enfoque Multidisciplinar y Transfronterizo (MA1.56.1),Ciencias Sociales y Jurídicas,Facultad de Educación y Humanidades,Melilla
Máster Universitario en Economía y Organización de Empresas (M02.56.1),Ciencias Sociales y Jurídicas,Facultad de Ciencias Económicas y Empresariales,Cartuja
Máster Universitario en Economía/Economics (M56.56.1),Ciencias Sociales y Jurídicas,Facultad de Ciencias Económicas y Empresariales,Cartuja
Máster Universitario en Educación Musical: Una Perspectiva Multidisciplinar (M72.56.1),Ciencias Sociales y Jurídicas,Facultad de Educación y Humanidades,Melilla
Máster Universitario en Educación Social: Investigación y Desarrollo Profesional (M88.56.1) ,Ciencias Sociales y Jurídicas,Facultad Ciencias de la Educación,Cartuja
Máster Universitario en Educador / Educadora Ambiental (M54.56.1),Ciencias Sociales y Jurídicas,Facultad Ciencias de la Educación,Cartuja
Máster Universitario en El Análisis Geográfico en la Ordenación del Territorio. Tecnologías de la Información Geográfica (M07.56.1),Ciencias Sociales y Jurídicas,Facultad de Filosofía y Letras,Cartuja
"Máster Universitario en Estudios e Intervención Social en Inmigración, Desarrollo y Grupos Vulnerables (M09.56.1)",Ciencias Sociales y Jurídicas,Facultad de Derecho,Centro
"Máster Universitario en Gerontología, Dependencia y Protección de los Mayores (M65.56.1)",Ciencias Sociales y Jurídicas,Facultad de Psicología,Cartuja
Máster Universitario en Gestión y Tecnologías de Procesos de Negocio (M93.56.1) ,Ciencias Sociales y Jurídicas,E.T.S. de Ingenierías Informática y de Telecomunicación,Aynadamar
Máster Universitario en Información y Comunicación Científica (M12.56.1) ,Ciencias Sociales y Jurídicas,Facultad de Comunicación y Documentación,Cartuja
Máster Universitario en Intervención Psicopedagógica (M11.56.1) ,Ciencias Sociales y Jurídicas,Facultad Ciencias de la Educación,Cartuja
Máster Universitario en Investigación e Innovación en Currículum y Formación (M98.56.1) ,Ciencias Sociales y Jurídicas,Facultad Ciencias de la Educación,Cartuja
Máster Universitario en Investigación en Actividad Física y Deporte (M57.56.1),Ciencias Sociales y Jurídicas,Facultad de Ciencias del Deporte,Cartuja
Máster Universitario en Marketing y Comportamiento del Consumidor (M01.56.1),Ciencias Sociales y Jurídicas,Facultad de Ciencias Económicas y Empresariales,Cartuja
Máster Universitario en Problemas Sociales. Dirección y Gestión de Programas Sociales (M08.56.1) ,Ciencias Sociales y Jurídicas,Facultad de Ciencias Políticas y Sociología,Centro
"Máster Universitario en Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanza de Idiomas (S01 a S45.56.1)",Ciencias Sociales y Jurídicas,Facultad Ciencias de la Educación,Cartuja
Máster Universitario en Psicología de la Intervención Social (M10.56.1),Ciencias Sociales y Jurídicas,Facultad de Psicología,Cartuja
Máster Universitario en Técnicas Cuantitativas en Gestión Empresarial (MA4.56.1),Ciencias Sociales y Jurídicas,Facultad de Ciencias Económicas y Empresariales,Cartuja
"Máster Erasmus Mundus en el Color en la Informática y la Tecnología de los Medios / Erasmus Mundus in Color in Informatics and Media Technology (CIMET) (M14.56.1)
",Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Biología Agraria y Acuicultura (M48.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Biología Molecular apllicada a Empresas Biotecnológicas (BIOENTERPRISE) (M78.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Biotecnología (M38.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Ciencia y Tecnología de Coloides e Interfases (M69.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
 Máster Universitario en Ciencia y Tecnología en Patrimonio Arquitectónico (M80.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
"Máster Universitario en Conservación, Gestión y Restauración de la Biodiversidad (M64.56.1)",Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Estadística Aplicada (M42.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Física y Matemáticas (M53.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Genética y Evolución (M58.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Geofísica y Meteorología (M40.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Geología Aplicada a la Obra Civil y los Recursos Hídricos (M32.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Investigación y Avances en Microbiología (M46.56.1),Ciencias ,Facultad de Medicina,Centro
Máster Universitario en Matemáticas (M37.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Óptica y Optometría Avanzadas (M47.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Técnicas y Ciencias de la Calidad del Agua (IDEA) (M96.56.1),Ciencias ,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Desarrollo del Software (M52.56.1),Ingeniería y Arquitectura,E.T.S. de Ingenierías Informática y de Telecomunicación,Aynadamar
Máster Universitario en Estructuras (M63.56.1),Ingeniería y Arquitectura,"E.T.S. de Ingenierías de Caminos, Canales y Puertos",Fuentenueva
Máster Universitario en Gestión y Seguridad Integral en la Edificación (M74.56.1),Ingeniería y Arquitectura,E.T.S. de Ingeniería de Edificación,Fuentenueva
Máster Universitario en Gestión y Tecnologías de Procesos de Negocio (M93.56.1) ,Ingeniería y Arquitectura,E.T.S. de Ingenierías Informática y de Telecomunicación,Fuentenueva
Máster Universitario en Hidráulica Ambiental (M62.56.1),Ingeniería y Arquitectura,E.T.S. de Ingenierías Informática y de Telecomunicación,Fuentenueva
Máster Universitario en Ingeniería Acústica (MA8.56.1),Ingeniería y Arquitectura,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Ingeniería de Computadores y Redes (M51.56.1) ,Ingeniería y Arquitectura,E.T.S. de Ingenierías Informática y de Telecomunicación,Aynadamar
Máster Universitario en Prevención de Riesgos Laborales (M67.56.1),Ingeniería y Arquitectura,Facultad de Psicología,Cartuja
Máster Universitario en Soft Computing y Sistemas Inteligentes (M49.56.1),Ingeniería y Arquitectura,E.T.S. de Ingenierías Informática y de Telecomunicación,Aynadamar
Máster Universitario en Urbanismo (M97.56.1),Ingeniería y Arquitectura,Edificio Politécnico,Fuentenueva
Máster Universitario en Física y Matemáticas (M53.56.1) ,Másteres bilingües,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Hidráulica Ambiental (M62.56.1),Másteres bilingües,E.T.S. de Ingenierías Informática y de Telecomunicación,Fuentenueva
Máster Universitario en Investigación y Avances en Inmunología Molecular y Celular (M26.56.1) ,Másteres bilingües,Facultad de Medicina,Centro
Máster Universitario en Matemáticas (M37.56.1),Másteres bilingües,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Neurociencia Cognitiva y del Comportamiento (M30.56.1) ,Másteres bilingües,Facultad de Psicología,Cartuja
Máster Universitario en Soft Computing y Sistemas Inteligentes (M49.56.1),Másteres bilingües,E.T.S. de Ingenierías Informática y de Telecomunicación,Aynadamar
Máster Erasmus Mundus en el Color en la Informática y la Tecnología de los Medios / Erasmus Mundus in Color in Informatics and Media Technology (CIMET) (M14.56.1),Másteres impartidos en inglés,Facultad de Ciencias ,Fuentenueva
Máster Universitario en Economía/Economics (M56.56.1),Másteres impartidos en inglés,Facultad de Ciencias Económicas y Empresariales,Cartuja
Máster Universitario en Literatura y Lingüística Inglesas (M19.56.1) ,Másteres impartidos en inglés,Facultad de Filosofía y Letras,Cartuja
