"Rama","Titulación ","Núm. Cursos en  Plan Estudios","Núm. Estud (2007/2008)","Media (2007/2008)"," Núm. Estud (2008/2009)","Media (2008/2009)","Núm. Estud (2009/2010)","Media (2009/2010)","Núm. Estud (2010/2011)","Media (2010/2011)"
"Ciencias Jurídicas y Sociales","DIPLOMADO EN TURISMO","3","114","4,46","110","4,77","130","4,62","92","4,83"
"Ciencias Jurídicas y Sociales","LDO. EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS Y DERECHO","4","44","6,39","55","6,95","60","6,85","22","7,95"
"Ciencias Jurídicas y Sociales","LICENCIADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","4","251","6,70","316","6,66","323","6,80","315","7,06"
"Ciencias Jurídicas y Sociales","LICENCIADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE","5","162","5,59","168","5,56","151","5,65","139","5,78"
"Ciencias Jurídicas y Sociales","LICENCIADO EN CIENCIAS DEL TRABAJO","2","67","2,91","76","3,08","88","3,18","95","2,65"
"Ciencias Jurídicas y Sociales","LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN","5","46","6,83","51","6,53","76","6,49","75","6,76"
"Ciencias Jurídicas y Sociales","LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMON. Y DERECHO","6","0","0,00","4","6,00","9","6,33","0","0,00"
"Ciencias Jurídicas y Sociales","LICENCIADO EN COMUNICACIÓN AUDIOVISUAL","2","23","2,00","26","2,27","44","2,75","45","2,56"
"Ciencias Jurídicas y Sociales","LICENCIADO EN DERECHO","5","264","6,27","307","6,50","384","6,56","443","6,60"
"Ciencias Jurídicas y Sociales","LICENCIADO EN DOCUMENTACIÓN","2","50","3,40","39","3,21","24","3,00","25","3,72"
"Ciencias Jurídicas y Sociales","LICENCIADO EN ECONOMÍA","4","150","7,11","170","7,01","197","6,89","164","7,06"
"Ciencias Jurídicas y Sociales","LICENCIADO EN INVESTIGACIÓN Y TÉCNICAS DE MERCADO","2","43","3,16","38","2,92","39","2,97","44","3,00"
"Ciencias Jurídicas y Sociales","LICENCIADO EN PEDAGOGÍA","4","99","5,81","103","5,83","101","5,75","101","6,10"
"Ciencias Jurídicas y Sociales","LICENCIADO EN PSICOLOGÍA","5","202","6,35","215","6,34","212","6,20","213","6,27"
"Ciencias Jurídicas y Sociales","LICENCIADO EN PSICOPEDAGOGÍA","2","82","3,55","60","4,12","90","3,81","61","3,90"
"Ciencias Jurídicas y Sociales","LICENCIADO EN PSICOPEDAGOGÍA - CEUTA","2","11","3,36","5","2,00","4","4,50","20","2,90"
"Ciencias Jurídicas y Sociales","LICENCIADO EN PSICOPEDAGOGÍA - MELILLA","2","11","3,36","8","3,50","13","3,31","16","2,69"
"Ciencias Jurídicas y Sociales","LICENCIADO EN SOCIOLOGÍA","5","42","6,48","48","7,38","41","7,39","31","7,58"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE","3","74","3,53","46","3,80","54","3,56","59","3,88"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE - CEUTA","3","10","4,00","9","5,78","6","4,83","6","5,33"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE - MELILLA","3","3","4,33","10","3,50","4","4,00","2","4,50"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL","3","68","3,41","65","3,35","63","3,70","70","3,50"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL - CEUTA","3","11","4,36","10","3,50","14","4,29","10","6,20"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL - MELILLA","3","5","3,40","7","3,43","4","3,25","5","5,00"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA","3","133","3,71","93","3,60","98","3,49","125","3,39"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA - CEUTA","3","5","4,60","8","4,25","18","4,72","16","4,81"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA - MELILLA","3","6","4,50","11","4,91","11","5,00","8","4,88"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL","3","137","3,38","142","3,34","160","3,49","146","3,38"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL - CEUTA","3","13","3,92","18","5,17","24","4,67","24","3,96"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL - MELILLA","3","12","3,75","24","3,71","14","4,79","25","4,40"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL","3","45","3,82","49","4,39","46","4,17","49","4,29"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL - CEUTA","3","3","3,67","2","4,50","5","4,20","2","4,00"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL - MELILLA","3","2","6,00","8","4,75","4","3,75","5","4,40"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA","3","209","3,68","208","3,68","241","3,82","239","3,73"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA - CEUTA","3","3","6,00","1","14,00","9","3,11","21","3,52"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA - MELILLA","3","0","0,00","3","3,00","10","4,00","16","3,44"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA","3","76","3,41","103","4,17","97","4,10","123","4,20"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA - CEUTA","3","6","4,17","4","3,25","7","4,14","5","3,80"
"Ciencias Jurídicas y Sociales","MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA - MELILLA","3","8","3,13","10","4,10","7","3,29","8","4,25"
"Ciencias de la Salud","DIPLOMADO EN ENFERMERÍA","3","115","3,45","121","3,41","131","3,86","124","3,46"
"Ciencias de la Salud","DIPLOMADO EN FISIOTERAPIA","3","49","3,61","52","3,33","45","3,56","38","3,82"
"Ciencias de la Salud","DIPLOMADO EN LOGOPEDIA","3","50","3,38","47","3,43","52","3,56","56","3,50"
"Ciencias de la Salud","DIPLOMADO EN TERAPIA OCUPACIONAL","3","49","3,45","53","3,42","51","3,61","64","3,73"
"Ciencias de la Salud","LICENCIADO EN FARMACIA","5","206","7,84","205","8,19","206","8,15","224","8,28"
"Ciencias de la Salud","LICENCIADO EN MEDICINA","6","165","6,00","171","6,09","180","6,17","210","6,24"
"Ciencias de la Salud","LICENCIADO EN ODONTOLOGÍA","5","87","5,51","66","5,48","97","5,51","72","5,43"
"Ciencias de la Salud","LICENCIATURA EN MEDICINA","6","52","9,21","21","12,33","4","15,00","0","0,00"
"Humanidades","LICENCIADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL","2","91","2,79","70","3,31","82","3,30","95","3,02"
"Humanidades","LICENCIADO EN BELLAS ARTES","4","121","5,63","127","5,93","155","5,83","110","5,97"
"Humanidades","LICENCIADO EN FILOLOGÍA ÁRABE","5","12","6,33","6","7,17","3","6,00","23","6,04"
"Humanidades","LICENCIADO EN FILOLOGÍA CLÁSICA","5","1","5,00","6","6,17","2","5,50","7","5,71"
"Humanidades","LICENCIADO EN FILOLOGÍA ESLAVA","5","3","6,67","5","6,60","6","7,17","5","5,60"
"Humanidades","LICENCIADO EN FILOLOGÍA FRANCESA","5","13","6,15","28","6,14","26","7,15","14","6,57"
"Humanidades","LICENCIADO EN FILOLOGÍA HEBREA","5","0","0,00","0","0,00","0","0,00","1","8,00"
"Humanidades","LICENCIADO EN FILOLOGÍA HISPÁNICA","5","39","6,38","43","6,21","34","6,91","34","6,24"
"Humanidades","LICENCIADO EN FILOLOGÍA INGLESA","5","80","5,93","87","6,29","89","6,25","76","6,70"
"Humanidades","LICENCIADO EN FILOLOGÍA ITALIANA","2","3","3,00","2","2,50","1","3,00","2","2,50"
"Humanidades","LICENCIADO EN FILOLOGÍA PORTUGUESA","2","1","2,00","0","0,00","4","3,50","4","2,50"
"Humanidades","LICENCIADO EN FILOLOGÍA ROMÁNICA","5","0","0,00","1","5,00","0","0,00","0","0,00"
"Humanidades","LICENCIADO EN FILOSOFÍA","5","29","7,00","35","6,34","29","6,38","27","6,67"
"Humanidades","LICENCIADO EN GEOGRAFÍA","5","10","7,10","13","6,69","6","8,33","5","5,60"
"Humanidades","LICENCIADO EN HISTORIA","5","58","6,14","80","6,13","62","6,23","65","6,42"
"Humanidades","LICENCIADO EN HISTORIA DEL ARTE","5","74","6,51","97","6,92","62","5,94","50","6,52"
"Humanidades","LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA","2","41","3,27","36","2,78","40","3,08","33","3,12"
"Humanidades","LICENCIADO EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA","2","17","2,94","17","2,71","14","3,21","14","3,14"
"Humanidades","LICENCIADO EN TRADUCCIÓN E INTERPRETACIÓN","4","189","5,29","206","5,38","201","5,47","206","5,38"
"Enseñanzas técnicas","ARQUITECTO","5","141","9,64","103","9,42","110","9,84","134","9,50"
"Enseñanzas técnicas","ARQUITECTURA TÉCNICA","3","359","6,37","384","6,67","360","6,48","303","6,44"
"Enseñanzas técnicas","INGENIERÍA SUPERIOR DE CAMINOS, CANALES Y PUERTOS","5","149","10,19","113","11,27","0","0,00","0","0,00"
"Enseñanzas técnicas","INGENIERO DE TELECOMUNICACIÓN","5","8","5,00","40","5,75","36","6,17","47","6,49"
"Enseñanzas técnicas","INGENIERO EN ELECTRÓNICA","2","7","5,14","3","8,33","1","10,00","5","6,80"
"Enseñanzas técnicas","INGENIERO EN INFORMÁTICA","5","71","6,59","64","6,92","84","7,45","61","7,07"
"Enseñanzas técnicas","INGENIERO QUÍMICO","5","58","7,55","57","7,54","65","7,71","34","7,50"
"Enseñanzas técnicas","INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN","3","47","5,23","35","5,51","79","5,92","52","6,52"
"Enseñanzas técnicas","INGENIERO TÉCNICO EN INFORMÁTICA DE SISTEMAS","3","47","4,96","50","4,98","61","5,57","59","5,44"
"Enseñanzas técnicas","INGENIERO/A DE CAMINOS, CANALES Y PUERTOS","5","47","5,94","78","6,71","134","7,95","158","7,95"
