Capítulo,Art.,Concp,Subconc,Denominación,Subconc,Concp,Art.,Cap.´
-,,,75007,Financ Operat Investig,85548965,,,
-,,,75008,CEI Fortalecimiento,,,,
-,,751,De otras Consejerías,,,340000,,
-,,,75100,De Presidencia,25000,,,
-,,,75101,De Gobernación,25000,,,
-,,,75102,De Educación,25000,,,
-,,,75103,De Justicia y Administraciones Públic,25000,,,
-,,,75105,De Empleo,200000,,,
-,,,75106,"De Turismo, Comercio y Deporte",,,,
-,,,75110,De Igualdad y Bienestar Social,20000,,,
-,,,75111,De Cultura,20000,,,
-,,759,De otras Comunidades Autónomas,,,25000,,
-,,,75909,De resto de Comunidades Autónomas,25000,,,
-,76,De Corporaciones Locales,,,,,30000,
-,,760,De Diputaciones y Cabildos Insulares,,,20000,,
-,,,76000,De la Diputación de Granada,10000,,,
-,,,76099,De otras Diputaciones Provinciales,10000,,,
-,,761,De Ayuntamientos,,,10000,,
-,,,76100,Del Ayuntamiento de Granada,10000,,,
-,77,De empresas privadas,,,,,950000,
-,,770,De entidades financieras,,,750000,,
-,,,77001,De Caja Granada,0,,,
-,,,77002,Del BSCH,500000,,,
-,,,77003,De Caja Rural,250000,,,
-,,779,De otras empresas,,200000,200000,,
-,78,De familias e instituciones sin fines de lucro,,,,,200000,
-,,781,De instituciones y fundaciones,,,200000,,
-,,,78100,Para investigación científica,200000,,,
-,79,Del exterior,,,,,4000000,
-,,795,Otras transferencias de la Unión Europea,,,4000000,,
-,,,79500,Para investigación científica,4000000,,,
8,Activos financieros,,,,,,,650000
-,82,Reintegro de préstamos concedidos,,,,,650000,
-,,821,A largo plazo,,,650000,,
-,,,82100,Del personal de la Universidad,650000,,,
