Capítulo,Concepto / Programa,Programa 442D,Programa 541A,Programa 321B
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,208 Arrendamiento de otro inmovilizado material,2037,2722,2492
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"212 Reparación, Mantenimiento y conservación de edificios y otros",207381,136096,1652806
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"213 Reparación, Mantenimiento y conserv.maquinaria, instalaciones y utillaje",341062,102072,965670
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"214 Reparación, Mantenimiento y conserv.material de transporte",2037,2722,24920
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"215 Reparación, Mantenimiento y conserv. mobiliario y enseres",152769,20414,249205
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"216 Reparación, Mantenimiento y conserv. Equipos de información",152769,102072,746979
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,217 Mantenimiento general y optimización energética,0,0,1609700
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,220 Material de oficina,1629527,149705,1971283
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,221 Suministros,2612335,216853,6447837
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,222 Comunicaciones,101845,20412,1370628
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,223 Transportes,254614,2722,373808
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,224 Primas de seguros,61107,6805,292816
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,225 Tributos,,6805,124602
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"226 Gastos diversos(excepto subconcepto 226,01)",2731373,121991,4768761
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,226.01 Atenciones protocolarias y de representación,205536,13610,261506
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,226.99 Otros gastos,0,0,0
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,227 Trabajos realizados por otras empresas,916609,158877,5652128
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,230 Dietas,916609,88048,758519
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,231 Locomoción,814764,78048,747615
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,234 Asistencias a órganos colegiados,0,0,0
Capitulo 3º. Gastos Financieros,310 Intereses operaciones a corto y largo plazo,0,0,400000
Capitulo 3º. Gastos Financieros,"311 Gastos de emisión, modificación y cancelación",0,0,0
Capitulo 4º. Transferencias Corrientes,"480,00 Becas y ayudas propias a estudiantes",2700000,0,0
Capitulo 4º. Transferencias Corrientes,480.03 A Asociaciones estudiantiles,150000,0,0
Capitulo 4º. Transferencias Corrientes,"480,04 Plan Propio de Prácticas en Empresas y Entidades sin fines lucro",869205,42566,0
Capitulo 4º. Transferencias Corrientes,483 Becas Programas Europeos,10454085,0,0
Capitulo 4º. Transferencias Corrientes,484 Convenio con otras instituciones,0,0,0
Capitulo 4º. Transferencias Corrientes,"485 A Fundaciones y otras instituciones(Excepto 485,03)",0,0,932755
Capitulo 4º. Transferencias Corrientes,485 A Fundaciones y otras instituciones Consejo Social,0,0,3000
Capitulo 4º. Transferencias Corrientes,485.03 Al Centro Mediterráneo,0,0,0
Capitulo 4º. Transferencias Corrientes,485.05 Otros Planes de Apoyo Junta de Andalucía,654117,0,0
Capitulo 4º. Transferencias Corrientes,490.11 Cuotas y contrib.organismos internacionales,25000,0,0
Capitulo 6º. Inversiones Reales,602.00 Construcciones propias,0,0,0
Capitulo 6º. Inversiones Reales,"603.00 Maquinaria Centros, Departamentos y Servicios",0,1000,307144
Capitulo 6º. Inversiones Reales,603.03 Maquinaria (Equipamiento Gral.Docente),0,10000,184287
Capitulo 6º. Inversiones Reales,603.04 Maquinaria (Equipamiento de gestión),0,0,61429
Capitulo 6º. Inversiones Reales,"605.00 Mobiliario y enseres Centros, Depart. y Servicios",0,20000,907206
Capitulo 6º. Inversiones Reales,605.03 Mobiliario y enseres (Equip.Gral.docente),0,9300,184287
Capitulo 6º. Inversiones Reales,605.04 Mobiliario y enseres (Equipamiento de gestión),0,0,46072
Capitulo 6º. Inversiones Reales,"606,00 Sistemas procesos información. Centros, Departamentos y Servic.",0,100000,614289
Capitulo 6º. Inversiones Reales,"606,01 Sistemas procesos información. CSIRC",0,0,275000
Capitulo 6º. Inversiones Reales,"606,02 Sistemas procesos información.Enseñanzas Virtuales",0,0,202715
Capitulo 6º. Inversiones Reales,"606,05 Sistemas procesos informaciòn de Gestión",0,0,92143
Capitulo 6º. Inversiones Reales,608 Inversiones bibliográficas,375000,2520318,25000
Capitulo 6º. Inversiones Reales,622 Inversiones Infraestructura y Equipamiento Junta Andalucía,0,0,0
Capitulo 6º. Inversiones Reales,631 Programa FEDER 2007/13,0,0,0
Capitulo 6º. Inversiones Reales,635.01 Actuaciones CEI Programa Fortalecimiento,0,0,0
Capitulo 6º. Inversiones Reales,"635,03 Actuaciones INNPLANTA 2012",0,0,0
Capitulo 6º. Inversiones Reales,640 Investigación Científica,0,45539478,0
Capitulo 6º. Inversiones Reales,"641,00 Plan Propio de Investigación Científica",0,3505000,0
Capitulo 6º. Inversiones Reales,"641,01 Plan Propio Inv.Cient.Mantenimiento CIC",0,0,0
Capitulo 6º. Inversiones Reales,"641,02 Plan Propio de Fomento de la Productividad Investigadora",0,600000,0
Capitulo 6º. Inversiones Reales,642 Programas de Proyección Internacional y Promoción Lingüística,75000,0,0
Capitulo 6º. Inversiones Reales,644 Plan de Innovación y Calidad Docente,284624,0,0
Capitulo 6º. Inversiones Reales,645 Actuaciones Fomento de Empleo,36000,0,0
Capitulo 6º. Inversiones Reales,648 Plan Propio de Internacionalización,620000,0,0
Capitulo 6º. Inversiones Reales,649 Imprevistos en Investigación Científica,0,0,0
Capitulo 6º. Inversiones Reales,662 Inversiones propias de reposición,0,0,3100000
Capitulo 7º. Transferencias de Capital,785.00 A Fundación Universidad Empresa,0,0,0
Capitulo 7º. Transferencias de Capital,780.05 Plan Propio para Promoción del Autoempleo,200000,0,0
Capitulo 7º. Transferencias de Capital,784 Ayudas diversas Consejo Social,0,12000,0
Capitulo 7º. Transferencias de Capital,785.09 A otras Instituciones. Parque de las Ciencias,0,106213,0
Capitulo 8º. Activos Financieros,831.00 Anticipos y préstamos a Personal Universidad (G.A.S.),650000,0,0
Capitulo 8º. Activos Financieros,831.01 Linea especial de anticipos,0,0,0
Capitulo 9º. Pasivos Financieros,911 Amortización de préstamos a largo plazo (Sector Público),0,0,3314122
