CODIGO,CURSO,TITULO,TASA EXITO
214,2014,GRADUADO/A EN SOCIOLOGÍA,"82,23"
214,2015,GRADUADO/A EN SOCIOLOGÍA,"82,02"
220,2011,GRADUADO/A EN INGENIERÍA QUÍMICA,"61,67"
220,2012,GRADUADO/A EN INGENIERÍA QUÍMICA,"65,99"
220,2013,GRADUADO/A EN INGENIERÍA QUÍMICA,"70,46"
220,2014,GRADUADO/A EN INGENIERÍA QUÍMICA,"70,52"
220,2015,GRADUADO/A EN INGENIERÍA QUÍMICA,"72,27"
221,2011,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"77,31"
221,2012,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"75,88"
221,2013,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"81,01"
221,2014,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"81,13"
221,2015,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"83,73"
222,2011,GRADUADO/A EN MEDICINA,"96,48"
222,2012,GRADUADO/A EN MEDICINA,"95,87"
222,2013,GRADUADO/A EN MEDICINA,"95,35"
222,2014,GRADUADO/A EN MEDICINA,"95,97"
222,2015,GRADUADO/A EN MEDICINA,"95,9"
223,2011,GRADUADO/A EN ESTADÍSTICA,"58,78"
223,2012,GRADUADO/A EN ESTADÍSTICA,59
223,2013,GRADUADO/A EN ESTADÍSTICA,"67,73"
223,2014,GRADUADO/A EN ESTADÍSTICA,"70,85"
223,2015,GRADUADO/A EN ESTADÍSTICA,"75,18"
227,2011,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"89,8"
227,2012,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"97,48"
227,2013,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"95,98"
227,2014,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"98,13"
227,2015,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"96,74"
228,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"85,1"
228,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"87,95"
228,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"87,98"
228,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"90,25"
228,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"88,93"
230,2011,GRADUADO/A EN EDIFICACIÓN,"71,87"
230,2012,GRADUADO/A EN EDIFICACIÓN,"74,51"
230,2013,GRADUADO/A EN EDIFICACIÓN,"74,1"
230,2014,GRADUADO/A EN EDIFICACIÓN,"77,95"
230,2015,GRADUADO/A EN EDIFICACIÓN,"77,25"
231,2011,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,75
231,2012,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"80,98"
231,2013,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"86,64"
231,2014,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"88,38"
231,2015,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"86,33"
233,2011,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"82,96"
233,2012,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"79,64"
233,2013,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"74,1"
233,2014,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"76,87"
233,2015,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"75,65"
235,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"86,78"
235,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"82,58"
235,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"81,28"
235,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"81,6"
235,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"82,53"
236,2011,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"79,8"
236,2012,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"73,47"
236,2013,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"78,91"
236,2014,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"80,74"
236,2015,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"81,58"
237,2011,GRADUADO/A EN INGENIERÍA CIVIL,"82,21"
237,2012,GRADUADO/A EN INGENIERÍA CIVIL,"71,17"
237,2013,GRADUADO/A EN INGENIERÍA CIVIL,"74,69"
237,2014,GRADUADO/A EN INGENIERÍA CIVIL,"75,37"
237,2015,GRADUADO/A EN INGENIERÍA CIVIL,"71,55"
238,2011,GRADUADO/A EN TURISMO,"83,2"
238,2012,GRADUADO/A EN TURISMO,"86,68"
238,2013,GRADUADO/A EN TURISMO,"89,55"
238,2014,GRADUADO/A EN TURISMO,"87,3"
238,2015,GRADUADO/A EN TURISMO,"88,1"
239,2011,GRADUADO/A EN ECONOMÍA,"67,03"
239,2012,GRADUADO/A EN ECONOMÍA,"71,19"
239,2013,GRADUADO/A EN ECONOMÍA,"74,03"
239,2014,GRADUADO/A EN ECONOMÍA,"74,99"
239,2015,GRADUADO/A EN ECONOMÍA,"78,1"
241,2011,GRADUADO/A EN FISIOTERAPIA,"97,01"
241,2012,GRADUADO/A EN FISIOTERAPIA,"94,98"
241,2013,GRADUADO/A EN FISIOTERAPIA,"96,11"
241,2014,GRADUADO/A EN FISIOTERAPIA,"96,69"
241,2015,GRADUADO/A EN FISIOTERAPIA,"98,08"
242,2011,GRADUADO/A EN DERECHO,"76,16"
242,2012,GRADUADO/A EN DERECHO,"74,43"
242,2013,GRADUADO/A EN DERECHO,"78,14"
242,2014,GRADUADO/A EN DERECHO,"79,96"
242,2015,GRADUADO/A EN DERECHO,"79,92"
243,2011,GRADUADO/A EN TERAPIA OCUPACIONAL,"90,24"
243,2012,GRADUADO/A EN TERAPIA OCUPACIONAL,"94,62"
243,2013,GRADUADO/A EN TERAPIA OCUPACIONAL,"95,58"
243,2014,GRADUADO/A EN TERAPIA OCUPACIONAL,"97,14"
243,2015,GRADUADO/A EN TERAPIA OCUPACIONAL,"94,28"
244,2011,GRADUADO/A EN EDUCACIÓN SOCIAL,"96,6"
244,2012,GRADUADO/A EN EDUCACIÓN SOCIAL,"96,74"
244,2013,GRADUADO/A EN EDUCACIÓN SOCIAL,"96,04"
244,2014,GRADUADO/A EN EDUCACIÓN SOCIAL,"96,51"
244,2015,GRADUADO/A EN EDUCACIÓN SOCIAL,"97,49"
245,2013,GRADUADO/A EN CRIMINOLOGÍA,"96,26"
245,2014,GRADUADO/A EN CRIMINOLOGÍA,"97,34"
245,2015,GRADUADO/A EN CRIMINOLOGÍA,"93,94"
249,2011,GRADUADO/A EN TRABAJO SOCIAL,"93,95"
249,2012,GRADUADO/A EN TRABAJO SOCIAL,"95,06"
249,2013,GRADUADO/A EN TRABAJO SOCIAL,"94,58"
249,2014,GRADUADO/A EN TRABAJO SOCIAL,"94,43"
249,2015,GRADUADO/A EN TRABAJO SOCIAL,"93,62"
251,2015,GRADUADO/A EN BIOTECNOLOGÍA,"93,85"
252,2011,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"93,43"
252,2012,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"92,65"
252,2013,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"91,36"
252,2014,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"93,16"
252,2015,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"91,75"
256,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"89,7"
256,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"95,27"
256,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"95,3"
256,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"97,03"
257,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA,"89,23"
257,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA,"91,85"
257,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA,"93,26"
257,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA,"94,77"
257,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA,"94,68"
258,2011,GRADUADO/A EN EDUCACIÓN INFANTIL,"97,37"
258,2012,GRADUADO/A EN EDUCACIÓN INFANTIL,"97,07"
258,2013,GRADUADO/A EN EDUCACIÓN INFANTIL,"97,82"
258,2014,GRADUADO/A EN EDUCACIÓN INFANTIL,"97,9"
258,2015,GRADUADO/A EN EDUCACIÓN INFANTIL,"97,62"
259,2011,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"76,04"
259,2012,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"76,63"
259,2013,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"80,81"
259,2014,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"81,09"
259,2015,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"80,48"
260,2011,GRADUADO/A EN BELLAS ARTES,"93,43"
260,2012,GRADUADO/A EN BELLAS ARTES,"94,9"
260,2013,GRADUADO/A EN BELLAS ARTES,"94,91"
260,2014,GRADUADO/A EN BELLAS ARTES,"95,73"
260,2015,GRADUADO/A EN BELLAS ARTES,"95,85"
261,2011,GRADUADO/A EN BIOQUÍMICA,"75,69"
261,2012,GRADUADO/A EN BIOQUÍMICA,"90,24"
261,2013,GRADUADO/A EN BIOQUÍMICA,"92,91"
261,2014,GRADUADO/A EN BIOQUÍMICA,"96,11"
261,2015,GRADUADO/A EN BIOQUÍMICA,"95,48"
263,2011,GRADUADO/A EN FILOSOFÍA,"77,07"
263,2012,GRADUADO/A EN FILOSOFÍA,"79,98"
263,2013,GRADUADO/A EN FILOSOFÍA,"84,43"
263,2014,GRADUADO/A EN FILOSOFÍA,"84,59"
263,2015,GRADUADO/A EN FILOSOFÍA,"86,1"
264,2011,GRADUADO/A EN PSICOLOGÍA,"90,98"
264,2012,GRADUADO/A EN PSICOLOGÍA,"88,76"
264,2013,GRADUADO/A EN PSICOLOGÍA,"88,43"
264,2014,GRADUADO/A EN PSICOLOGÍA,"90,86"
264,2015,GRADUADO/A EN PSICOLOGÍA,"91,14"
265,2011,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"91,75"
265,2012,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"93,57"
265,2013,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"94,28"
265,2014,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"95,71"
265,2015,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"93,88"
266,2014,GRADUADO/A EN ARQUEOLOGÍA,"88,44"
266,2015,GRADUADO/A EN ARQUEOLOGÍA,"84,5"
267,2011,GRADUADO/A EN FÍSICA,"71,39"
267,2012,GRADUADO/A EN FÍSICA,"69,54"
267,2013,GRADUADO/A EN FÍSICA,"74,73"
267,2014,GRADUADO/A EN FÍSICA,"77,55"
267,2015,GRADUADO/A EN FÍSICA,"75,09"
268,2011,GRADUADO/A EN GEOLOGÍA,"58,49"
268,2012,GRADUADO/A EN GEOLOGÍA,"66,83"
268,2013,GRADUADO/A EN GEOLOGÍA,"65,31"
268,2014,GRADUADO/A EN GEOLOGÍA,"71,78"
268,2015,GRADUADO/A EN GEOLOGÍA,"70,34"
270,2011,GRADUADO/A EN MATEMÁTICAS,"55,24"
270,2012,GRADUADO/A EN MATEMÁTICAS,"70,75"
270,2013,GRADUADO/A EN MATEMÁTICAS,"76,24"
270,2014,GRADUADO/A EN MATEMÁTICAS,"75,25"
270,2015,GRADUADO/A EN MATEMÁTICAS,"75,83"
273,2011,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"83,79"
273,2012,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"89,32"
273,2013,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"88,75"
273,2014,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"89,12"
273,2015,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"89,19"
276,2011,GRADUADO/A EN FILOLOGÍA CLÁSICA,"68,68"
276,2012,GRADUADO/A EN FILOLOGÍA CLÁSICA,"75,4"
276,2013,GRADUADO/A EN FILOLOGÍA CLÁSICA,"82,47"
276,2014,GRADUADO/A EN FILOLOGÍA CLÁSICA,"76,14"
276,2015,GRADUADO/A EN FILOLOGÍA CLÁSICA,"75,43"
277,2011,GRADUADO/A EN ESTUDIOS FRANCESES,"67,74"
277,2012,GRADUADO/A EN ESTUDIOS FRANCESES,"75,72"
277,2013,GRADUADO/A EN ESTUDIOS FRANCESES,"79,28"
277,2014,GRADUADO/A EN ESTUDIOS FRANCESES,"80,97"
277,2015,GRADUADO/A EN ESTUDIOS FRANCESES,"79,13"
279,2011,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"68,53"
279,2012,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"81,47"
279,2013,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"86,63"
279,2014,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"87,18"
279,2015,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"86,04"
283,2011,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"80,1"
283,2012,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"90,8"
283,2013,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"88,95"
283,2014,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"91,48"
283,2015,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"92,01"
285,2011,GRADUADO/A EN ESTUDIOS INGLESES,"82,96"
285,2012,GRADUADO/A EN ESTUDIOS INGLESES,"81,95"
285,2013,GRADUADO/A EN ESTUDIOS INGLESES,"83,71"
285,2014,GRADUADO/A EN ESTUDIOS INGLESES,"82,98"
285,2015,GRADUADO/A EN ESTUDIOS INGLESES,"81,89"
286,2011,GRADUADO/A EN LOGOPEDIA,"87,45"
286,2012,GRADUADO/A EN LOGOPEDIA,"91,6"
286,2013,GRADUADO/A EN LOGOPEDIA,"94,32"
286,2014,GRADUADO/A EN LOGOPEDIA,"93,96"
286,2015,GRADUADO/A EN LOGOPEDIA,"94,62"
287,2011,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"72,26"
287,2012,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"70,75"
287,2013,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"71,3"
287,2014,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"73,39"
287,2015,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"72,12"
288,2011,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"88,78"
288,2012,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"92,48"
288,2013,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"91,07"
288,2014,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"92,46"
288,2015,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"92,22"
290,2011,GRADUADO/A EN LITERATURAS COMPARADAS,"79,69"
290,2012,GRADUADO/A EN LITERATURAS COMPARADAS,"88,04"
290,2013,GRADUADO/A EN LITERATURAS COMPARADAS,"86,69"
290,2014,GRADUADO/A EN LITERATURAS COMPARADAS,"90,19"
290,2015,GRADUADO/A EN LITERATURAS COMPARADAS,"87,79"
291,2011,GRADUADO/A EN QUÍMICA,"62,75"
291,2012,GRADUADO/A EN QUÍMICA,"70,4"
291,2013,GRADUADO/A EN QUÍMICA,"70,48"
291,2014,GRADUADO/A EN QUÍMICA,"76,22"
291,2015,GRADUADO/A EN QUÍMICA,"77,69"
292,2011,GRADUADO/A EN HISTORIA,"75,92"
292,2012,GRADUADO/A EN HISTORIA,"80,37"
292,2013,GRADUADO/A EN HISTORIA,"85,6"
292,2014,GRADUADO/A EN HISTORIA,"86,15"
292,2015,GRADUADO/A EN HISTORIA,"87,05"
293,2011,GRADUADO/A EN HISTORIA DEL ARTE,"70,91"
293,2012,GRADUADO/A EN HISTORIA DEL ARTE,"77,31"
293,2013,GRADUADO/A EN HISTORIA DEL ARTE,"82,81"
293,2014,GRADUADO/A EN HISTORIA DEL ARTE,"86,21"
293,2015,GRADUADO/A EN HISTORIA DEL ARTE,"84,4"
294,2012,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"84,83"
294,2013,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"85,21"
294,2014,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"85,9"
294,2015,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"90,89"
296,2011,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"53,5"
296,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"54,58"
296,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"68,19"
296,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"72,03"
296,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"72,42"
297,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"61,54"
297,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"71,77"
297,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"77,65"
297,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"83,71"
298,2011,GRADUADO/A EN PEDAGOGÍA,"88,48"
298,2012,GRADUADO/A EN PEDAGOGÍA,"91,24"
298,2013,GRADUADO/A EN PEDAGOGÍA,"96,14"
298,2014,GRADUADO/A EN PEDAGOGÍA,"97,15"
298,2015,GRADUADO/A EN PEDAGOGÍA,"96,08"
299,2011,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"82,1"
299,2012,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"79,29"
299,2013,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"86,36"
299,2014,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"91,97"
299,2015,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"87,12"
407,2011,GRADUADO/A EN ENFERMERÍA (CEUTA),"82,7"
407,2012,GRADUADO/A EN ENFERMERÍA (CEUTA),"78,77"
407,2013,GRADUADO/A EN ENFERMERÍA (CEUTA),"87,73"
407,2014,GRADUADO/A EN ENFERMERÍA (CEUTA),"93,94"
407,2015,GRADUADO/A EN ENFERMERÍA (CEUTA),"94,7"
414,2012,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"88,46"
414,2013,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"90,55"
414,2014,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"91,45"
414,2015,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"95,08"
433,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"83,27"
433,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"84,07"
433,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"86,07"
433,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"90,14"
433,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"86,71"
457,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"86,83"
457,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"77,05"
457,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"86,24"
457,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"87,3"
457,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"88,69"
458,2011,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"77,57"
458,2012,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"85,88"
458,2013,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"90,99"
458,2014,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"92,79"
458,2015,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"93,09"
496,2011,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"56,06"
496,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"65,14"
496,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"65,16"
496,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"68,52"
496,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"65,71"
507,2011,GRADUADO/A EN ENFERMERÍA (MELILLA),"81,13"
507,2012,GRADUADO/A EN ENFERMERÍA (MELILLA),"87,65"
507,2013,GRADUADO/A EN ENFERMERÍA (MELILLA),"88,9"
507,2014,GRADUADO/A EN ENFERMERÍA (MELILLA),"92,47"
507,2015,GRADUADO/A EN ENFERMERÍA (MELILLA),"90,84"
