CODIGO,CURSO,TITULO,TASA EFICIENCIA
209,2015,GRADUADO/A EN ARQUITECTURA,"94,54"
210,2012,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),
210,2013,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),
210,2015,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),
212,2011,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,
212,2012,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,
212,2013,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,
212,2014,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"95,3"
212,2015,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"99,38"
213,2011,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,
213,2012,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,
213,2013,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,
213,2014,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,
213,2015,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,
214,2011,GRADUADO/A EN SOCIOLOGÍA,
214,2012,GRADUADO/A EN SOCIOLOGÍA,
214,2013,GRADUADO/A EN SOCIOLOGÍA,
214,2014,GRADUADO/A EN SOCIOLOGÍA,"97,56"
214,2015,GRADUADO/A EN SOCIOLOGÍA,"93,51"
220,2011,GRADUADO/A EN INGENIERÍA QUÍMICA,
220,2012,GRADUADO/A EN INGENIERÍA QUÍMICA,
220,2013,GRADUADO/A EN INGENIERÍA QUÍMICA,
220,2014,GRADUADO/A EN INGENIERÍA QUÍMICA,"98,52"
220,2015,GRADUADO/A EN INGENIERÍA QUÍMICA,"96,15"
221,2011,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,
221,2012,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,
221,2013,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,
221,2014,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"97,92"
221,2015,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"98,05"
222,2011,GRADUADO/A EN MEDICINA,
222,2012,GRADUADO/A EN MEDICINA,
222,2013,GRADUADO/A EN MEDICINA,
222,2014,GRADUADO/A EN MEDICINA,
222,2015,GRADUADO/A EN MEDICINA,
223,2011,GRADUADO/A EN ESTADÍSTICA,
223,2012,GRADUADO/A EN ESTADÍSTICA,
223,2013,GRADUADO/A EN ESTADÍSTICA,
223,2014,GRADUADO/A EN ESTADÍSTICA,"94,61"
223,2015,GRADUADO/A EN ESTADÍSTICA,"96,39"
227,2011,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,
227,2012,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,
227,2013,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,
227,2014,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"98,02"
227,2015,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"99,03"
228,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,
228,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,
228,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,
228,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,
228,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,
230,2011,GRADUADO/A EN EDIFICACIÓN,
230,2012,GRADUADO/A EN EDIFICACIÓN,
230,2013,GRADUADO/A EN EDIFICACIÓN,
230,2014,GRADUADO/A EN EDIFICACIÓN,"95,94"
230,2015,GRADUADO/A EN EDIFICACIÓN,"97,56"
231,2011,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,
231,2012,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,
231,2013,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,
231,2014,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"96,95"
231,2015,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"98,36"
233,2011,GRADUADO/A EN FINANZAS Y CONTABILIDAD,
233,2012,GRADUADO/A EN FINANZAS Y CONTABILIDAD,
233,2013,GRADUADO/A EN FINANZAS Y CONTABILIDAD,
233,2014,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"97,08"
233,2015,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"96,15"
235,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,
235,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,
235,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,
235,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"97,53"
235,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"96,51"
236,2011,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,
236,2012,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,
236,2013,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,
236,2014,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"95,51"
236,2015,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"96,82"
237,2011,GRADUADO/A EN INGENIERÍA CIVIL,
237,2012,GRADUADO/A EN INGENIERÍA CIVIL,
237,2013,GRADUADO/A EN INGENIERÍA CIVIL,
237,2014,GRADUADO/A EN INGENIERÍA CIVIL,"97,06"
237,2015,GRADUADO/A EN INGENIERÍA CIVIL,"96,93"
238,2011,GRADUADO/A EN TURISMO,
238,2012,GRADUADO/A EN TURISMO,
238,2013,GRADUADO/A EN TURISMO,
238,2014,GRADUADO/A EN TURISMO,"95,85"
238,2015,GRADUADO/A EN TURISMO,"97,43"
239,2011,GRADUADO/A EN ECONOMÍA,
239,2012,GRADUADO/A EN ECONOMÍA,
239,2013,GRADUADO/A EN ECONOMÍA,
239,2014,GRADUADO/A EN ECONOMÍA,"94,86"
239,2015,GRADUADO/A EN ECONOMÍA,"97,11"
241,2011,GRADUADO/A EN FISIOTERAPIA,
241,2012,GRADUADO/A EN FISIOTERAPIA,
241,2013,GRADUADO/A EN FISIOTERAPIA,
241,2014,GRADUADO/A EN FISIOTERAPIA,"98,26"
241,2015,GRADUADO/A EN FISIOTERAPIA,"99,27"
242,2011,GRADUADO/A EN DERECHO,
242,2012,GRADUADO/A EN DERECHO,
242,2013,GRADUADO/A EN DERECHO,
242,2014,GRADUADO/A EN DERECHO,"95,4"
242,2015,GRADUADO/A EN DERECHO,"96,02"
243,2011,GRADUADO/A EN TERAPIA OCUPACIONAL,
243,2012,GRADUADO/A EN TERAPIA OCUPACIONAL,
243,2013,GRADUADO/A EN TERAPIA OCUPACIONAL,
243,2014,GRADUADO/A EN TERAPIA OCUPACIONAL,"97,56"
243,2015,GRADUADO/A EN TERAPIA OCUPACIONAL,"99,67"
244,2011,GRADUADO/A EN EDUCACIÓN SOCIAL,
244,2012,GRADUADO/A EN EDUCACIÓN SOCIAL,
244,2013,GRADUADO/A EN EDUCACIÓN SOCIAL,
244,2014,GRADUADO/A EN EDUCACIÓN SOCIAL,"98,97"
244,2015,GRADUADO/A EN EDUCACIÓN SOCIAL,"99,22"
245,2013,GRADUADO/A EN CRIMINOLOGÍA,
245,2014,GRADUADO/A EN CRIMINOLOGÍA,
245,2015,GRADUADO/A EN CRIMINOLOGÍA,
249,2011,GRADUADO/A EN TRABAJO SOCIAL,
249,2012,GRADUADO/A EN TRABAJO SOCIAL,
249,2013,GRADUADO/A EN TRABAJO SOCIAL,
249,2014,GRADUADO/A EN TRABAJO SOCIAL,"98,61"
249,2015,GRADUADO/A EN TRABAJO SOCIAL,"98,55"
251,2015,GRADUADO/A EN BIOTECNOLOGÍA,
252,2011,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,
252,2012,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,
252,2013,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,
252,2014,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"97,41"
252,2015,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"98,25"
256,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),
256,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),
256,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),
256,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"98,12"
257,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA,
257,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA,
257,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA,
257,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA,"97,59"
257,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA,"98,51"
258,2011,GRADUADO/A EN EDUCACIÓN INFANTIL,
258,2012,GRADUADO/A EN EDUCACIÓN INFANTIL,
258,2013,GRADUADO/A EN EDUCACIÓN INFANTIL,
258,2014,GRADUADO/A EN EDUCACIÓN INFANTIL,"98,53"
258,2015,GRADUADO/A EN EDUCACIÓN INFANTIL,"97,76"
259,2011,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,
259,2012,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,
259,2013,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,
259,2014,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"95,89"
259,2015,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"97,64"
260,2011,GRADUADO/A EN BELLAS ARTES,
260,2012,GRADUADO/A EN BELLAS ARTES,
260,2013,GRADUADO/A EN BELLAS ARTES,
260,2014,GRADUADO/A EN BELLAS ARTES,"98,91"
260,2015,GRADUADO/A EN BELLAS ARTES,"98,47"
261,2011,GRADUADO/A EN BIOQUÍMICA,
261,2012,GRADUADO/A EN BIOQUÍMICA,
261,2013,GRADUADO/A EN BIOQUÍMICA,
261,2014,GRADUADO/A EN BIOQUÍMICA,"97,1"
261,2015,GRADUADO/A EN BIOQUÍMICA,"99,06"
263,2011,GRADUADO/A EN FILOSOFÍA,
263,2012,GRADUADO/A EN FILOSOFÍA,
263,2013,GRADUADO/A EN FILOSOFÍA,
263,2014,GRADUADO/A EN FILOSOFÍA,"95,07"
263,2015,GRADUADO/A EN FILOSOFÍA,"96,39"
264,2011,GRADUADO/A EN PSICOLOGÍA,
264,2012,GRADUADO/A EN PSICOLOGÍA,
264,2013,GRADUADO/A EN PSICOLOGÍA,
264,2014,GRADUADO/A EN PSICOLOGÍA,"97,78"
264,2015,GRADUADO/A EN PSICOLOGÍA,"98,2"
265,2011,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,
265,2012,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,
265,2013,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,
265,2014,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"98,28"
265,2015,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"99,5"
266,2014,GRADUADO/A EN ARQUEOLOGÍA,
266,2015,GRADUADO/A EN ARQUEOLOGÍA,
267,2011,GRADUADO/A EN FÍSICA,
267,2012,GRADUADO/A EN FÍSICA,
267,2013,GRADUADO/A EN FÍSICA,
267,2014,GRADUADO/A EN FÍSICA,"98,51"
267,2015,GRADUADO/A EN FÍSICA,"98,66"
268,2011,GRADUADO/A EN GEOLOGÍA,
268,2012,GRADUADO/A EN GEOLOGÍA,
268,2013,GRADUADO/A EN GEOLOGÍA,
268,2014,GRADUADO/A EN GEOLOGÍA,"96,67"
268,2015,GRADUADO/A EN GEOLOGÍA,100
270,2011,GRADUADO/A EN MATEMÁTICAS,
270,2012,GRADUADO/A EN MATEMÁTICAS,
270,2013,GRADUADO/A EN MATEMÁTICAS,
270,2014,GRADUADO/A EN MATEMÁTICAS,"98,12"
270,2015,GRADUADO/A EN MATEMÁTICAS,"97,74"
273,2011,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,
273,2012,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,
273,2013,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,
273,2014,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"98,7"
273,2015,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"98,04"
276,2011,GRADUADO/A EN FILOLOGÍA CLÁSICA,
276,2012,GRADUADO/A EN FILOLOGÍA CLÁSICA,
276,2013,GRADUADO/A EN FILOLOGÍA CLÁSICA,
276,2014,GRADUADO/A EN FILOLOGÍA CLÁSICA,"97,04"
276,2015,GRADUADO/A EN FILOLOGÍA CLÁSICA,"99,72"
277,2011,GRADUADO/A EN ESTUDIOS FRANCESES,
277,2012,GRADUADO/A EN ESTUDIOS FRANCESES,
277,2013,GRADUADO/A EN ESTUDIOS FRANCESES,
277,2014,GRADUADO/A EN ESTUDIOS FRANCESES,"96,64"
277,2015,GRADUADO/A EN ESTUDIOS FRANCESES,"95,82"
279,2011,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,
279,2012,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,
279,2013,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,
279,2014,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,
279,2015,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"97,56"
283,2011,GRADUADO/A EN FILOLOGÍA HISPÁNICA,
283,2012,GRADUADO/A EN FILOLOGÍA HISPÁNICA,
283,2013,GRADUADO/A EN FILOLOGÍA HISPÁNICA,
283,2014,GRADUADO/A EN FILOLOGÍA HISPÁNICA,98
283,2015,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"97,98"
285,2011,GRADUADO/A EN ESTUDIOS INGLESES,
285,2012,GRADUADO/A EN ESTUDIOS INGLESES,
285,2013,GRADUADO/A EN ESTUDIOS INGLESES,
285,2014,GRADUADO/A EN ESTUDIOS INGLESES,"97,45"
285,2015,GRADUADO/A EN ESTUDIOS INGLESES,"99,3"
286,2011,GRADUADO/A EN LOGOPEDIA,
286,2012,GRADUADO/A EN LOGOPEDIA,
286,2013,GRADUADO/A EN LOGOPEDIA,
286,2014,GRADUADO/A EN LOGOPEDIA,"98,61"
286,2015,GRADUADO/A EN LOGOPEDIA,"98,77"
287,2011,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,
287,2012,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,
287,2013,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,
287,2014,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"97,52"
287,2015,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"93,06"
288,2011,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,
288,2012,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,
288,2013,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,
288,2014,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"96,65"
288,2015,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"96,96"
290,2011,GRADUADO/A EN LITERATURAS COMPARADAS,
290,2012,GRADUADO/A EN LITERATURAS COMPARADAS,
290,2013,GRADUADO/A EN LITERATURAS COMPARADAS,
290,2014,GRADUADO/A EN LITERATURAS COMPARADAS,"99,79"
290,2015,GRADUADO/A EN LITERATURAS COMPARADAS,100
291,2011,GRADUADO/A EN QUÍMICA,
291,2012,GRADUADO/A EN QUÍMICA,
291,2013,GRADUADO/A EN QUÍMICA,
291,2014,GRADUADO/A EN QUÍMICA,"96,89"
291,2015,GRADUADO/A EN QUÍMICA,"97,49"
292,2011,GRADUADO/A EN HISTORIA,
292,2012,GRADUADO/A EN HISTORIA,
292,2013,GRADUADO/A EN HISTORIA,
292,2014,GRADUADO/A EN HISTORIA,"96,74"
292,2015,GRADUADO/A EN HISTORIA,"96,7"
293,2011,GRADUADO/A EN HISTORIA DEL ARTE,
293,2012,GRADUADO/A EN HISTORIA DEL ARTE,
293,2013,GRADUADO/A EN HISTORIA DEL ARTE,
293,2014,GRADUADO/A EN HISTORIA DEL ARTE,"97,22"
293,2015,GRADUADO/A EN HISTORIA DEL ARTE,"97,78"
294,2012,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,
294,2013,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,
294,2014,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,
294,2015,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"98,52"
296,2011,GRADUADO/A EN INGENIERÍA INFORMÁTICA,
296,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA,
296,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA,
296,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"95,35"
296,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"93,82"
297,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,
297,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,
297,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,
297,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,
298,2011,GRADUADO/A EN PEDAGOGÍA,
298,2012,GRADUADO/A EN PEDAGOGÍA,
298,2013,GRADUADO/A EN PEDAGOGÍA,
298,2014,GRADUADO/A EN PEDAGOGÍA,"98,54"
298,2015,GRADUADO/A EN PEDAGOGÍA,"97,86"
299,2011,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,
299,2012,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,
299,2013,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,
299,2014,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"97,74"
299,2015,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"96,71"
407,2011,GRADUADO/A EN ENFERMERÍA (CEUTA),
407,2012,GRADUADO/A EN ENFERMERÍA (CEUTA),
407,2013,GRADUADO/A EN ENFERMERÍA (CEUTA),
407,2014,GRADUADO/A EN ENFERMERÍA (CEUTA),"93,77"
407,2015,GRADUADO/A EN ENFERMERÍA (CEUTA),"94,51"
414,2012,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),
414,2013,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),
414,2014,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),
414,2015,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"98,25"
433,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),
433,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),
433,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),
433,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"98,77"
433,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"93,75"
457,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),
457,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),
457,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),
457,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"94,05"
457,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"91,19"
458,2011,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),
458,2012,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),
458,2013,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),
458,2014,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"96,17"
458,2015,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"97,09"
496,2011,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),
496,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),
496,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),
496,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),
496,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),
507,2011,GRADUADO/A EN ENFERMERÍA (MELILLA),
507,2012,GRADUADO/A EN ENFERMERÍA (MELILLA),
507,2013,GRADUADO/A EN ENFERMERÍA (MELILLA),
507,2014,GRADUADO/A EN ENFERMERÍA (MELILLA),"96,52"
507,2015,GRADUADO/A EN ENFERMERÍA (MELILLA),"94,12"
514,2012,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),
514,2013,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),
514,2014,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),
514,2015,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"92,62"
528,2015,GRADUADO ADMINISTRACIÓN Y DIRECCIÓN EMPRESAS Y DCHO (MELILLA),
533,2011,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),
533,2012,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),
533,2013,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),
533,2014,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"90,62"
533,2015,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"96,1"
535,2011,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),
535,2012,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),
535,2013,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),
535,2014,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),
535,2015,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),
536,2014,DIPLOMATURA DE RELACIONES LABORALES (MELILLA),
537,2011,DIPLOMADO EN RELACIONES LABORALES (MELILLA),
537,2012,DIPLOMADO EN RELACIONES LABORALES (MELILLA),
537,2013,DIPLOMADO EN RELACIONES LABORALES (MELILLA),
537,2014,DIPLOMADO EN RELACIONES LABORALES (MELILLA),
538,2011,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
538,2012,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
538,2013,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
538,2014,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
538,2015,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
539,2011,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
