AREA,TITULO,2011,2012,2013,2014,2015
CIENCIAS DE LA SALUD,GRADUADO/A EN TERAPIA OCUPACIONAL,6,3,3,1,7
CIENCIAS DE LA SALUD,GRADUADO/A EN LOGOPEDIA,7,6,5,5,6
CIENCIAS DE LA SALUD,GRADUADO/A EN ODONTOLOGÍA,8,5,6,7,4
CIENCIAS DE LA SALUD,GRADUADO/A EN ENFERMERÍA (CEUTA),9,10,10,6,5
CIENCIAS DE LA SALUD,GRADUADO/A EN ENFERMERÍA (MELILLA),10,9,8,8,9
CIENCIAS DE LA SALUD,GRADUADO/A EN FARMACIA,11,11,11,11,11
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN INFANTIL,1,2,1,2,3
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN SOCIAL,2,3,3,4,4
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN TRABAJO SOCIAL,3,4,5,6,8
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),4,9,30,23,2
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,5,1,4,1,5
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN PRIMARIA,6,6,6,5,7
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,7,5,7,9,10
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN PEDAGOGÍA,8,7,2,3,6
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),9,22,15,15,13
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,10,15,19,20,19
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,11,8,11,11,12
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),12,13,16,12,16
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN TURISMO,13,10,9,14,14
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN FINANZAS Y CONTABILIDAD,14,19,27,27,30
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),15,17,29,10,1
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,16,16,17,29,27
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,17,27,21,22,23
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),18,12,12,8,11
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),19,11,8,7,9
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN DERECHO,20,26,23,24,28
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,21,24,20,21,26
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,22,18,14,13,17
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),23,20,24,18,22
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,24,30,25,26,25
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,25,29,22,25,24
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN SOCIOLOGÍA,26,21,18,19,21
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),27,25,26,28,20
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN ECONOMÍA,28,28,28,30,29
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),29,14,13,16,15
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),30,23,10,17,18
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA CIVIL,1,4,3,4,6
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,2,1,1,2,1
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN ARQUITECTURA,3,3,2,1,2
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN EDIFICACIÓN,4,2,4,3,3
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA QUÍMICA,5,5,5,6,5
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),6,6,7,7,7
INGENIERÍA Y ARQUITECTURA,GRADUADO/A EN INGENIERÍA INFORMÁTICA,7,7,6,5,4
