Subida por concepto:,"-5,00%","-5,00%","0,30%",,,,,"0,30%",,,,,
Conductor Mecánico," 1124,57       ","567,90","81,81"," 1774,28       ","16868,55"," 6814,80       ","981,75","505,34","25170,44","22973,05",,,
Técnico Especialista Laboratorio ," 1124,57       ","567,90","81,81"," 1774,28       ","16868,55"," 6814,80       ","981,75","336,90","25002,00","22824,39",,,
Técnico Especialista Artes Gráficas," 1124,57       ","567,90","81,81"," 1774,28       ","16868,55"," 6814,80       ","981,75","336,90","25002,00","22824,39",,,
Técnico Especialista Reprografía y Publicaciones," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","336,90","23634,36","21595,89",,,
Técnico Especialista Hostelería," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","505,34","23802,80","21754,62",,,
Coordinador de Servicios de Conserjería," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","505,34","23802,80","21754,62",,,
Técnico Especialista Medios Audiovisuales," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","336,90","23634,36","21605,96",,,
Técnico Especialista Escuelas Infantiles," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","336,90","23634,36","21605,96",,,
Delineante," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","252,67","23550,13","21531,62",,,
Interprete / Informador," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","252,67","23550,13","21531,62",,,
Técnico Especialista Actividades Culturales," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","252,67","23550,13","21531,62",,,
Técnico Especialista Deportes," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","336,90","23634,36","21605,96",,,
Técnico Especialista de Prensa e Información," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","252,67","23550,13","21531,62",,,
Técnico Especialista de Almacén," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","336,90","23634,36","21605,96",,,
Técnico Especialista de Telecomunicaciones," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","505,37","23802,83","21754,62",,,
"Técnico Especialista Biblioteca, Archivo y Museos"," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","336,90","23634,36","21605,96",,,
Operador (a extinguir)," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","252,67","23550,13","21531,62",,,
Técnico Especialista Administración (a extinguir)," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","252,67","23550,13","21531,62",,,
Maestro de Taller (a extinguir)," 1124,57       ","567,90","81,81"," 1774,28       ","16868,55"," 6814,80       ","981,75","336,90","25002,00","22824,39",,,
Técnico Especialista Prevención ," 1124,57       ","567,90","81,81"," 1774,28       ","16868,55"," 6814,80       ","981,75","252,67","24917,77","22750,05",,,
Técnico Especialista ," 1124,57       ","453,93","81,81"," 1660,31       ","16868,55"," 5447,16       ","981,75","252,67","23550,13","21531,62",,,

GRUPO PROFESIONAL - CATEGORIA,SUELDO,C.CATEG.,C.HOMOL., TOTAL ,SUELDO, C.CATEG. ,C.HOMOL.,VESTUARIO,TOTAL,ANUAL,TRIENIO *,TRIENIO,%
Grupo IV,MENSUAL,MENSUAL,MENSUAL, MENSUAL ,ANUAL, ANUAL ,ANUAL,ANUAL,ANUAL,2010,2010,2009,INC.
"Técnico Auxiliar Servicio Técnico de Obras, Equip. y Manten."," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","505,34","19955,93","18233,86","25,50","26,75","0,30"
Técnico Auxiliar de Seguridad (a extinguir)," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","505,34","19955,93","18233,86",TRIENIO **,TRIENIO,%
Motorista," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","505,34","19955,93","18233,86",2010,2009,INC.
Técnico Auxiliar de Laboratorio," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","336,90","19787,49","18085,20","17,04","17,88","0,30"
Modelo en Vivo," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","336,90","19787,49","18085,20",,,
Socorrista," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","336,90","19787,49","18085,20",,,
Técnico Auxiliar de Hostelería," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","505,34","19955,93","18233,86",,,
Técnico Auxililar de Reprografía y Publicaciones," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","336,90","19787,49","18085,20",,,
Técnico Auxiliar del Servicio de Conserjería," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","505,34","19955,93","18233,86",,,
Técnico Auxiliar Medios Audiovisuales," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","336,90","19787,49","18085,20",,,
"Técnico Auxiliar Bibliotecas, Archivos y Museos"," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","336,90","19787,49","18085,20",,,
Técnico Auxiliar Instalaciones Deportivas," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","505,34","19955,93","18233,86",,,
Técnico Auxiliar de Limpieza," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","505,34","19955,93","18233,86",,,
Técnico Auxiliar de Almacén," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","336,90","19787,49","18085,20",,,
Telefonista," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","505,34","19955,93","18233,86",,,
Técnico Auxiliar de Administración (a extinguir)," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","252,67","19703,26","18010,86",,,
Auxiliar de Grabación (a extinguir)," 983,76       ","309,37","81,81"," 1374,94       ","14756,40"," 3712,44       ","981,75","252,67","19703,26","18010,86",,,

GRUPO PROFESIONAL - CATEGORIA,SUELDO,C.CATEG.,C.HOMOL., TOTAL ,SUELDO, C.CATEG. ,C.HOMOL.,VESTUARIO,TOTAL,ANUAL,TRIENIO,TRIENIO,%
Grupo V,MENSUAL,MENSUAL,MENSUAL, MENSUAL ,ANUAL, ANUAL ,ANUAL,ANUAL,ANUAL,2010,2010,2009,INC.
"Ayudante Oficio Servicio Técnico de Obras, Equip. Y Manten."," 931,83       ","271,59","81,81"," 1285,23       ","13977,45"," 3259,08       ","981,75","505,34","18723,62","17087,33","12,80","13,42","0,30"
Ayudante Servicios de Limpieza," 931,83       ","190,28","81,81"," 1203,92       ","13977,45"," 2283,36       ","981,75","505,34","17747,90","16224,41",,,
Ayudante Servicio de Conserjería," 931,83       ","190,28","81,81"," 1203,92       ","13977,45"," 2283,36       ","981,75","505,34","17747,90","16224,41",,,

COMPLEMENTO DE DIRECCIÓN,"-5,00%",,,,,,,,,,,,
GRUPO/FUNCIÓN,VALOR MENSUAL,VALOR ANUAL,, * ,importe de los trienios que cumpla el personal del grupo IV desde 01/01/02,,,,,,,,
T.Superior Director," 466,48       "," 5597,76       ",, ** ,importe de los trienios cumplidos por el personal del Grupo IV antes de 01/01/02,,,,,,,,
T. Superior Subdirector," 223,51       "," 2682,12       ",,,,,,,,,,,
T. G. Medio Director," 249,99       "," 2999,88       ",,,," C. Homologación (+0,3%) ",,,,,,,
T. G. Medio Subdirector," 174,93       "," 2099,16       ",,,, Anual ,"981,75",,,,,,
-,,,,,, Cuatrimestral ,"327,25",,,,,,,
OTROS CONCEPTOS RETRIBUTIVOS,,VALOR,%INCREMENTO, IMPORTE HORA ,,,,,,,,,

Art.56.- Complemento de nocturnidad: (mensual),,"137,09","-5,0%"," 0,92       ",,,,,,,,,
Art.57.- Complemento de residencia:,,ANEXO XV BOE 03/01/09,,,, Retribuciones INEF (-5%) ,,,,,,,
"Art.58.- Complemento de trabajo en sábados, domingos y festivos:",,,,,, Sueldo ,,"1512,66",,,,,
-Sábados y domingos (sin vivienda),1 día libre y,"32,81","-5,0%",,, Trienio ,,"28,03",,,,,
-ó sábados turno de mañana (sin vivienda),sin día libre y,"65,65","-5,0%",,, Plus Actividad ,,"405,90",,,,,
-ó sábado/tarde o domingo cualquier turno (sin vivienda),sin día libre y,"78,79","-5,0%",,,,,,,,,,
Art.59 (Cpto.Personal) y Art.62.(Grat.Serv.Extraord.),,"Incremento 0,3%",,,,,,,,,,,
" Hosteleria 30 (+0,3%) ",,"189,64",,,,,,,,,,,
