Código,Departamento,Área,T.C. (P.D.I.),T.P. (P.D.I.),Total (P.D.I.),ETC (P.D.I.),Tr. Doc. (P.D.I.),Tr. Inv. (P.D.I.),Tr. Aut. (P.D.I.),Fun. (P.A.S.),Lab. (P.A.S.),Total (P.A.S.)
,"DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL",DIDÁCTICA DE LA EXPRESIÓN PLÁSTICA ,10,5,15,13375,41,5,20,,,
305022,DIDÁCTICA DE LA LENGUA Y LA LITERATURA,DIDÁCTICA DE LA LENGUA Y LA LITERATURA ,36,6,42,40500,64,12,48,,,
305023,DIDÁCTICA DE LA MATEMÁTICA,DIDÁCTICA DE LA MATEMÁTICA ,24,0,24,24000,73,30,48,,,
305024,DIDÁCTICA Y ORGANIZACIÓN ESCOLAR,DIDÁCTICA Y ORGANIZACIÓN ESCOLAR ,52,7,59,56875,110,50,105,,,
305025,ECONOMÍA APLICADA,ECONOMÍA APLICADA ,35,2,37,36250,92,14,60,,,
305026,ECONOMÍA FINANCIERA Y CONTABILIDAD,ECONOMÍA FINANCIERA Y CONTABILIDAD ,39,18,57,51750,93,10,67,,,
305027,EDAFOLOGÍA Y QUÍMICA AGRÍCOLA,EDAFOLOGÍA Y QUÍMICA AGRÍCOLA ,11,0,11,11000,48,27,31,,,
305030,ESTADÍSTICA E INVESTIGACIÓN OPERATIVA,ESTADÍSTICA E INVESTIGACIÓN OPERATIVA ,60,3,63,62125,203,93,157,,,
305031,ESTRATÍGRAFÍA Y PALEONTOLOGÍA,ESTRATIGRAFÍA ,6,0,6,6000,29,20,22,,,
,ESTRATÍGRAFÍA Y PALEONTOLOGÍA,PALEONTOLOGÍA ,10,0,10,10000,52,43,42,,,
305032,ESTUDIOS SEMÍTICOS,ESTUDIOS ÁRABES E ISLÁMICOS ,19,2,21,20500,52,24,39,,,
,ESTUDIOS SEMÍTICOS,ESTUDIOS HEBREOS Y ARAMEOS ,8,0,8,8000,25,13,19,,,
305033,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,EXPRESIÓN GRÁFICA ARQUITECTÓNICA ,23,20,43,36250,59,3,33,,,
,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,EXPRESIÓN GRÁFICA EN LA INGENIERÍA ,3,4,7,5375,11,1,6,,,
,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,"INGENIERÍA CARTOGRÁFICA, GEODÉSICA Y FOTOGRAMETRÍ ",1,1,2,1750,,,1,,,
,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,PROYECTOS ARQUITECTÓNICOS ,17,11,28,25125,9,5,6,,,
305034,FARMACIA Y TECNOLOGÍA FARMACÉUTICA,FARMACIA Y TECNOLOGÍA FARMACÉUTICA ,16,0,16,16000,58,12,28,,,
,FARMACIA Y TECNOLOGÍA FARMACÉUTICA,"HISTORIA DE LA FARMACIA, LEGISLACIÓN Y GESTIÓN FARM ",5,0,5,5000,21,,12,,,
305035,FARMACOLOGÍA,FARMACOLOGÍA ,21,3,24,22125,100,45,66,,,
305036,LENGUA ESPAÑOLA,LENGUA ESPAÑOLA,16,0,16,16000,57,29,32,,,
305037,FILOLOGÍA FRANCESA,FILOLOGÍA FRANCESA,20,0,20,20000,56,15,39,,,
305038,FILOLOGÍA GRIEGA,FILOLOGÍA ESLAVA,15,0,15,15000,15,8,21,,,
,FILOLOGÍA GRIEGA,FILOLOGÍA GRIEGA,1,0,1,1000,0,0,0,,,
,FILOLOGÍA GRIEGA,FILOLOGÍA GRIEGA,10,0,10,10000,49,22,37,,,
305039,FILOLOGÍA INGLESA,FILOLOGÍA ALEMANA,6,2,8,7125,11,6,13,,,
,FILOLOGÍA INGLESA,FILOLOGÍA INGLESA,50,1,51,50625,147,44,98,,,
305040,FILOLOGÍA LATINA,FILOLOGÍA LATINA,12,0,12,12000,58,37,45,,,
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍA CATALANA,2,0,2,2000,5,2,3,,,
,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍA ITALIANA,8,0,8,8000,20,8,14,,,
,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍA ROMÁNICA,4,1,5,4250,15,10,12,,,
,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍAS GALLEGA Y PORTUGUESA,5,0,5,5000,12,9,11,,,
305042,FILOSOFÍA I,ESTÉTICA Y TEORÍA DE LAS ARTES ,3,0,3,3000,3,,2,,,
,FILOSOFÍA I,FILOSOFÍA MORAL ,3,1,4,3500,13,6,7,,,
,FILOSOFÍA I,LÓGICA Y FILOSOFÍA DE LA CIENCIA ,1,0,1,1000,0,0,0,,,
,FILOSOFÍA I,LÓGICA Y FILOSOFÍA DE LA CIENCIA ,9,0,9,9000,40,23,29,,,
305043,"FILOSOFÍA DEL DERECHO, MORAL Y POLÍTICA",FILOSOFÍA DEL DERECHO ,10,0,10,10000,45,26,33,,,
305044,FÍSICA APLICADA,FÍSICA APLICADA ,43,1,44,43750,172,117,120,,,
305045,"FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR","FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR ",16,0,16,16000,76,61,56,,,
305046,FISIOLOGÍA,FISIOLOGÍA ,31,2,33,32500,147,97,99,,,
305047,GEODINÁMICA,GEODINÁMICA EXTERNA ,9,0,9,9000,32,21,29,,,
,GEODINÁMICA,GEODINÁMICA INTERNA ,12,0,12,12000,57,45,41,,,
305048,ANÁLISIS GEOGRÁFICO REGIONAL Y GEOGRAFÍA FÍSICA,ANÁLISIS GEOGRÁFICO REGIONAL ,5,0,5,5000,21,4,14,,,
,ANÁLISIS GEOGRÁFICO REGIONAL Y GEOGRAFÍA FÍSICA,GEOGRAFÍA FÍSICA ,6,0,6,6000,20,4,15,,,
305049,GEOGRAFÍA HUMANA,GEOGRAFÍA HUMANA ,9,2,11,10500,30,10,30,,,
305050,GEOMETRÍA Y TOPOLOGÍA,GEOMETRÍA Y TOPOLOGÍA ,24,0,24,24000,93,69,77,,,
305051,HISTORIA DEL ARTE,HISTORIA DEL ARTE ,37,0,37,37000,134,83,105,,,
305052,HISTORIA CONTEMPORÁNEA,HISTORIA CONTEMPORÁNEA ,13,0,13,13000,54,32,38,,,
305053,HISTORIA MEDIEVAL Y CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS,CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS ,7,0,7,7000,33,7,24,,,
,HISTORIA MEDIEVAL Y CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS,HISTORIA MEDIEVAL ,9,0,9,9000,34,22,30,,,
305054,HISTORIA MODERNA Y DE AMÉRICA,HISTORIA DE AMÉRICA ,4,0,4,4000,20,10,14,,,
,HISTORIA MODERNA Y DE AMÉRICA,HISTORIA MODERNA ,9,0,9,9000,35,19,29,,,
305055,INGENIERÍA QUÍMICA,INGENIERÍA QUÍMICA ,25,3,28,27250,65,43,44,,,
305056,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES ,30,3,33,31125,95,55,64,,,
,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES,INGENIERÍA DE SISTEMAS Y AUTOMÁTICA ,1,0,1,1000,6,3,5,,,
305057,LINGÜÍSTICA GENERAL Y TEORÍA DE LA LITERATURA,LINGÜÍSTICA GENERAL ,12,1,13,12500,29,9,18,,,
,LINGÜÍSTICA GENERAL Y TEORÍA DE LA LITERATURA,TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA ,11,0,11,11000,42,22,30,,,
305058,MATEMÁTICA APLICADA,MATEMÁTICA APLICADA ,49,0,49,49000,174,92,119,,,
305059,MEDICINA,DERMATOLOGÍA ,6,4,10,7500,34,10,17,,,
,MEDICINA,MEDICINA ,20,52,72,39875,99,50,73,,,
305061,MICROBIOLOGÍA,MICROBIOLOGÍA ,36,0,36,36000,170,120,117,,,
305062,MINERALOGÍA Y PETROLOGÍA,CRISTALOGRAFÍA Y MINERALOGÍA ,17,0,17,17000,80,63,61,,,
,MINERALOGÍA Y PETROLOGÍA,PETROLOGÍA Y GEOQUÍMICA ,8,0,8,8000,32,23,23,,,
305063,NUTRICIÓN Y BROMATOLOGÍA,NUTRICIÓN Y BROMATOLOGÍA ,20,0,20,20000,86,47,51,,,
305064,OBSTETRICIA Y GINECOLOGÍA,OBSTETRICIA Y GINECOLOGÍA ,5,13,18,11375,18,7,9,,,
305065,PARASITOLOGÍA,PARASITOLOGÍA ,14,0,14,14000,71,40,49,,,
305066,PEDAGOGÍA,TEORÍA E HISTORIA DE LA EDUCACIÓN ,27,4,31,29500,60,25,42,,,
305067,"PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGICO","PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGIC ",39,2,41,40500,113,82,91,,,
305068,PREHISTORIA Y ARQUEOLOGÍA,ARQUEOLOGÍA ,5,0,5,5000,16,12,18,,,
,PREHISTORIA Y ARQUEOLOGÍA,PREHISTORIA ,17,0,17,17000,72,47,57,,,
305069,PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN,PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN ,52,6,58,56000,96,29,74,,,
305070,PSICOLOGÍA EXPERIMENTAL,PSICOLOGÍA EXPERIMENTAL ,3,0,3,3000,0,0,0,,,
,PSICOLOGÍA EXPERIMENTAL,PSICOLOGÍA EXPERIMENTAL ,30,0,30,30000,98,74,67,,,
305071,QUÍMICA ANALÍTICA,QUÍMICA ANALÍTICA ,29,0,29,29000,119,74,81,,,
305072,QUÍMICA FÍSICA,QUÍMICA FÍSICA ,19,0,19,19000,87,53,57,,,
305073,QUÍMICA INORGÁNICA,QUÍMICA INORGÁNICA ,31,0,31,31000,140,94,95,,,
305074,QUÍMICA ORGÁNICA,QUÍMICA ORGÁNICA ,19,0,19,19000,85,59,60,,,
305075,RADIOLOGÍA Y MEDICINA FÍSICA,RADIOLOGÍA Y MEDICINA FÍSICA ,9,13,22,14625,43,21,25,,,
305076,SOCIOLOGÍA,SOCIOLOGÍA ,35,9,44,40875,81,23,65,,,
305077,CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL,CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL ,69,2,71,70500,217,151,177,,,
305078,DERECHO PENAL,DERECHO PENAL ,20,1,21,20375,70,40,61,,,
305079,LENGUAJES Y SISTEMAS INFORMÁTICOS,LENGUAJES Y SISTEMAS INFORMÁTICOS ,49,3,52,50750,122,36,81,,,
305080,FÍSICA TEÓRICA Y DEL COSMOS,ASTRONOMÍA Y ASTROFÍSICA ,11,0,11,11000,33,25,19,,,
,FÍSICA TEÓRICA Y DEL COSMOS,FÍSICA DE LA TIERRA ,8,0,8,8000,34,22,27,,,
,FÍSICA TEÓRICA Y DEL COSMOS,FÍSICA TEÓRICA ,15,0,15,15000,58,45,32,,,
305081,INFORMACIÓN Y DOCUMENTACIÓN,BIBLIOTECONOMÍA Y DOCUMENTACIÓN ,25,1,26,25750,104,42,69,,,
,INFORMACIÓN Y DOCUMENTACIÓN,COMUNICACIÓN AUDIOVISUAL Y PUBLICIDAD ,3,7,10,7250,2,1,,,,
305082,PINTURA,PINTURA,33,2,35,34000,101,30,89,,,
305083,ESCULTURA,ESCULTURA,23,1,24,23375,44,6,34,,,
305084,ELECTROMAGNETISMO Y FÍSICA DE LA MATERIA,ELECTROMAGNETISMO,8,0,8,8000,30,19,22,,,
,ELECTROMAGNETISMO Y FÍSICA DE LA MATERIA,FÍSICA DE LA MATERIA CONDENSADA,7,0,7,7000,30,22,18,,,
305085,EDUCACIÓN FÍSICA Y DEPORTIVA,EDUCACIÓN FÍSICA Y DEPORTIVA,54,6,60,57625,111,40,96,,,
305086,CIENCIA POLÍTICA Y DE LA ADMINISTRACIÓN,CIENCIA POLÍTICA Y DE LA ADMINISTRACIÓN,28,6,34,32125,67,29,44,,,
305087,DERECHO INTERNACIONAL PÚBLICO Y RELACIONES INTERNACIONALES,DERECHO INTERNACIONAL PÚBLICO Y RELACIONES INTERNACIONALES,16,1,17,16750,49,22,38,,,
305088,DERECHO DEL TRABAJO,DERECHO DEL TRABAJO Y DE LA SEGURIDAD SOCIAL,26,6,32,30000,76,31,55,,,
305089,GENÉTICA,GENÉTICA,18,1,19,18750,62,45,45,,,
305090,HISTORIA ANTIGUA,HISTORIA ANTIGUA,12,0,12,12000,61,34,41,,,
305091,PEDIATRÍA,PEDIATRÍA,7,11,18,11125,38,19,29,,,
305092,INGENÍERIA CIVIL,INGENIERÍA DEL TERRENO,6,4,10,8500,15,9,12,,,
,INGENÍERIA CIVIL,INGENIERÍA E INFRAESTRUCTURA DE LOS TRANSPORTES,3,5,8,6250,3,2,3,,,
,INGENÍERIA CIVIL,INGENIERÍA ELÉCTRICA,6,2,8,6750,7,4,5,,,
,INGENÍERIA CIVIL,TECNOLOGÍAS DEL MEDIO AMBIENTE,9,2,11,10125,30,18,19,,,
305093,ÓPTICA,ÓPTICA,33,2,35,34500,96,57,62,,,
305094,MEDICINA PREVENTIVA Y SALUD PÚBLICA,MEDICINA PREVENTIVA Y SALUD PÚBLICA,14,5,19,15875,59,30,44,,,
305095,TRADUCCIÓN E INTERPRETACIÓN,TRADUCCIÓN E INTERPRETACIÓN,55,1,56,55750,116,41,89,,,
305096,ESTOMATOLOGÍA,ESTOMATOLOGÍA,46,28,74,66125,180,53,111,,,
305098,PSICOLOGÍA SOCIAL Y METODOLOGÍA DE LAS CIENCIAS DEL COMPORTAMIENTO,PSICOLOGÍA SOCIAL,24,7,31,28250,42,14,38,,,
305099,ORGANIZACIÓN DE EMPRESAS,ORGANIZACIÓN DE EMPRESAS ,46,9,55,52125,54,27,46,,,
305100,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURAS,INGENIERÍA HIDRÁULICA ,9,2,11,10500,15,13,13,,,
,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURAS,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTU ,17,8,25,22500,31,14,22,,,
305101,MÉTODOS DE INVESTIGACIÓN Y DIAGNÓSTICO EN EDUCACIÓN,MÉTODOS DE INVESTIGACIÓN Y DIAGNÓSTICO EN EDUCACI ,24,2,26,25500,44,19,43,,,
305102,MÉTODOS CUANTITATIVOS PARA LA ECONOMÍA Y LA EMPRESA,MÉTODOS CUANTITATIVOS PARA LA ECONOMÍA Y LA EMPRE ,21,1,22,21750,55,19,29,,,
305103,LITERATURA ESPAÑOLA,LITERATURA ESPAÑOLA ,15,0,15,15000,53,33,39,,,
305104,QUÍMICA FARMACÉUTICA Y ORGÁNICA,QUÍMICA FARMACEÚTICA Y ORGÁNICA ,17,1,18,17375,58,39,30,,,
305105,COMERCIALIZACIÓN E INVESTIGACIÓN DE MERCADOS,COMERCIALIZACIÓN E INVESTIGACIÓN DE MERCADOS ,24,4,28,27000,32,13,32,,,
305106,BOTÁNICA,BOTÁNICA ,15,3,18,17000,63,38,48,,,
305107,FISIOLOGÍA VEGETAL,FISIOLOGÍA VEGETAL ,15,2,17,15750,66,45,47,,,
,FISIOLOGÍA VEGETAL,FISIOLOGÍA VEGETAL ,0,1,1,375,,,,,,
305108,HISTOLOGÍA,HISTOLOGÍA ,10,2,12,10875,37,27,29,,,
305109,TEORÍA E HISTORIA ECONÓMICA,FUNDAMENTOS DEL ANÁLISIS ECONÓMICO ,17,0,17,17000,32,18,13,,,
,TEORÍA E HISTORIA ECONÓMICA,HISTORIA E INSTITUCIONES ECONÓMICAS ,8,1,9,8500,32,11,14,,,
305110,ANTROPOLOGÍA SOCIAL,ANTROPOLOGÍA SOCIAL ,16,2,18,17125,43,26,34,,,
305111,TRABAJO SOCIAL Y SERVICIOS SOCIALES,TRABAJO SOCIAL Y SERVICIOS SOCIALES ,15,0,15,15000,39,3,17,,,
305112,FISIOTERAPIA,FISIOTERAPIA ,14,26,40,26500,18,2,9,,,
305113,ENFERMERÍA,ENFERMERÍA ,41,48,89,66500,88,10,50,,,
305114,"TEORÍA DE LA SEÑAL, TELEMÁTICA Y COMUNICACIONES",INGENIERÍA TELEMÁTICA ,10,2,12,11250,17,13,14,,,
,"TEORÍA DE LA SEÑAL, TELEMÁTICA Y COMUNICACIONES",TEORÍA DE LA SEÑAL Y COMUNICACIONES ,13,1,14,13375,41,28,29,,,
305115,ELECTRÓNICA Y TECNOLOGÍA DE COMPUTADORES,ELECTRÓNICA ,21,1,22,21750,50,38,32,,,
,ELECTRÓNICA Y TECNOLOGÍA DE COMPUTADORES,TECNOLOGÍA ELECTRÓNICA ,6,2,8,6750,16,12,14,,,
305116,ECOLOGÍA,ECOLOGÍA ,15,0,15,15000,51,40,36,,,
305117,ZOOLOGÍA,ZOOLOGÍA ,24,1,25,24625,118,64,78,,,
305118,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 1,BIOQUÍMICA Y BIOLOGÍA MOLECULAR I ,17,0,17,17000,52,28,40,,,
305119,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 2,BIOQUÍMICA Y BIOLOGÍA MOLECULAR II ,19,1,20,19500,93,58,62,,,
305120,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 3 E INMUNOLOGÍA,INMUNOLOGÍA ,7,1,8,7375,24,25,18,,,
,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 3 E INMUNOLOGÍA,BIOQUÍMICA Y BIOLOGÍA MOLECULAR III ,9,1,10,9750,35,18,25,,,
305121,ECONOMÍA INTERNACIONAL Y DE ESPAÑA,ECONOMÍA INTERNACIONAL Y DE ESPAÑA ,21,3,24,22500,51,14,35,,,
305122,FILOSOFÍA II,FILOSOFÍA ,1,0,1,1000,0,0,0,,,
,FILOSOFÍA II,FILOSOFÍA ,13,0,13,13000,43,27,36,,,
305123,FISICOQUIMICA,FÍSICO QUÍMICA ,13,0,13,13000,65,18,34,,,
305124,INGENIERIA DE LA CONSTRUCCION Y PROYECTOS DE INGENIERIA,INGENIERÍA DE LA CONSTRUCCIÓN ,5,3,8,7250,11,3,5,,,
,INGENIERIA DE LA CONSTRUCCION Y PROYECTOS DE INGENIERIA,PROYECTOS DE INGENIERÍA ,5,8,13,9875,9,6,5,,,
305125,URBANISTICA Y ORDENACION DEL TERRITORIO,URBANÍSTICA Y ORDENACIÓN DEL TERRITORIO ,13,4,17,15750,14,3,6,,,
305126,METODOLOGIA DE LAS CIENCIAS DEL COMPORTAMIENTO,METODOLOGÍA DE LAS CIENCIAS DEL COMPORTAMIENTO ,12,1,13,12500,37,23,29,,,
305127,HISTORIA Y CIENCIAS DE LA MÚSICA,HISTORIA Y CIENCIAS DE LA MÚSICA ,10,1,11,10750,29,18,21,,,
305128,PSICOBIOLOGIA,PSICOBIOLOGÍA ,12,0,12,12000,43,32,35,,,
305129,PSIQUIATRIA,PSIQUIATRÍA ,7,6,13,9250,15,11,12,,,
305130,"MEDICINA LEGAL, TOXICOLOGIA Y ANTROPOLOGIA FISICA",ANTROPOLOGÍA FÍSICA ,5,0,5,5000,19,8,9,,,
,"MEDICINA LEGAL, TOXICOLOGIA Y ANTROPOLOGIA FISICA",MEDICINA LEGAL Y FORENSE ,7,0,7,7000,31,22,23,,,
,"MEDICINA LEGAL, TOXICOLOGIA Y ANTROPOLOGIA FISICA",TOXICOLOGÍA ,5,0,5,5000,18,14,17,,,
