CONCEPTO/PROGRAMA,422 D,541 A,321 B,TOTALES 
310 Intereses operaciones a corto plazo,,,"15000,00","15000,00"
"311 Gastos de emisión, modificación y cancelación",,,,"0,00"
TOTAL CAPITULO 3º,"0,00","0,00","15000,00","15000,00"
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,,,,
"480,00  Becas  y ayudas propias a estudiantes","1340000,00",,,"1340000,00"
480.03 A Asociaciones estudiantiles,"150000,00",,,"150000,00"
"480,04 Plan Propio de Prácticas en Empresas y Entidades sin fines lucro","1150000,00",,,"1150000,00"
"480,08 Plan Propio de Ayudas Sociales a Estudiantes","180000,00",,,"180000,00"
483 Becas Programas Europeos,"10900000,00",,,"10900000,00"
484 Convenio con otras instituciones ,,,"35000,00","35000,00"
"485 A Fundaciones y otras instituciones(Excepto 485,03)",,,"517239,00","517239,00"
485 A Fundaciones y otras instituciones  Consejo Social,,,"212790,00","212790,00"
485.03 Al Centro Mediterráneo,,,"38495,00","38495,00"
485.05 Otros Planes de Apoyo Junta de Andalucía,"1325000,00",,,"1325000,00"
490.11 Cuotas y contrib.organismos internacionales,"30000,00",,,"30000,00"
TOTAL CAPITULO 4º,"15075000,00","0,00","803524,00","15878524,00"
TOTAL OPERACIONES CORRIENTES,"273458588,00","805940,00","26915788,00","301180316,00"
CAPITULO 6º. INVERSIONES REALES,,,,
602.00 Construcciones propias,,,"14046908,00","14046908,00"
"603.00 Maquinaria Centros, Departamentos y Servicios",,,"500000,00","500000,00"
603.03 Maquinaria (Equipamiento Gral.Docente),,,"400000,00","400000,00"
603.04 Maquinaria (Equipamiento de gestión),,,"100000,00","100000,00"
"605.00 Mobiliario y enseres Centros, Depart. y Servicios",,,"1476840,00","1476840,00"
605.03 Mobiliario y enseres (Equip.Gral.docente),,,"400000,00","400000,00"
605.04 Mobiliario y enseres (Equipamiento de gestión),,,"75000,00","75000,00"
"606,00 Sistemas procesos información. Centros, Departamentos y Servic.",,,"1000000,00","1000000,00"
"606,01 Sistemas procesos información. CSIRC",,,"240000,00","240000,00"
"606,02 Sistemas procesos información.Enseñanzas Virtuales",,,"211000,00","211000,00"
"606,05 Sistemas procesos  informaciòn de Gestión",,,"150000,00","150000,00"
608 Inversiones bibliográficas,"400000,00","3600000,00","25000,00","4025000,00"
622 Inversiones Infraestructura y Equipamiento Junta Andalucía,,,"36746055,00","36746055,00"
631 Programa FEDER 2007/13,,"7000000,00",,"7000000,00"
635.01 Actuaciones CEI 2009,,,"0,00","0,00"
"635,03  Actuaciones INNPLANTA 2012",,,"0,00","0,00"
640 Investigación Científica,,"30061159,00",,"30061159,00"
"641,00 Plan Propio de Investigación Científica",,"3360000,00",,"3360000,00"
"641,01 Plan Propio Inv.Cient.Mantenimiento CIC",,,,"0,00"
"641,02 Plan Propio de Fomento de la Productividad Investigadora",,"1000000,00",,"1000000,00"
642 Programas de Proyección Internacional y Promoción Lingüística,"70000,00",,,"70000,00"
"644 Plan de Innovación, Calidad Docente y EEES.","570000,00",,,"570000,00"
645 Actuaciones Fomento de Empleo,"400000,00",,,"400000,00"
648 Plan Propio de Internacionalización,"715000,00",,,"715000,00"
662 Inversiones propias de reposición,,,"1700000,00","1700000,00"
TOTAL CAPITULO 6º,"2155000,00","45021159,00","57070803,00","104246962,00"
CAPITULO 7º. TRANSFERENCIAS DE CAPITAL,,,,
785.00 A  Fundación Universidad Empresa,,,,"0,00"
TOTAL CAPITULO 7º,"0,00","0,00","0,00","0,00"
CAPITULO 7º. TRANSFERENCIAS DE CAPITAL,,,,
"780,05  Plan Propio para Promoción del Autoempleo","250000,00",,,"250000,00"
784 Ayudas diversas Consejo Social,,,"12000,00","12000,00"
"785,09 A otras Instituciones. Parque de las Ciencias",,,"106213,00","106213,00"
TOTAL CAPITULO 7º,"250000,00","0,00","118213,00","368213,00"
CAPITULO 8º. ACTIVOS FINANCIEROS,,,,
831.00 Anticipos y préstamos a Personal Universidad   G.A.S.,"650000,00",,,"650000,00"
"831,01 Linea especial de anticipos","0,00",,,"0,00"
TOTAL CAPITULO 8º,"650000,00","0,00","0,00","650000,00"
CAPITULO 9º. PASIVOS FINANCIEROS,,,,
911 Amortización de préstamos a largo plazo. Sector Público,,,"1127217,00","1127217,00"
TOTAL CAPITULO 9º,"0,00","0,00","1127217,00","1127217,00"
TOTAL OPERACIONES CAPITAL,"3055000,00","45021159,00","58316233,00","106392392,00"
TOTAL ESTADO DE GASTOS,"276513588,00","45827099,00","85232021,00","407572708,00"
